ER,NER,NR,SR,WR
0,0,0,0,0
0,0,0,0,0
0.172900006,0.292449951,0,0.061609995,0.016069999
0.412959963,0.517370045,0.219949991,0.410249978,0.289739966
0.502839983,0.548019886,0.503519952,0.56637001,0.489600092
0.523689866,0.538750172,0.558700025,0.60532999,0.538149953
0.52252984,0.521600008,0.547519922,0.612680018,0.545259953
0.509159982,0.515170097,0.526740134,0.603139937,0.533959925
0.496359855,0.506920099,0.517560065,0.59209007,0.521219969
0.457430005,0.467209995,0.513929904,0.571380079,0.500760078
0.359650016,0.316510022,0.480129927,0.520239949,0.448769927
0.129499957,0.014350001,0.326930046,0.393969923,0.311530024
0,0,0.026450003,0.110410005,0.058880001
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.172180042,0.290170014,0,0.059379999,0.015299998
0.418549985,0.51680994,0.223730028,0.408030063,0.29163003
0.512310207,0.549659967,0.507900119,0.56268996,0.487669855
0.533170044,0.541719913,0.562690139,0.599329889,0.535200059
0.531500101,0.525229871,0.551009953,0.604890049,0.540800035
0.517590046,0.518570006,0.529040098,0.595059931,0.52944994
0.504419982,0.509729981,0.518429995,0.58476001,0.517539978
0.465299994,0.469669908,0.513859987,0.566029966,0.498850167
0.368679971,0.320060015,0.48074016,0.517219961,0.447999954
0.135809988,0.01592,0.330809951,0.393220067,0.311979979
0,0,0.027150003,0.112919986,0.058639988
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.17535004,0.289900035,0,0.057210002,0.014510001
0.429899931,0.518369973,0.22153002,0.404079974,0.293309987
0.524379969,0.550940037,0.501220047,0.557689965,0.487920105
0.543689847,0.542389989,0.55539012,0.593689978,0.535069942
0.541290045,0.525179923,0.543659985,0.598869979,0.542630076
0.526549816,0.517800093,0.521520019,0.588750064,0.532669902
0.513300002,0.508860171,0.510360122,0.57802999,0.520529926
0.474670053,0.470049858,0.505739987,0.558269978,0.500570118
0.379370004,0.324019998,0.473140061,0.509619951,0.449359894
0.142890006,0.018149996,0.325940013,0.389099985,0.315080076
1.00E-05,0,0.025789998,0.114000015,0.061139997
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.174100012,0.288210005,0,0.054620005,0.01351
0.428120077,0.516259968,0.21363996,0.400350004,0.288119972
0.521679997,0.54877001,0.488809943,0.557830036,0.485379934
0.541190088,0.540649891,0.545430005,0.596709967,0.535459936
0.53963995,0.523940027,0.535930097,0.60465008,0.544149995
0.525200009,0.516790032,0.515460074,0.596060038,0.534439981
0.511340082,0.508509874,0.505559981,0.585160017,0.522190154
0.473020136,0.471019924,0.502009928,0.564149916,0.502180159
0.379840136,0.326849967,0.470320106,0.513849914,0.451210111
0.146109998,0.019589996,0.326869994,0.391910017,0.318399966
2.00E-05,0,0.029339993,0.115819991,0.066109985
0,0,0,7.00E-05,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.168780044,0.287799984,0,0.052779999,0.01263
0.415419847,0.518790007,0.213870004,0.399319947,0.287209988
0.507770002,0.552269936,0.495170176,0.55817008,0.490469962
0.527239978,0.54459995,0.552269995,0.595730007,0.542449951
0.524540067,0.528249979,0.54332,0.601929903,0.55261004
0.509859979,0.521250129,0.523810148,0.592190027,0.544279993
0.496510208,0.512880087,0.51504004,0.581280053,0.533230066
0.458619922,0.474709928,0.512509942,0.56151998,0.51424998
0.365610003,0.330719978,0.481870055,0.513220012,0.463639826
0.141159967,0.021459997,0.339650035,0.393669933,0.330569953
3.00E-05,0,0.032980006,0.119519994,0.072079994
0,0,0,0.00014,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.162259996,0.286000073,0,0.050280005,0.01165
0.406970024,0.518320024,0.221970066,0.396640003,0.296910018
0.502880156,0.554610014,0.509450018,0.554069936,0.505029917
0.524739861,0.54764992,0.565609992,0.592809916,0.553379834
0.52481997,0.531630039,0.555639863,0.601009846,0.559550047
0.51195997,0.524430037,0.535049975,0.593329847,0.549169779
0.499930024,0.516089976,0.52590996,0.58374995,0.538109899
0.462409973,0.478020012,0.524070024,0.564710021,0.52068007
0.369600058,0.335209996,0.495449901,0.516289949,0.47221005
0.146140024,0.022829995,0.353980035,0.397270054,0.340650022
4.00E-05,0,0.03523,0.123200029,0.075349972
0,0,0,0.00023,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.167380005,0.28865996,0,0.049120001,0.011459999
0.42238006,0.524389982,0.22146,0.399800003,0.297819972
0.518779933,0.560059905,0.508280039,0.561740041,0.501339912
0.53982991,0.552839756,0.564870059,0.600989938,0.549449921
