ER,NER,NR,SR,WR
0.247715831,0.057849165,0.506622498,0.234314166,0.31682083
0.267452493,0.051064167,0.484853325,0.238620825,0.310062513
0.203600005,0.020630833,0.456148326,0.200124146,0.285277495
0.106148333,9.67E-05,0.327935011,0.170068347,0.183548333
0.10541833,0.003599167,0.201621679,0.194952513,0.172045836
0.127132508,0.008450834,0.218569177,0.23184917,0.163224163
0.043706665,0.016873334,0.210965846,0.277361679,0.146040836
0.050605834,0.0256175,0.23767833,0.290770834,0.121498331
0.073228333,0.043630832,0.265994174,0.296677478,0.103522501
0.095759174,0.060650832,0.28622668,0.307997485,0.099301671
0.119160002,0.069342501,0.307980011,0.330799143,0.104888329
0.184186659,0.102855826,0.35167749,0.354960002,0.134385005
0.23580334,0.091457506,0.45901747,0.389235839,0.214274162
0.240837496,0.112668333,0.53237168,0.4211042,0.331337489
0.226470819,0.101968334,0.559965854,0.445182465,0.380145848
0.195960838,0.096805835,0.574825813,0.393288339,0.392060029
0.176685835,0.086440832,0.577524215,0.365468328,0.40843001
0.17465583,0.081042503,0.567022483,0.345941645,0.424004967
0.193978333,0.074009998,0.550762504,0.31016165,0.421274995
0.216369161,0.081676669,0.538670868,0.282150005,0.421930845
0.241069994,0.093754167,0.538668305,0.271368332,0.416019164
0.272325009,0.092551664,0.540923357,0.255756668,0.40232753
0.272815004,0.090684995,0.539230833,0.244549178,0.390530003
0.284562498,0.08398417,0.529485847,0.232327503,0.379870002
0.30283916,0.076735834,0.506605821,0.221134176,0.355490831
0.322747491,0.072720003,0.484849982,0.211365013,0.33707498
0.243162519,0.036245,0.456155,0.171096671,0.310046678
0.139278331,0.010026667,0.327932517,0.14614834,0.205241675
0.15061333,0.0184675,0.201621679,0.17785499,0.190237518
0.177070014,0.026643334,0.218569177,0.231080002,0.184358331
0.147514173,0.025574168,0.204492509,0.204634155,0.149229998
0.156760001,0.046487499,0.196443337,0.199733338,0.131584164
0.179175825,0.072611667,0.188311677,0.211220821,0.11597167
0.20016333,0.093025838,0.182600835,0.233652523,0.105109168
0.224412483,0.128650836,0.186665813,0.259430854,0.106244163
0.276519152,0.146053334,0.222208329,0.286255002,0.133994995
0.318891657,0.121704166,0.314543319,0.361268329,0.215545007
0.307779168,0.243651669,0.400045817,0.371249999,0.283734163
0.278899163,0.244663338,0.434039975,0.3816125,0.32943251
0.261495002,0.244602498,0.449553338,0.392014161,0.35197666
0.267212493,0.222155831,0.444640011,0.388722494,0.331214997
0.281118341,0.217488336,0.430504151,0.347084187,0.325450833
0.28229749,0.222213339,0.426924989,0.306226663,0.315839166
0.282855009,0.230438342,0.424367497,0.276794175,0.313691666
0.294493342,0.224052511,0.420692484,0.262016661,0.302286667
0.303123333,0.207495841,0.40750918,0.243095839,0.280681655
0.301859992,0.168650007,0.394014177,0.234573336,0.254407494
0.293840868,0.11673083,0.386090845,0.228106661,0.241101667
0.275164177,0.088125831,0.383060858,0.221551646,0.22840166
0.253476672,0.095434995,0.388700018,0.21634333,0.222255846
0.183225832,0.045034166,0.379982531,0.185010831,0.201124184
0.086677498,0.006525833,0.252367508,0.145716677,0.117769167
0.090503332,0.010599167,0.111980831,0.183382516,0.095174169
0.092841664,0.016615,0.098700001,0.226435003,0.096884167
0.091038328,0.023138334,0.045610002,0.206344165,0.064941664
0.094859166,0.021238333,0.041652503,0.198965819,0.047267499
0.095999168,0.027250834,0.052048337,0.20238082,0.041495833
0.102705,0.045940004,0.058977501,0.212454997,0.043855001
0.117471669,0.071729996,0.055421668,0.219818333,0.049031665
0.167350003,0.104693332,0.06394667,0.235950835,0.076067499
0.199364992,0.114327499,0.098839172,0.284355837,0.138474161
0.185026667,0.10178167,0.121875836,0.32766749,0.170923329
0.179539993,0.081296667,0.143107496,0.327938348,0.185668342
0.165513334,0.081055002,0.159889169,0.315977516,0.181197484
0.142280827,0.093450836,0.157970831,0.311409153,0.167403333
0.12817833,0.108293337,0.136956676,0.291971669,0.164148333
0.133546669,0.135362503,0.110820833,0.251778331,0.167854156
0.13807166,0.149105838,0.092472509,0.223788332,0.173969992
0.138690828,0.148335838,0.086738326,0.218760852,0.188201663
0.138956666,0.130356663,0.080570831,0.208229166,0.20519833
0.139369171,0.101504173,0.071453335,0.216353332,0.220663334
0.145335002,0.097679161,0.071255002,0.229695843,0.214335829
0.162027494,0.103465842,0.068991664,0.247425834,0.198982506
0.187140004,0.099175836,0.062081666,0.249986646,0.170575832
0.151376669,0.044995002,0.053204165,0.194246663,0.143436665
0.059741668,0.0085325,0.037320001,0.135278328,0.073446664
0.062099161,0.0092125,0.012244166,0.17226667,0.057494165
0.087627502,0.015255833,0.010780833,0.22242667,0.070171665
0.074056664,0.021268332,0.042900002,0.134286676,0.058866668
0.072499995,0.019822499,0.071770002,0.120083333,0.06397417
0.068136667,0.018300001,0.084254996,0.121789992,0.0649375
0.070488327,0.015408334,0.094939999,0.143194171,0.079583334
0.101721668,0.021895833,0.107680832,0.156420828,0.091678339
0.155055,0.025106667,0.141989161,0.179085004,0.117080833
0.143585013,0.044962502,0.214716673,0.245170849,0.177409984
0.137901665,0.070754993,0.265342494,0.29699748,0.248656671
0.159715833,0.050866663,0.28850999,0.316964177,0.302998332
0.164702494,0.035100833,0.289899985,0.292090828,0.302434991
0.157804164,0.048998334,0.25618916,0.253374988,0.303831649
0.156207497,0.048585833,0.228500827,0.246033326,0.302656663
0.159929169,0.033240001,0.224198325,0.217873334,0.298785838
0.147583332,0.031804167,0.210552502,0.188002509,0.284904179
0.13645416,0.023753333,0.223423343,0.173983331,0.26699916
0.126646668,0.0252575,0.186886657,0.178953335,0.245214159
0.113995007,0.029155002,0.160195823,0.187606666,0.232337492
0.117324172,0.024694167,0.123788333,0.183449168,0.220431667
0.125865831,0.018105,0.113834164,0.172343327,0.204025015
0.122955832,0.017453333,0.102931672,0.156650844,0.200333338
0.100691667,0.007318333,0.100860006,0.117824994,0.187617508
0.030131667,0.002363333,0.059017498,0.076235833,0.104149166
0.028865832,0.003785833,0.020760833,0.100031665,0.056730831
0.032705834,0.005358333,0.025991667,0.118643328,0.057054998
0.023342501,0.011845,0.0215075,0.149992491,0.054691663
0.029594999,0.021721667,0.034869167,0.132228342,0.0713575
0.041300834,0.0271275,0.053802501,0.127177497,0.098698337
0.052150001,0.042850834,0.071150834,0.142099162,0.119024172
0.081329168,0.097129169,0.081905834,0.14694833,0.129175825
0.151551655,0.133224169,0.110028331,0.159936668,0.173835003
0.190024165,0.091225835,0.176135844,0.216312498,0.269004166
0.1830325,0.057814168,0.215709999,0.279415835,0.342362508
0.172431665,0.048901667,0.237418331,0.291344176,0.314002497
0.186447496,0.045875834,0.252705,0.26849667,0.293205832
0.185619991,0.044297499,0.247105011,0.253896681,0.274763343
0.206464173,0.050856669,0.238600844,0.230374157,0.259517498
0.208652498,0.056231668,0.227289169,0.206757498,0.259832487
0.190553337,0.058399998,0.225510846,0.185465824,0.258597516
0.165330003,0.063330833,0.213713331,0.185210828,0.261677496
0.147075837,0.060644167,0.196157511,0.192290001,0.250788325
0.137096667,0.060812501,0.185512503,0.188213333,0.240552506
0.132753327,0.062618334,0.175013341,0.181280834,0.249780012
0.132655002,0.073975001,0.165787497,0.161880837,0.250175002
0.113338335,0.077580835,0.162374162,0.146114167,0.245130848
0.078364167,0.045960835,0.159706666,0.117346664,0.235362505
0.034191665,0.041773334,0.106630833,0.080496665,0.167113325
0.037865001,0.049533333,0.035990832,0.079862498,0.128431669
0.046795834,0.062803333,0.048634164,0.090430828,0.141057507
0.065048334,0.0260475,0.034490834,0.110665834,0.071868329
0.098325832,0.029295002,0.042536666,0.112209162,0.066934165
0.152806666,0.043844999,0.058630832,0.132100004,0.073460835
0.195385,0.070103331,0.083384171,0.175707502,0.080744167
0.226390002,0.109946665,0.114792503,0.212004149,0.089669169
0.280644168,0.156546663,0.187962492,0.230776644,0.121349166
0.331944165,0.167639165,0.271999995,0.282313318,0.216222497
0.318399164,0.167355007,0.333709163,0.342391657,0.283288335
0.296161659,0.160326673,0.370246669,0.356404155,0.329366669
0.287113339,0.175160003,0.401664188,0.349730007,0.363924158
0.278113293,0.189991665,0.422469964,0.300445837,0.383135858
0.29430334,0.199505001,0.430116666,0.268707491,0.406369967
0.271399178,0.220762492,0.423144974,0.250910847,0.408195009
0.263205023,0.232360007,0.425494971,0.248049169,0.369765836
0.290264994,0.214733337,0.432250852,0.233034154,0.343113353
0.284999984,0.201391672,0.429156649,0.190167494,0.33875668
0.282652522,0.199128332,0.424704144,0.175755008,0.334336696
0.287955838,0.193237497,0.427213321,0.167760833,0.318753339
0.286469984,0.198518327,0.414036684,0.153169163,0.301009161
0.28321667,0.200240002,0.391393324,0.153697507,0.301430814
0.217647502,0.128045,0.3610892,0.141760002,0.28264667
0.120618328,0.107380832,0.260586667,0.104148331,0.180861671
0.117057502,0.109835002,0.134612503,0.121640837,0.153894998
0.1066025,0.107582502,0.12669417,0.162449989,0.166640836
0.053607498,0.054122499,0.096809164,0.215827492,0.103532504
0.044116668,0.056485834,0.105657494,0.237467504,0.072366666
0.042686669,0.052462501,0.112010835,0.25960168,0.052074166
0.056601669,0.048553336,0.10919584,0.269237531,0.0402975
0.087462497,0.060069165,0.100186664,0.276139185,0.038025
0.151794168,0.091937497,0.110634993,0.287155822,0.062828337
0.185497501,0.111167501,0.153548335,0.351122506,0.123931669
0.171471654,0.098068331,0.20438666,0.414238329,0.178780829
0.143715834,0.080044993,0.240648327,0.428434188,0.245622495
0.138054178,0.065400835,0.260258344,0.413335008,0.264569153
0.133401658,0.086244163,0.282677501,0.405423336,0.275348336
0.133917504,0.129128321,0.294362508,0.378852511,0.291269161
0.139855001,0.150695831,0.296769147,0.354993301,0.306402507
0.141643332,0.149096662,0.295624162,0.338305836,0.319119148
0.139204995,0.134959995,0.298671688,0.3149725,0.321151659
0.136565,0.119335823,0.316914161,0.283664167,0.314816661
0.133763338,0.110545843,0.320710828,0.264378337,0.303128334
0.124373335,0.094914159,0.319403358,0.256464171,0.2936325
0.122296664,0.076768334,0.323196679,0.244289173,0.276583331
0.125440832,0.058364167,0.314540016,0.230459169,0.26303835
0.099044998,0.025298334,0.303315843,0.197204155,0.244944165
0.047605832,0.0020275,0.254150851,0.164211658,0.138361666
0.036330833,0.004434167,0.157650835,0.182565837,0.109600004
0.029411667,0.010653333,0.144018331,0.217822491,0.132485001
0.030274166,0.037389166,0.142378339,0.27552748,0.127777499
0.030200833,0.052250001,0.140492499,0.273546681,0.114005838
0.026207499,0.043907505,0.139977501,0.264138319,0.112567505
0.028965001,0.057272499,0.14951333,0.267594991,0.102464162
0.040169998,0.097832502,0.169386674,0.271724167,0.093730832
0.090154992,0.146975844,0.202710831,0.291573326,0.119064994
0.133724995,0.180115831,0.258730002,0.336315858,0.176258345
0.130930004,0.184985003,0.31318252,0.393430834,0.218891658
0.111653335,0.154530843,0.34279,0.405225029,0.215980832
0.094422503,0.130557502,0.353239993,0.360610003,0.229534163
0.087890003,0.118869993,0.34207916,0.346312503,0.245262507
0.077749169,0.128020827,0.333951672,0.330781673,0.260396673
0.068959169,0.14230333,0.327039195,0.321579988,0.264314997
0.061031666,0.158746663,0.337099157,0.30285084,0.270607511
0.056765832,0.152969168,0.368991705,0.290700016,0.264908346
0.057293333,0.145424162,0.379310019,0.268670827,0.26242164
0.06781833,0.14140583,0.388416688,0.247420833,0.25446749
0.069398333,0.116312503,0.400208349,0.218254182,0.259719173
0.10395667,0.144623332,0.432833341,0.215480842,0.25587334
0.097399168,0.161551674,0.449643373,0.216970004,0.249738346
0.078200001,0.088210833,0.433801661,0.185600835,0.238838337
0.023906667,0.020058333,0.316518348,0.135029167,0.162129166
0.013727499,0.013813334,0.201486667,0.14448167,0.139726662
0.009441666,0.016953333,0.22844833,0.15486334,0.161199992
0.009863333,0.014868334,0.151305004,0.144326669,0.130954166
0.0095075,0.030511667,0.150565834,0.133814999,0.127859995
0.00848,0.038841668,0.158700832,0.141215831,0.120033331
0.010813333,0.039470836,0.164977503,0.168090817,0.112641667
0.028091667,0.051215,0.172126673,0.202835838,0.118184989
0.103579999,0.074915,0.202494171,0.240062499,0.141405834
0.166054161,0.068332499,0.28908251,0.286344181,0.236696668
0.170038329,0.049569999,0.35255748,0.322995,0.316761653
0.176290005,0.037256667,0.367959959,0.330017477,0.354034993
0.175342498,0.041227501,0.375618319,0.314623343,0.364182477
0.154844996,0.054960832,0.373435845,0.271114993,0.344550009
0.145942502,0.070370834,0.370717501,0.246885819,0.33404084
0.147612502,0.061933329,0.344494981,0.235104981,0.315208343
0.130990844,0.046530832,0.333268337,0.221236675,0.297515824
0.119907501,0.044366667,0.30957749,0.213347505,0.282123322
0.112724994,0.041748334,0.303796656,0.204056667,0.258066659
0.104862502,0.042816665,0.305014995,0.191811668,0.240341647
0.090261664,0.052666669,0.310723374,0.176162489,0.226904164
0.090700835,0.054475831,0.312340826,0.197445001,0.195700845
0.088945832,0.061360834,0.298436669,0.181089175,0.192744167
0.07926333,0.039453331,0.281878332,0.140147498,0.187425825
0.030129999,0.005170833,0.17949083,0.086645001,0.124298329
0.023318333,0.006161667,0.093206663,0.088015831,0.086490001
0.02998,0.007211666,0.103194175,0.088880835,0.09172333
0.031085833,0.009995833,0.051304166,0.115242497,0.074424169
0.035801668,0.015045833,0.062574999,0.115907503,0.092092499
0.043627498,0.030089169,0.086043334,0.117940832,0.12495584
0.059404999,0.043866665,0.102769167,0.142218344,0.16217668
0.108664169,0.052516666,0.118226668,0.167814164,0.193890012
0.171952496,0.061700833,0.1702175,0.207213335,0.244798349
0.252517509,0.051048333,0.302784983,0.273855848,0.33709499
0.279495833,0.038556667,0.412442533,0.336223317,0.417146665
0.279573324,0.036065002,0.444664183,0.356533339,0.42908251
0.29215583,0.046349167,0.447718345,0.357346654,0.432771695
0.269901675,0.065200833,0.457410005,0.329740822,0.437301653
0.225939171,0.080881665,0.469879987,0.300843338,0.447162506
0.213169174,0.083105,0.470038315,0.265335816,0.441628349
0.224379987,0.07977167,0.477579159,0.24249916,0.427447545
0.221231673,0.074771664,0.474064174,0.227453336,0.415343359
0.208694994,0.07765,0.470743311,0.20430918,0.412039988
0.196294164,0.086319169,0.454338339,0.179436666,0.427501626
0.216664996,0.095758332,0.451404192,0.154636661,0.424954151
0.246829995,0.133996674,0.433890032,0.208402502,0.38516748
0.242368327,0.126874996,0.41391671,0.18671083,0.362473356
0.186025009,0.072199168,0.402245827,0.146107497,0.33128084
0.162564166,0.022405001,0.329572524,0.092362496,0.221368329
0.193415822,0.0228,0.240895836,0.089406669,0.208964148
0.233029171,0.017771666,0.270025832,0.082069164,0.249226672
0.169266666,0.043851664,0.263513345,0.095335832,0.196750828
0.157626657,0.053861662,0.29481334,0.088095836,0.211429175
0.17084751,0.074214163,0.317834171,0.09216667,0.226124162
0.193639167,0.081692501,0.323975819,0.108676663,0.231159996
0.246005823,0.092368335,0.31124002,0.122576666,0.255774976
0.350825012,0.119809165,0.306048321,0.148524993,0.278330008
0.39460585,0.125150831,0.351444185,0.22634667,0.359215821
0.393074997,0.1054675,0.399569161,0.283525017,0.460619174
0.367536676,0.102950834,0.409083294,0.321002526,0.499461651
0.325160841,0.110487499,0.395830023,0.302626652,0.500380822
0.271149989,0.116339167,0.374710018,0.28265167,0.50993671
0.245375815,0.113906667,0.365623328,0.235403325,0.501220889
0.236179161,0.119562504,0.33804999,0.193537492,0.477314211
0.200793332,0.1158675,0.314691693,0.16593416,0.451176703
0.181392501,0.119697493,0.299263368,0.140996665,0.436274173
0.176341668,0.130880836,0.280389185,0.124161671,0.42320252
0.160251666,0.122418338,0.259856664,0.112587496,0.404592514
0.156339997,0.121864997,0.241904989,0.097840834,0.393570013
0.16242,0.15623417,0.231524169,0.118849171,0.35003751
0.148024167,0.218545005,0.228728334,0.118344994,0.332546681
0.089143332,0.151979998,0.221987506,0.098727498,0.300830849
0.045653333,0.095602503,0.186639171,0.047467498,0.215747514
0.027215834,0.098780831,0.10151167,0.051797499,0.184740838
0.018815001,0.105203333,0.091970005,0.057165003,0.189554175
0.028015,0.059255,0.046813332,0.054809168,0.158373342
0.030438334,0.048001667,0.041612501,0.057605832,0.128254162
0.033649168,0.048829167,0.039005,0.076804164,0.103813341
0.051091665,0.045060832,0.040241664,0.105099166,0.090624165
0.066380829,0.043781667,0.047376669,0.130509996,0.084089998
0.107674172,0.082770832,0.066280831,0.158632488,0.104869169
0.167271656,0.093882499,0.109430838,0.232987499,0.182129999
0.173983333,0.067475,0.139129168,0.315073339,0.273329167
0.178771655,0.077362503,0.164862504,0.343475831,0.335613355
0.167264173,0.09670083,0.189343332,0.313680843,0.370409203
0.151408333,0.111529171,0.193544149,0.273864997,0.376873319
0.143500832,0.117175003,0.188067498,0.241194174,0.375580043
0.150134162,0.14515583,0.182648326,0.21984083,0.366833342
0.157296676,0.166124165,0.174574173,0.192529997,0.362555837
0.163389176,0.18568084,0.169067508,0.170385828,0.352582524
0.154371659,0.194608322,0.165261672,0.161664175,0.333357523
0.149637509,0.189572493,0.161239172,0.158903338,0.310324177
0.195033337,0.336854989,0.16147916,0.233064986,0.314335831
0.189399997,0.296290827,0.163299176,0.231485847,0.297324166
0.185312492,0.266605824,0.162514177,0.216663328,0.275580006
0.119241669,0.132699159,0.162599161,0.174394173,0.256283348
0.076177501,0.040680001,0.139265836,0.100714173,0.153837498
0.055880831,0.022134166,0.06814917,0.116849995,0.110919167
0.033194167,0.015824999,0.054209998,0.150624163,0.113285833
0.0375775,0.038693334,0.027402498,0.151154159,0.074934163
0.053881664,0.035902501,0.029067499,0.188077499,0.057346663
0.052043333,0.045661664,0.030493334,0.238484996,0.047949167
0.042561666,0.056253336,0.031584166,0.280607519,0.043270001
0.061679168,0.074870833,0.037632499,0.277268338,0.040598333
0.121129168,0.116042496,0.053108332,0.279992506,0.06657083
0.197456664,0.131083328,0.098744166,0.31712083,0.146685833
0.203396666,0.130568334,0.159450001,0.349591675,0.226734998
0.197409999,0.119964996,0.204743338,0.35975082,0.289921669
0.17687501,0.113374168,0.227598318,0.316782502,0.301695007
0.154811664,0.108249176,0.249806647,0.291370004,0.315624175
0.142892507,0.0954925,0.254840831,0.286260816,0.316334993
0.142049167,0.075614164,0.232587505,0.274808325,0.28703669
0.144376658,0.063315001,0.217976656,0.251837496,0.269781652
0.145701667,0.059024167,0.204415822,0.222346659,0.252384167
0.14085417,0.048530833,0.195038326,0.208043322,0.237205856
0.172375005,0.134307504,0.187710008,0.23578667,0.213411683
0.168883336,0.131404156,0.186121662,0.242532503,0.204168323
0.154226666,0.120987499,0.182344172,0.255258334,0.195765828
0.141467503,0.102415831,0.19352251,0.245769163,0.186805837
0.092944169,0.046208333,0.205654994,0.174599999,0.181759164
