ER,NER,NR,SR,WR
0.210732491,0.041309169,0.472068374,0.190326675,0.278658333
0.221451671,0.034794167,0.448944161,0.193245837,0.270679983
0.152912503,0.010921667,0.417364163,0.154851665,0.24211667
0.074261664,8.33E-07,0.27028917,0.135103331,0.144120834
0.076529998,0.000315,0.151890827,0.158272507,0.132457505
0.097387509,0.001311667,0.176183339,0.194361654,0.122938336
0.025404164,0.002415,0.164957499,0.229871656,0.111852487
0.0250225,0.005445,0.191165005,0.241233338,0.084939999
0.037394168,0.014257499,0.219919972,0.247644174,0.065574166
0.055204163,0.025129165,0.242532515,0.260895816,0.062039165
0.071386664,0.0349525,0.262892505,0.284596682,0.064570831
0.131732502,0.064593334,0.304719992,0.304500006,0.088344994
0.198604991,0.055948333,0.422608301,0.338799986,0.168070002
0.238781661,0.074552502,0.506925871,0.377369997,0.29157417
0.220883348,0.069837503,0.541181649,0.40433416,0.344230826
0.202255825,0.066480833,0.560094992,0.353157483,0.356102469
0.191846654,0.058118331,0.563470875,0.328919999,0.372595827
0.190020838,0.05520917,0.550382535,0.30776418,0.387031672
0.198730006,0.049977498,0.528347532,0.269075841,0.384641665
0.216668324,0.053991668,0.51099665,0.243345829,0.385775
0.232040829,0.063439169,0.50844419,0.233399998,0.377753335
0.250341655,0.062033335,0.510724997,0.216010839,0.362681687
0.267694163,0.061431662,0.509481668,0.207803323,0.350465005
0.275516664,0.058373332,0.498410836,0.199463326,0.339724995
0.291378339,0.052780832,0.472061701,0.189549161,0.313320016
0.304191644,0.048096667,0.448944996,0.179549996,0.295811653
0.222643322,0.019669999,0.417353335,0.136340846,0.268167514
0.13040667,0.003876667,0.270285835,0.119305009,0.165042491
0.140524168,0.006845,0.151893325,0.148174164,0.149485838
0.170744178,0.009789167,0.176181673,0.195715816,0.141406669
0.150662497,0.006808333,0.156960831,0.163321668,0.114812505
0.15526666,0.018000834,0.147480006,0.157788325,0.096874167
0.176670002,0.033586667,0.137955841,0.171082497,0.080205834
0.19849835,0.048033333,0.130420003,0.193968326,0.067110005
0.216129156,0.075083333,0.132773332,0.216349175,0.063799166
0.25715918,0.097326666,0.167753325,0.234767499,0.08451499
0.303798338,0.083569165,0.263524999,0.310910001,0.161809996
0.313298332,0.187504991,0.359411664,0.32642669,0.23394
0.295986665,0.193217508,0.398318338,0.338006665,0.285014175
0.277525,0.197576673,0.415315015,0.349039997,0.30669748
0.273820005,0.174424157,0.410519985,0.348996677,0.284164165
0.271638354,0.172624175,0.395271671,0.30453753,0.279256664
0.271789171,0.181340822,0.392285824,0.263310845,0.26980332
0.268039164,0.189125835,0.388319179,0.232880011,0.268542498
0.26453167,0.17847083,0.384850822,0.221262498,0.260428337
0.271346658,0.165079174,0.371675809,0.20891083,0.237105011
0.271629974,0.1298125,0.358809183,0.203525816,0.209664159
0.257018313,0.082964998,0.352686666,0.195624998,0.195810005
0.257087499,0.064439996,0.352430008,0.189725813,0.184028332
0.255129168,0.072211665,0.35885669,0.18700834,0.179004993
0.170579167,0.0273025,0.347059163,0.155731658,0.158893331
0.056478332,0.001176667,0.195265007,0.123089171,0.081961664
0.073134169,0.002356667,0.067694999,0.156406656,0.061059165
0.087593331,0.003810833,0.059519168,0.1929075,0.063516665
0.075329171,0.006095833,0.020400833,0.165714151,0.039786668
0.079033329,0.0052975,0.01576,0.157708332,0.023088333
0.083523333,0.006978333,0.024639166,0.163845846,0.018810833
0.085436668,0.013893333,0.030678332,0.176512484,0.02062
0.093145828,0.028215001,0.028573333,0.182599156,0.024556667
0.14191,0.0610825,0.033445831,0.194477477,0.043741668
0.177657507,0.077455827,0.056668333,0.238268324,0.096864168
0.167184992,0.072814165,0.079590832,0.281673325,0.126353338
0.13343333,0.053353334,0.103601662,0.281012518,0.142380002
0.114535002,0.051015834,0.121620001,0.26919997,0.140900828
0.091509999,0.063595837,0.120642505,0.264039973,0.12958
0.089765834,0.075867499,0.104255834,0.246865813,0.124700009
0.105955,0.099392502,0.081459165,0.208246682,0.129783334
0.107875835,0.11123667,0.064234165,0.185589158,0.137394997
0.104752496,0.109568331,0.058714997,0.1848525,0.150592506
0.107525833,0.093106662,0.055030831,0.176896662,0.166682495
0.113663334,0.067102497,0.046554167,0.181183326,0.18196584
0.122709161,0.062660832,0.048534166,0.195251668,0.178698331
0.135691663,0.069294164,0.047961667,0.211791658,0.164921667
0.153589168,0.06707833,0.040488334,0.21440415,0.136101667
0.120559168,0.025839167,0.033718333,0.158238323,0.112471667
0.036415,0.0031725,0.020964167,0.108625843,0.049778334
0.056512501,0.001675,0.003914167,0.142401665,0.033221666
0.080126665,0.003893333,0.004011666,0.187586645,0.038255833
0.069565831,0.005155,0.023251668,0.100100833,0.0328325
0.060966669,0.0030675,0.045339999,0.082444171,0.035084167
0.049390833,0.0028425,0.054623328,0.085990832,0.036085834
0.053284997,0.003095,0.063909997,0.108233336,0.048475837
0.070485831,0.006616667,0.072499163,0.122129168,0.056526667
0.106494998,0.008715,0.098113336,0.139461676,0.075675835
0.117094166,0.022768334,0.172545007,0.198794993,0.132059164
0.105827494,0.04184,0.228728327,0.250450828,0.20484667
0.122275839,0.032159169,0.256012503,0.269960811,0.261029989
0.11141417,0.01667,0.256714184,0.242925824,0.256101653
0.101858333,0.026766667,0.223995,0.205088348,0.257489992
0.103440006,0.024101665,0.195725825,0.202987497,0.257925833
0.107817496,0.014530834,0.188775816,0.176636665,0.256416661
0.107681666,0.014209166,0.172707502,0.149570007,0.24445
