gid,latitude,longitude,elevation,timezone,config
63547,23.75,86.25,0,5.5,default
61592,26.25,85.65,0,5.5,default
55266,20.65,83.75,0,5.5,default
66833,22.35,87.25,0,5.5,default
56270,22.05,84.05,0,5.5,default
53620,21.05,83.25,0,5.5,default
64892,26.25,86.65,0,5.5,default
58914,22.45,84.85,0,5.5,default
64525,22.55,86.55,0,5.5,default
51950,19.05,82.75,0,5.5,default
71456,22.65,88.65,0,5.5,default
62908,25.85,86.05,0,5.5,default
64546,24.65,86.55,0,5.5,default
65548,25.85,86.85,0,5.5,default
64200,23.05,86.45,0,5.5,default
63561,25.15,86.25,0,5.5,default
62899,24.95,86.05,0,5.5,default
58948,25.85,84.85,0,5.5,default
55961,24.15,83.95,0,5.5,default
57580,21.05,84.45,0,5.5,default
62204,21.45,85.85,0,5.5,default
55962,24.25,83.95,0,5.5,default
62216,22.65,85.85,0,5.5,default
70139,22.95,88.25,0,5.5,default
57896,19.65,84.55,0,5.5,default
67175,23.55,87.35,0,5.5,default
67198,25.85,87.35,0,5.5,default
56652,27.25,84.15,0,5.5,default
61582,25.25,85.65,0,5.5,default
53286,20.65,83.15,0,5.5,default
52278,18.85,82.85,0,5.5,default
58277,24.75,84.65,0,5.5,default
63513,20.35,86.25,0,5.5,default
64542,24.25,86.55,0,5.5,default
63897,25.75,86.35,0,5.5,default
66834,22.45,87.25,0,5.5,default
63509,19.95,86.25,0,5.5,default
67184,24.45,87.35,0,5.5,default
62853,20.35,86.05,0,5.5,default
67530,26.05,87.45,0,5.5,default
53600,19.05,83.25,0,5.5,default
61200,20.05,85.55,0,5.5,default
66872,26.25,87.25,0,5.5,default
60930,26.05,85.45,0,5.5,default
70809,23.95,88.45,0,5.5,default
67167,22.75,87.35,0,5.5,default
70478,23.85,88.35,0,5.5,default
68177,24.75,87.65,0,5.5,default
55643,25.35,83.85,0,5.5,default
65185,22.55,86.75,0,5.5,default
54275,20.55,83.45,0,5.5,default
62576,25.65,85.95,0,5.5,default
69503,25.35,88.05,0,5.5,default
59603,25.35,85.05,0,5.5,default
57243,20.35,84.35,0,5.5,default
63195,21.55,86.15,0,5.5,default
58938,24.85,84.85,0,5.5,default
69805,22.55,88.15,0,5.5,default
68844,25.45,87.85,0,5.5,default
53273,19.35,83.15,0,5.5,default
49978,19.85,82.15,0,5.5,default
70489,24.95,88.35,0,5.5,default
64231,26.15,86.45,0,5.5,default
67493,22.35,87.45,0,5.5,default
69139,21.95,87.95,0,5.5,default
64172,20.25,86.45,0,5.5,default
54602,20.25,83.55,0,5.5,default
57640,27.05,84.45,0,5.5,default
65550,26.05,86.85,0,5.5,default
65863,24.35,86.95,0,5.5,default
54943,21.35,83.65,0,5.5,default
68836,24.65,87.85,0,5.5,default
56972,26.25,84.25,0,5.5,default
63240,26.05,86.15,0,5.5,default
60273,26.35,85.25,0,5.5,default
67192,25.25,87.35,0,5.5,default
51957,19.75,82.75,0,5.5,default
59278,25.85,84.95,0,5.5,default
66192,24.25,87.05,0,5.5,default
49963,18.35,82.15,0,5.5,default
60891,22.15,85.45,0,5.5,default
52275,18.55,82.85,0,5.5,default
68822,23.25,87.85,0,5.5,default
62558,23.85,85.95,0,5.5,default
68523,26.35,87.75,0,5.5,default
55993,27.35,83.95,0,5.5,default
56980,27.05,84.25,0,5.5,default
58263,23.35,84.65,0,5.5,default
62872,22.25,86.05,0,5.5,default
67185,24.55,87.35,0,5.5,default
54981,25.15,83.65,0,5.5,default
65883,26.35,86.95,0,5.5,default
67174,23.45,87.35,0,5.5,default
65851,23.15,86.95,0,5.5,default
61264,26.45,85.55,0,5.5,default
65839,21.95,86.95,0,5.5,default
71496,26.65,88.65,0,5.5,default
69162,24.25,87.95,0,5.5,default
61202,20.25,85.55,0,5.5,default
56924,21.45,84.25,0,5.5,default
71153,25.35,88.55,0,5.5,default
60546,20.65,85.35,0,5.5,default
64851,22.15,86.65,0,5.5,default
60266,25.65,85.25,0,5.5,default
64840,21.05,86.65,0,5.5,default
61240,24.05,85.55,0,5.5,default
51619,18.95,82.65,0,5.5,default
67524,25.45,87.45,0,5.5,default
61908,24.85,85.75,0,5.5,default
67823,22.35,87.55,0,5.5,default
61237,23.75,85.55,0,5.5,default
59238,21.85,84.95,0,5.5,default
60549,20.95,85.35,0,5.5,default
71497,26.75,88.65,0,5.5,default
64541,24.15,86.55,0,5.5,default
66176,22.65,87.05,0,5.5,default
53274,19.45,83.15,0,5.5,default
72119,22.95,88.85,0,5.5,default
51634,20.45,82.65,0,5.5,default
56898,18.85,84.25,0,5.5,default
70470,23.05,88.35,0,5.5,default
69153,23.35,87.95,0,5.5,default
57305,26.55,84.35,0,5.5,default
63191,21.15,86.15,0,5.5,default
63888,24.85,86.35,0,5.5,default
67183,24.35,87.35,0,5.5,default
70493,25.35,88.35,0,5.5,default
68153,22.35,87.65,0,5.5,default
71452,22.25,88.65,0,5.5,default
59214,19.45,84.95,0,5.5,default
66864,25.45,87.25,0,5.5,default
68182,25.25,87.65,0,5.5,default
62206,21.65,85.85,0,5.5,default
56971,26.15,84.25,0,5.5,default
60565,22.55,85.35,0,5.5,default
64563,26.35,86.55,0,5.5,default
65540,25.05,86.85,0,5.5,default
62210,22.05,85.85,0,5.5,default
51958,19.85,82.75,0,5.5,default
67856,25.65,87.55,0,5.5,default
60538,19.85,85.35,0,5.5,default
62192,20.25,85.85,0,5.5,default
60931,26.15,85.45,0,5.5,default
57562,19.25,84.45,0,5.5,default
54970,24.05,83.65,0,5.5,default
63883,24.35,86.35,0,5.5,default
63862,22.25,86.35,0,5.5,default
70824,25.45,88.45,0,5.5,default
62541,22.15,85.95,0,5.5,default
57622,25.25,84.45,0,5.5,default
50965,19.55,82.45,0,5.5,default
64848,21.85,86.65,0,5.5,default
54603,20.35,83.55,0,5.5,default
62880,23.05,86.05,0,5.5,default
54944,21.45,83.65,0,5.5,default
62886,23.65,86.05,0,5.5,default
59567,21.75,85.05,0,5.5,default
69504,25.45,88.05,0,5.5,default
59244,22.45,84.95,0,5.5,default
67824,22.45,87.55,0,5.5,default
73804,26.45,89.35,0,5.5,default
59886,20.65,85.15,0,5.5,default
56582,20.25,84.15,0,5.5,default
72156,26.65,88.85,0,5.5,default
56274,22.45,84.05,0,5.5,default
58624,26.45,84.75,0,5.5,default
63892,25.25,86.35,0,5.5,default
55599,20.95,83.85,0,5.5,default
71839,27.95,88.75,0,5.5,default
64213,24.35,86.45,0,5.5,default
65173,21.35,86.75,0,5.5,default
57940,24.05,84.55,0,5.5,default
57295,25.55,84.35,0,5.5,default
69481,23.15,88.05,0,5.5,default
60241,23.15,85.25,0,5.5,default
74464,26.45,89.55,0,5.5,default
57262,22.25,84.35,0,5.5,default
50957,18.75,82.45,0,5.5,default
67182,24.25,87.35,0,5.5,default
61899,23.95,85.75,0,5.5,default
72816,26.65,89.05,0,5.5,default
61914,25.45,85.75,0,5.5,default
59944,26.45,85.15,0,5.5,default
64515,21.55,86.55,0,5.5,default
65542,25.25,86.85,0,5.5,default
65870,25.05,86.95,0,5.5,default
63215,23.55,86.15,0,5.5,default
69811,23.15,88.15,0,5.5,default
59258,23.85,84.95,0,5.5,default
52623,20.35,82.95,0,5.5,default
63183,20.35,86.15,0,5.5,default
62911,26.15,86.05,0,5.5,default
55970,25.05,83.95,0,5.5,default
51943,18.35,82.75,0,5.5,default
66495,21.55,87.15,0,5.5,default
64235,26.55,86.45,0,5.5,default
70792,22.25,88.45,0,5.5,default
65528,23.85,86.85,0,5.5,default
66869,25.95,87.25,0,5.5,default
64545,24.55,86.55,0,5.5,default
65198,23.85,86.75,0,5.5,default
61900,24.05,85.75,0,5.5,default
63224,24.45,86.15,0,5.5,default
65546,25.65,86.85,0,5.5,default
60256,24.65,85.25,0,5.5,default
56912,20.25,84.25,0,5.5,default
65871,25.15,86.95,0,5.5,default
52613,19.35,82.95,0,5.5,default
56920,21.05,84.25,0,5.5,default
58886,19.65,84.85,0,5.5,default
