gid,latitude,longitude,elevation,timezone,config
88653,26.35,93.85,0,5.5,default
77102,26.25,90.35,0,5.5,default
84677,24.75,92.65,0,5.5,default
82385,26.55,91.95,0,5.5,default
83699,25.95,92.35,0,5.5,default
92957,27.75,95.15,0,5.5,default
81360,23.05,91.65,0,5.5,default
77436,26.65,90.45,0,5.5,default
93283,27.35,95.25,0,5.5,default
85322,23.25,92.85,0,5.5,default
76773,26.35,90.25,0,5.5,default
75453,26.35,89.85,0,5.5,default
82711,26.15,92.05,0,5.5,default
89322,27.25,94.05,0,5.5,default
86011,26.15,93.05,0,5.5,default
76108,25.85,90.05,0,5.5,default
88304,24.45,93.75,0,5.5,default
78424,26.45,90.75,0,5.5,default
75778,25.85,89.95,0,5.5,default
80075,26.55,91.25,0,5.5,default
85022,26.25,92.75,0,5.5,default
93946,27.65,95.45,0,5.5,default
79413,26.35,91.05,0,5.5,default
96257,27.75,96.15,0,5.5,default
76441,26.15,90.15,0,5.5,default
80072,26.25,91.25,0,5.5,default
84366,26.65,92.55,0,5.5,default
82383,26.35,91.95,0,5.5,default
94603,27.35,95.65,0,5.5,default
85019,25.95,92.75,0,5.5,default
85334,24.45,92.85,0,5.5,default
93620,28.05,95.35,0,5.5,default
90638,26.85,94.45,0,5.5,default
84017,24.75,92.45,0,5.5,default
85349,25.95,92.85,0,5.5,default
89646,26.65,94.15,0,5.5,default
85028,26.85,92.75,0,5.5,default
86009,25.95,93.05,0,5.5,default
91961,27.15,94.85,0,5.5,default
95597,27.75,95.95,0,5.5,default
80733,26.35,91.45,0,5.5,default
78092,26.25,90.65,0,5.5,default
92626,27.65,95.05,0,5.5,default
82703,25.35,92.05,0,5.5,default
84362,26.25,92.55,0,5.5,default
90640,27.05,94.45,0,5.5,default
91636,27.65,94.75,0,5.5,default
78756,26.65,90.85,0,5.5,default
80735,26.55,91.45,0,5.5,default
91962,27.25,94.85,0,5.5,default
80404,26.45,91.35,0,5.5,default
80736,26.65,91.45,0,5.5,default
94939,27.95,95.75,0,5.5,default
91634,27.45,94.75,0,5.5,default
89303,25.35,94.05,0,5.5,default
83045,26.55,92.15,0,5.5,default
93282,27.25,95.25,0,5.5,default
80737,26.75,91.45,0,5.5,default
92622,27.25,95.05,0,5.5,default
80376,23.65,91.35,0,5.5,default
82717,26.75,92.05,0,5.5,default
83705,26.55,92.35,0,5.5,default
83373,26.35,92.25,0,5.5,default
90968,26.85,94.55,0,5.5,default
91965,27.55,94.85,0,5.5,default
85008,24.85,92.75,0,5.5,default
92947,26.75,95.15,0,5.5,default
89647,26.75,94.15,0,5.5,default
96259,27.95,96.15,0,5.5,default
89983,27.35,94.25,0,5.5,default
93285,27.55,95.25,0,5.5,default
80377,23.75,91.35,0,5.5,default
83375,26.55,92.25,0,5.5,default
81040,24.05,91.55,0,5.5,default
90295,25.55,94.35,0,5.5,default
90330,29.05,94.35,0,5.5,default
80070,26.05,91.25,0,5.5,default
78089,25.95,90.65,0,5.5,default
86342,26.25,93.15,0,5.5,default
82031,24.15,91.85,0,5.5,default
77755,25.55,90.55,0,5.5,default
84693,26.35,92.65,0,5.5,default
80378,23.85,91.35,0,5.5,default
93612,27.25,95.35,0,5.5,default
85679,25.95,92.95,0,5.5,default
80734,26.45,91.45,0,5.5,default
94938,27.85,95.75,0,5.5,default
88638,24.85,93.85,0,5.5,default
88968,24.85,93.95,0,5.5,default
87998,26.85,93.65,0,5.5,default
81727,26.75,91.75,0,5.5,default
