gid,latitude,longitude,elevation,timezone,config
23656,27.65,74.15,0,5.5,default
20030,28.05,73.05,0,5.5,default
46414,26.45,81.05,0,5.5,default
21983,25.35,73.65,0,5.5,default
13749,26.95,71.15,0,5.5,default
41126,25.65,79.45,0,5.5,default
28965,30.55,75.75,0,5.5,default
46740,26.05,81.15,0,5.5,default
28302,30.25,75.55,0,5.5,default
44095,25.55,80.35,0,5.5,default
35544,28.45,77.75,0,5.5,default
26606,25.65,75.05,0,5.5,default
31255,28.55,76.45,0,5.5,default
29577,25.75,75.95,0,5.5,default
39513,29.35,78.95,0,5.5,default
16389,26.95,71.95,0,5.5,default
41784,25.45,79.65,0,5.5,default
26951,27.15,75.15,0,5.5,default
38804,24.45,78.75,0,5.5,default
51021,25.15,82.45,0,5.5,default
30281,30.15,76.15,0,5.5,default
31267,29.75,76.45,0,5.5,default
33249,29.95,77.05,0,5.5,default
35539,27.95,77.75,0,5.5,default
47077,26.75,81.25,0,5.5,default
38182,28.25,78.55,0,5.5,default
37562,32.25,78.35,0,5.5,default
8799,26.95,69.65,0,5.5,default
18356,25.65,72.55,0,5.5,default
25339,30.95,74.65,0,5.5,default
32870,25.05,76.95,0,5.5,default
21323,25.35,73.45,0,5.5,default
25670,31.05,74.75,0,5.5,default
14073,26.35,71.25,0,5.5,default
39835,28.55,79.05,0,5.5,default
33570,29.05,77.15,0,5.5,default
31543,24.35,76.55,0,5.5,default
26275,25.55,74.95,0,5.5,default
35551,29.15,77.75,0,5.5,default
53670,26.05,83.25,0,5.5,default
30253,27.35,76.15,0,5.5,default
20688,27.85,73.25,0,5.5,default
52030,27.05,82.75,0,5.5,default
33912,30.25,77.25,0,5.5,default
27659,31.95,75.35,0,5.5,default
29624,30.45,75.95,0,5.5,default
20027,27.75,73.05,0,5.5,default
23681,30.15,74.15,0,5.5,default
53006,25.65,83.05,0,5.5,default
18711,28.15,72.65,0,5.5,default
34538,26.85,77.45,0,5.5,default
25319,28.95,74.65,0,5.5,default
52996,24.65,83.05,0,5.5,default
50692,25.25,82.35,0,5.5,default
19039,27.95,72.75,0,5.5,default
23685,30.55,74.15,0,5.5,default
32888,26.85,76.95,0,5.5,default
11779,27.95,70.55,0,5.5,default
13745,26.55,71.15,0,5.5,default
27962,29.25,75.45,0,5.5,default
31879,24.95,76.65,0,5.5,default
28618,28.85,75.65,0,5.5,default
16719,26.95,72.05,0,5.5,default
26001,31.15,74.85,0,5.5,default
45772,28.25,80.85,0,5.5,default
27987,31.75,75.45,0,5.5,default
23981,27.15,74.25,0,5.5,default
26603,25.35,75.05,0,5.5,default
30584,27.45,76.25,0,5.5,default
36601,35.15,78.05,0,5.5,default
16721,27.15,72.05,0,5.5,default
18348,24.85,72.55,0,5.5,default
15058,25.85,71.55,0,5.5,default
19364,27.45,72.85,0,5.5,default
19666,24.65,72.95,0,5.5,default
26625,27.55,75.05,0,5.5,default
37189,27.95,78.25,0,5.5,default
40799,25.95,79.35,0,5.5,default
49057,26.75,81.85,0,5.5,default
49387,26.75,81.95,0,5.5,default
28903,24.35,75.75,0,5.5,default
