gid,latitude,longitude,elevation,timezone,config
40680,14.05,79.35,0,5.5,default
29801,15.15,76.05,0,5.5,default
35413,15.35,77.75,0,5.5,default
31723,9.35,76.65,0,5.5,default
33411,13.15,77.15,0,5.5,default
34732,13.25,77.55,0,5.5,default
40719,17.95,79.35,0,5.5,default
29126,13.65,75.85,0,5.5,default
55241,18.15,83.75,0,5.5,default
35017,8.75,77.65,0,5.5,default
36416,16.65,78.05,0,5.5,default
54911,18.15,83.65,0,5.5,default
29434,11.45,75.95,0,5.5,default
41643,11.35,79.65,0,5.5,default
29465,14.55,75.95,0,5.5,default
32467,17.75,76.85,0,5.5,default
31141,17.15,76.45,0,5.5,default
46317,16.75,81.05,0,5.5,default
32790,17.05,76.95,0,5.5,default
34706,10.65,77.55,0,5.5,default
41364,16.45,79.55,0,5.5,default
34064,12.45,77.35,0,5.5,default
33792,18.25,77.25,0,5.5,default
35114,18.45,77.65,0,5.5,default
40709,16.95,79.35,0,5.5,default
32084,12.45,76.75,0,5.5,default
42348,15.85,79.85,0,5.5,default
35400,14.05,77.75,0,5.5,default
34378,10.85,77.45,0,5.5,default
54919,18.95,83.65,0,5.5,default
38072,17.25,78.55,0,5.5,default
36008,8.85,77.95,0,5.5,default
37693,12.35,78.45,0,5.5,default
33111,16.15,77.05,0,5.5,default
28785,12.55,75.75,0,5.5,default
36108,18.85,77.95,0,5.5,default
39024,13.45,78.85,0,5.5,default
42013,15.35,79.75,0,5.5,default
33086,13.65,77.05,0,5.5,default
34067,12.75,77.35,0,5.5,default
40392,18.25,79.25,0,5.5,default
54252,18.25,83.45,0,5.5,default
37021,11.15,78.25,0,5.5,default
48956,16.65,81.85,0,5.5,default
28143,14.35,75.55,0,5.5,default
41016,14.65,79.45,0,5.5,default
34028,8.85,77.35,0,5.5,default
37370,13.05,78.35,0,5.5,default
35014,8.45,77.65,0,5.5,default
26183,16.35,74.95,0,5.5,default
31130,16.05,76.45,0,5.5,default
35360,10.05,77.75,0,5.5,default
27791,12.15,75.45,0,5.5,default
31750,12.05,76.65,0,5.5,default
39004,11.45,78.85,0,5.5,default
40351,14.15,79.25,0,5.5,default
35445,18.55,77.75,0,5.5,default
27827,15.75,75.45,0,5.5,default
40689,14.95,79.35,0,5.5,default
26497,14.75,75.05,0,5.5,default
38334,10.45,78.65,0,5.5,default
43020,17.05,80.05,0,5.5,default
34446,17.65,77.45,0,5.5,default
32462,17.25,76.85,0,5.5,default
31090,12.05,76.45,0,5.5,default
36354,10.45,78.05,0,5.5,default
26178,15.85,74.95,0,5.5,default
36095,17.55,77.95,0,5.5,default
26188,16.85,74.95,0,5.5,default
56567,18.75,84.15,0,5.5,default
26179,15.95,74.95,0,5.5,default
35353,9.35,77.75,0,5.5,default
32768,14.85,76.95,0,5.5,default
32412,12.25,76.85,0,5.5,default
38009,10.95,78.55,0,5.5,default
37723,15.35,78.45,0,5.5,default
41304,10.45,79.55,0,5.5,default
30440,13.05,76.25,0,5.5,default
42691,17.15,79.95,0,5.5,default
31423,12.35,76.55,0,5.5,default
33062,11.25,77.05,0,5.5,default
41037,16.75,79.45,0,5.5,default
39671,12.15,79.05,0,5.5,default
40384,17.45,79.25,0,5.5,default
33053,10.35,77.05,0,5.5,default
48302,17.25,81.65,0,5.5,default
27837,16.75,75.45,0,5.5,default
37341,10.15,78.35,0,5.5,default
38742,18.25,78.75,0,5.5,default
36408,15.85,78.05,0,5.5,default
33740,13.05,77.25,0,5.5,default
36397,14.75,78.05,0,5.5,default
39396,17.65,78.95,0,5.5,default
36068,14.85,77.95,0,5.5,default
