gid,latitude,longitude,elevation,timezone,config
31810,18.05,76.65,0,5.5,default
39759,20.95,79.05,0,5.5,default
38492,26.25,78.65,0,5.5,default
54956,22.65,83.65,0,5.5,default
27182,17.25,75.25,0,5.5,default
30196,21.65,76.15,0,5.5,default
30210,23.05,76.15,0,5.5,default
29172,18.25,75.85,0,5.5,default
9430,24.05,69.85,0,5.5,default
34458,18.85,77.45,0,5.5,default
23225,17.55,74.05,0,5.5,default
51299,19.95,82.55,0,5.5,default
51315,21.55,82.55,0,5.5,default
40460,25.05,79.25,0,5.5,default
17023,24.35,72.15,0,5.5,default
47713,24.35,81.45,0,5.5,default
38782,22.25,78.75,0,5.5,default
11412,24.25,70.45,0,5.5,default
24916,21.65,74.55,0,5.5,default
18987,22.75,72.75,0,5.5,default
45741,25.15,80.85,0,5.5,default
44086,24.65,80.35,0,5.5,default
31536,23.65,76.55,0,5.5,default
28170,17.05,75.55,0,5.5,default
26592,24.25,75.05,0,5.5,default
39771,22.15,79.05,0,5.5,default
24933,23.35,74.55,0,5.5,default
25908,21.85,74.85,0,5.5,default
24902,20.25,74.55,0,5.5,default
25241,21.15,74.65,0,5.5,default
35835,24.55,77.85,0,5.5,default
29165,17.55,75.85,0,5.5,default
39092,20.25,78.85,0,5.5,default
45061,23.15,80.65,0,5.5,default
18329,22.95,72.55,0,5.5,default
26525,17.55,75.05,0,5.5,default
49678,22.85,82.05,0,5.5,default
50656,21.65,82.35,0,5.5,default
43705,19.55,80.25,0,5.5,default
31210,24.05,76.45,0,5.5,default
20978,23.85,73.35,0,5.5,default
42403,21.35,79.85,0,5.5,default
12393,23.35,70.75,0,5.5,default
10722,21.25,70.25,0,5.5,default
23282,23.25,74.05,0,5.5,default
13049,22.95,70.95,0,5.5,default
32852,23.25,76.95,0,5.5,default
34835,23.55,77.55,0,5.5,default
24866,16.65,74.55,0,5.5,default
36476,22.65,78.05,0,5.5,default
27231,22.15,75.25,0,5.5,default
38487,25.75,78.65,0,5.5,default
35150,22.05,77.65,0,5.5,default
19661,24.15,72.95,0,5.5,default
31153,18.35,76.45,0,5.5,default
13372,22.25,71.05,0,5.5,default
24896,19.65,74.55,0,5.5,default
28509,17.95,75.65,0,5.5,default
37501,26.15,78.35,0,5.5,default
40412,20.25,79.25,0,5.5,default
17679,23.95,72.35,0,5.5,default
47715,24.55,81.45,0,5.5,default
22952,23.25,73.95,0,5.5,default
36820,24.05,78.15,0,5.5,default
52981,23.15,83.05,0,5.5,default
39125,23.55,78.85,0,5.5,default
29884,23.45,76.05,0,5.5,default
28861,20.15,75.75,0,5.5,default
18653,22.35,72.65,0,5.5,default
45371,21.15,80.75,0,5.5,default
31835,20.55,76.65,0,5.5,default
33803,19.35,77.25,0,5.5,default
46704,22.45,81.15,0,5.5,default
22922,20.25,73.95,0,5.5,default
43748,23.85,80.25,0,5.5,default
50006,22.65,82.15,0,5.5,default
53648,23.85,83.25,0,5.5,default
33189,23.95,77.05,0,5.5,default
26532,18.25,75.05,0,5.5,default
35487,22.75,77.75,0,5.5,default
17343,23.35,72.25,0,5.5,default
30213,23.35,76.15,0,5.5,default
13043,22.35,70.95,0,5.5,default
38106,20.65,78.55,0,5.5,default
42389,19.95,79.85,0,5.5,default
27842,17.25,75.45,0,5.5,default
26890,21.05,75.15,0,5.5,default
27213,20.35,75.25,0,5.5,default
33143,19.35,77.05,0,5.5,default
33849,23.95,77.25,0,5.5,default
21619,21.95,73.55,0,5.5,default
32177,21.75,76.75,0,5.5,default
27545,20.55,75.35,0,5.5,default
52986,23.65,83.05,0,5.5,default
7449,23.95,69.25,0,5.5,default
48324,19.45,81.65,0,5.5,default
8761,23.15,69.65,0,5.5,default
41119,24.95,79.45,0,5.5,default
36819,23.95,78.15,0,5.5,default
37784,21.45,78.45,0,5.5,default
34501,23.15,77.45,0,5.5,default
30502,19.25,76.25,0,5.5,default
26888,20.85,75.15,0,5.5,default
26535,18.55,75.05,0,5.5,default
34518,24.85,77.45,0,5.5,default
23247,19.75,74.05,0,5.5,default
11073,23.35,70.35,0,5.5,default
44395,22.55,80.45,0,5.5,default
44057,21.75,80.35,0,5.5,default
37481,24.15,78.35,0,5.5,default
16008,21.85,71.85,0,5.5,default
35456,19.65,77.75,0,5.5,default
39773,22.35,79.05,0,5.5,default
12058,22.85,70.65,0,5.5,default
38129,22.95,78.55,0,5.5,default
14714,24.45,71.45,0,5.5,default
30158,17.85,76.15,0,5.5,default
49692,24.25,82.05,0,5.5,default
23888,17.85,74.25,0,5.5,default
9751,23.15,69.95,0,5.5,default
14366,22.65,71.35,0,5.5,default
28897,23.75,75.75,0,5.5,default
47366,22.65,81.35,0,5.5,default
30157,17.75,76.15,0,5.5,default
45382,22.25,80.75,0,5.5,default
27550,21.05,75.35,0,5.5,default
9421,23.15,69.85,0,5.5,default
32188,22.85,76.75,0,5.5,default
54952,22.25,83.65,0,5.5,default
50988,21.85,82.45,0,5.5,default
19639,21.95,72.95,0,5.5,default
37176,26.65,78.25,0,5.5,default
16353,23.35,71.95,0,5.5,default
37146,23.65,78.25,0,5.5,default
35166,23.65,77.65,0,5.5,default
12396,23.65,70.75,0,5.5,default
29222,23.25,75.85,0,5.5,default
20287,20.75,73.15,0,5.5,default
26870,19.05,75.15,0,5.5,default
54304,23.45,83.45,0,5.5,default
39765,21.55,79.05,0,5.5,default
6787,23.75,69.05,0,5.5,default
24584,21.45,74.45,0,5.5,default
13027,20.75,70.95,0,5.5,default
28560,23.05,75.65,0,5.5,default
28217,21.75,75.55,0,5.5,default
43101,25.15,80.05,0,5.5,default
34175,23.55,77.35,0,5.5,default
26189,16.95,74.95,0,5.5,default
26195,17.55,74.95,0,5.5,default
52965,21.55,83.05,0,5.5,default
29552,23.25,75.95,0,5.5,default
35476,21.65,77.75,0,5.5,default
45030,20.05,80.65,0,5.5,default
10748,23.85,70.25,0,5.5,default
47353,21.35,81.35,0,5.5,default
36833,25.35,78.15,0,5.5,default
51644,21.45,82.65,0,5.5,default
16354,23.45,71.95,0,5.5,default
27572,23.25,75.35,0,5.5,default
38433,20.35,78.65,0,5.5,default
21575,17.55,73.55,0,5.5,default
37502,26.25,78.35,0,5.5,default
