gid,latitude,longitude,elevation,offshore,wrf_region,config
717683,24.683327,86.99417,161,0,1,default
652352,20.595253,86.492035,3,0,1,default
703046,23.171425,88.027985,24,0,1,default
652262,20.595253,83.83366,183,0,1,default
10367,22.04403,86.67568,97,0,0,default
714053,24.307014000000002,88.1166,40,0,1,default
656825,20.733437,83.1543,241,0,1,default
105896,25.529938,84.90343,59,0,0,default
617933,19.540993,82.23863,594,0,1,default
642206,20.290802,83.30198,174,0,1,default
45197,23.324875,86.7643,166,0,0,default
714282,24.333923000000002,87.14186,158,0,1,default
711154,24.01056,87.61446,54,0,1,default
657720,20.761063,82.4454,357,0,1,default
107419,25.583244,86.11447,43,0,0,default
658774,20.788673,86.43296,9,0,1,default
60755,23.893234,86.67568,177,0,0,default
52546,23.595825,84.9625,638,0,0,default
711155,24.01056,87.64399999999999,48,0,1,default
95547,25.15622,85.64187,59,0,0,default
98544,25.263107,86.61661,32,0,0,default
613606,19.401749,84.83794,39,0,1,default
73341,24.351523999999998,86.35077,345,0,0,default
716642,24.575912,87.200935,214,0,1,default
716126,24.522179,87.43724,121,0,1,default
646749,20.42926,83.00661,252,0,1,default
723482,25.272362,88.027985,31,0,1,default
615372,19.457458,84.92654399999999,15,0,1,default
723721,25.299065,87.348625,32,0,1,default
93342,25.075974,86.173546,61,0,0,default
707776,23.659317,88.44151,13,0,1,default
25125,22.590529999999998,84.84435,473,0,0,default
635961,20.096748,86.2262,9,0,1,default
610952,19.318146,84.247185,605,0,1,default
634133,20.04126,85.54684,22,0,1,default
2220,21.742554000000002,86.79383,26,0,0,default
711692,24.064507,88.027985,23,0,1,default
710081,23.902588,86.87602,155,0,1,default
667082,21.037003,86.6988,5,0,1,default
130326,26.40625,84.22407,74,0,0,default
694894,22.327011,87.05325,73,0,1,default
713789,24.280089999999998,88.057526,32,0,1,default
51843,23.568756,86.08493,262,0,0,default
118536,25.982193,86.173546,48,0,0,default
717971,24.710151999999997,87.76215,66,0,1,default
599587,18.955382999999998,82.65216,599,0,1,default
130346,26.40625,84.81482,64,0,0,default
126647,26.273909999999997,84.99204,60,0,0,default
692302,22.053513,87.8803,5,0,1,default
659636,20.816292,84.71979,271,0,1,default
703281,23.198586,87.23048,80,0,1,default
658788,20.788673,86.84649,2,0,1,default
71088,24.270767000000003,85.46464499999999,417,0,0,default
698330,22.681755,87.93938,8,0,1,default
