gid,latitude,longitude,elevation,offshore,wrf_region,config
706568,23.523972,91.454346,22,0,1,default
723369,25.245651000000002,92.42908,602,0,1,default
702383,23.089942999999998,91.6611,24,0,1,default
702122,23.062767,91.6611,25,0,1,default
725641,25.485854999999997,89.888855,66,0,1,default
706305,23.496887,91.424805,27,0,1,default
702649,23.117110999999998,91.77925,56,0,1,default
725903,25.512520000000002,89.888855,28,0,1,default
706837,23.551056,91.6611,49,0,1,default
703952,23.252869,91.57249499999999,30,0,1,default
709186,23.794525,91.39526,46,0,1,default
725379,25.45919,89.888855,37,0,1,default
724412,25.352463,92.28139499999999,1244,0,1,default
725203,25.43251,92.42908,1139,0,1,default
725464,25.45919,92.39954,1261,0,1,default
706833,23.551056,91.54295,42,0,1,default
706321,23.496887,91.89741,111,0,1,default
709185,23.794525,91.36573,59,0,1,default
705261,23.388489,91.54295,51,0,1,default
703691,23.225723000000002,91.60203,35,0,1,default
725708,25.485854999999997,91.86787,1808,0,1,default
724149,25.325768,92.25185400000001,1149,0,1,default
724676,25.379158,92.34047,1232,0,1,default
724145,25.325768,92.133705,1225,0,1,default
704998,23.361373999999998,91.51342,41,0,1,default
725709,25.485854999999997,91.89741,1773,0,1,default
707350,23.605202,91.33619,42,0,1,default
724416,25.352463,92.39954,1062,0,1,default
709973,23.87558,91.424805,56,0,1,default
705260,23.388489,91.51342,38,0,1,default
724678,25.379158,92.39954,1155,0,1,default
709447,23.82154,91.36573,36,0,1,default
724069,25.325768,89.888855,77,0,1,default
725451,25.45919,92.01556,1528,0,1,default
706042,23.469795,91.39526,25,0,1,default
707608,23.632263000000002,91.21804,32,0,1,default
709187,23.794525,91.424805,35,0,1,default
702646,23.117110999999998,91.69064,35,0,1,default
724151,25.325768,92.31093,1163,0,1,default
707875,23.659317,91.36573,47,0,1,default
723893,25.299065,92.42908,978,0,1,default
725906,25.512520000000002,89.97746,47,0,1,default
725904,25.512520000000002,89.91839,31,0,1,default
711020,23.983574,91.39526,28,0,1,default
706830,23.551056,91.454346,45,0,1,default
725445,25.45919,91.83833,1801,0,1,default
706827,23.551056,91.36573,35,0,1,default
725723,25.485854999999997,92.31093,1330,0,1,default
702382,23.089942999999998,91.63157,31,0,1,default
723102,25.218933,92.28139499999999,810,0,1,default
708397,23.713417,91.306656,45,0,1,default
705518,23.415596,91.39526,53,0,1,default
706583,23.523972,91.89741,100,0,1,default
724940,25.405846,92.39954,1228,0,1,default
706054,23.469795,91.74972,87,0,1,default
706829,23.551056,91.424805,41,0,1,default
704999,23.361373999999998,91.54295,42,0,1,default
706564,23.523972,91.33619,15,0,1,default
724938,25.405846,92.34047,1271,0,1,default
703946,23.252869,91.39526,29,0,1,default
703953,23.252869,91.60203,35,0,1,default
705262,23.388489,91.57249499999999,67,0,1,default
712079,24.091476,91.72018,98,0,1,default
725197,25.43251,92.25185400000001,1373,0,1,default
724148,25.325768,92.22232,1177,0,1,default
725972,25.512520000000002,91.92694,1745,0,1,default
724150,25.325768,92.28139499999999,1162,0,1,default
711021,23.983574,91.424805,49,0,1,default
725648,25.485854999999997,90.09561,90,0,1,default
724928,25.405846,92.04509,1465,0,1,default
724414,25.352463,92.34047,1160,0,1,default
720502,24.951424,92.87215,80,0,1,default
708927,23.767494,91.48388,76,0,1,default
711022,23.983574,91.454346,82,0,1,default
704737,23.334259,91.54295,44,0,1,default
704214,23.280006,91.57249499999999,32,0,1,default
704215,23.280006,91.60203,36,0,1,default
723892,25.299065,92.39954,871,0,1,default
723807,25.299065,89.888855,43,0,1,default
704208,23.280006,91.39526,31,0,1,default
706825,23.551056,91.306656,28,0,1,default
724154,25.325768,92.39954,1019,0,1,default
704470,23.307137,91.39526,30,0,1,default
704736,23.334259,91.51342,32,0,1,default
708430,23.713417,92.28139499999999,240,0,1,default
707347,23.605202,91.24758,40,0,1,default
707092,23.578132999999998,91.454346,40,0,1,default
709189,23.794525,91.48388,60,0,1,default
711282,24.01056,91.39526,26,0,1,default
725710,25.485854999999997,91.92694,1790,0,1,default
710233,23.902588,91.36573,40,0,1,default
707610,23.632263000000002,91.27711500000001,19,0,1,default
702905,23.144272,91.60203,47,0,1,default
725971,25.512520000000002,91.89741,1784,0,1,default
708665,23.740456,91.48388,83,0,1,default
711030,23.983574,91.69064,87,0,1,default
709709,23.848564,91.36573,21,0,1,default
705780,23.442703,91.39526,42,0,1,default
708400,23.713417,91.39526,52,0,1,default
725204,25.43251,92.45862,1065,0,1,default
704993,23.361373999999998,91.36573,60,0,1,default
707087,23.578132999999998,91.306656,43,0,1,default
724156,25.325768,92.45862,984,0,1,default
702645,23.117110999999998,91.6611,42,0,1,default
709980,23.87558,91.63157,45,0,1,default
702121,23.062767,91.63157,36,0,1,default
708923,23.767494,91.36573,50,0,1,default
707094,23.578132999999998,91.51342,69,0,1,default
724420,25.352463,92.51769,1166,0,1,default
707088,23.578132999999998,91.33619,45,0,1,default
725448,25.45919,91.92694,1802,0,1,default
725905,25.512520000000002,89.94793,38,0,1,default
724336,25.352463,90.03654,92,0,1,default
707354,23.605202,91.454346,68,0,1,default
709188,23.794525,91.454346,42,0,1,default
706566,23.523972,91.39526,41,0,1,default
725985,25.512520000000002,92.31093,1339,0,1,default
723891,25.299065,92.37,992,0,1,default
725463,25.45919,92.37,1279,0,1,default
