gid,latitude,longitude,elevation,offshore,wrf_region,config
147683,27.039436,71.61154,216,0,0,default
249319,30.584235999999997,75.1265,218,0,0,default
83201,24.727692,71.16847,20,0,0,default
211629,29.278786,78.10979499999999,220,0,0,default
216749,29.458977,76.13078,226,0,0,default
153724,27.249709999999997,74.94928,432,0,0,default
155043,27.302222999999998,70.13466,103,0,0,default
41810,23.216331,74.26992,252,0,0,default
125459,26.247405999999998,71.788765,209,0,0,default
136530,26.644104,70.48911,176,0,0,default
91364,25.022469,71.52293,33,0,0,default
249307,30.584235999999997,74.77206,204,0,0,default
127957,26.326874,79.91158,123,0,0,default
179015,28.138924,77.81442,191,0,0,default
240434,30.278609999999997,75.33327,218,0,0,default
210754,29.253021,74.151764,182,0,0,default
184848,28.347092,75.008354,293,0,0,default
165771,27.669075,80.59095,144,0,0,default
148024,27.039436,81.68384,106,0,0,default
105721,25.529938,79.73436,157,0,0,default
126305,26.273909999999997,74.89020500000001,378,0,0,default
141307,26.802414000000002,80.26604,125,0,0,default
115200,25.875946,75.18558,330,0,0,default
193049,28.632659999999998,76.48523,218,0,0,default
146425,26.986801,78.22794,165,0,0,default
229377,29.895248,77.04645,260,0,0,default
134328,26.564873,71.1094,270,0,0,default
138072,26.696907,72.26137,280,0,0,default
118124,25.982193,74.00408,353,0,0,default
119891,26.035294,82.42228,93,0,0,default
167040,27.721375,74.29945,342,0,0,default
119125,26.00875,81.68384,95,0,0,default
146926,27.01313,71.13894,193,0,0,default
127991,26.326874,80.91586,118,0,0,default
84780,24.781334,74.033615,503,0,0,default
173201,27.930351,81.1817,131,0,0,default
102793,25.423279,80.797714,118,0,0,default
182614,28.269073,74.68344,301,0,0,default
210842,29.253021,76.75107,230,0,0,default
204221,29.02082,78.16887,216,0,0,default
114460,25.849358,75.21512,326,0,0,default
163226,27.590569,71.079865,115,0,0,default
116982,25.929085,84.046844,66,0,0,default
114684,25.849358,81.83153,100,0,0,default
198918,28.839859000000004,74.74251600000001,216,0,0,default
168764,27.773659000000002,81.44754,122,0,0,default
187760,28.45102,73.472404,214,0,0,default
99080,25.289818,80.56141,138,0,0,default
197395,28.788086,73.53148,200,0,0,default
138422,26.696907,82.5995,86,0,0,default
147708,27.039436,72.349976,275,0,0,default
124351,26.19442,82.8358,86,0,0,default
120990,26.088364000000002,71.1094,276,0,0,default
164807,27.642899,74.00408,308,0,0,default
115934,25.902511999999998,74.97882,374,0,0,default
104215,25.476623999999997,79.02546,209,0,0,default
173778,27.956444,76.33755,309,0,0,default
156624,27.354706,73.058876,294,0,0,default
207082,29.124077000000003,75.1265,201,0,0,default
