gid,latitude,longitude,elevation,offshore,wrf_region,config
390388,10.217857,78.66459,125,0,1,default
443383,12.563095,78.90089,746,0,1,default
574067,18.115226999999997,77.68985,525,0,1,default
510742,15.571144,75.208694,620,0,1,default
471668,13.828407,79.58025,80,0,1,default
590871,18.675789,79.07812,283,0,1,default
499306,15.058342000000001,75.26778,630,0,1,default
404880,10.85672,78.69413,74,0,1,default
447241,12.736015,77.483086,695,0,1,default
523725,16.139412,74.94286,568,0,1,default
529742,16.394607999999998,76.921875,423,0,1,default
559999,17.609184,77.15817,547,0,1,default
510782,15.571144,76.3902,500,0,1,default
588481,18.591827,84.06996,60,0,1,default
365321,9.111374,77.896614,77,0,1,default
542735,16.932251,80.31869499999999,72,0,1,default
506419,15.371872,79.43256,104,0,1,default
535754,16.649467,76.1539,548,0,1,default
574882,18.143303,77.808,456,0,1,default
407475,10.972733,77.896614,185,0,1,default
386426,10.043396000000001,78.66459,77,0,1,default
455058,13.081512,79.04858,428,0,1,default
422508,11.638916,79.63933,35,0,1,default
557956,17.524704,82.94753,19,0,1,default
555733,17.440178,82.85892,4,0,1,default
546276,17.073479000000003,81.26389,79,0,1,default
499333,15.058342000000001,76.065285,532,0,1,default
346307,8.264626,77.24679,55,0,1,default
514111,15.713356,79.75748,83,0,1,default
570924,18.0029,79.96424,283,0,1,default
506337,15.371872,77.01049,407,0,1,default
479388,14.172325,78.01476,504,0,1,default
551855,17.299232,76.44927,448,0,1,default
360701,8.907166,77.45355,126,0,1,default
532469,16.507920000000002,78.54644,422,0,1,default
579186,18.283585000000002,84.04042,22,0,1,default
586782,18.53582,84.129036,34,0,1,default
524488,16.167786,78.044304,321,0,1,default
474753,13.971764000000002,75.26778,686,0,1,default
547561,17.129944000000002,77.27633,442,0,1,default
411386,11.1466675,77.45355,291,0,1,default
516607,15.827064499999999,77.12864,375,0,1,default
467192,13.627548,79.96424,13,0,1,default
381144,9.810630999999999,78.605515,65,0,1,default
541372,16.875725,80.99805500000001,55,0,1,default
410131,11.088699,78.9895,95,0,1,default
441432,12.476585,79.04858,208,0,1,default
438738,12.361206,76.65604,719,0,1,default
539833,16.819191,76.1539,515,0,1,default
585931,18.507812,84.04042,57,0,1,default
557757,17.524704,77.069565,525,0,1,default
465886,13.570129000000001,78.93043,531,0,1,default
495593,14.887138,78.90089,176,0,1,default
484572,14.401314000000001,77.66032,388,0,1,default
463902,13.483970999999999,76.47881,750,0,1,default
483221,14.344092999999999,76.094826,670,0,1,default
467758,13.65625,77.83754,771,0,1,default
401599,10.711639,78.81228,84,0,1,default
538627,16.762634,80.879906,75,0,1,default
465154,13.541412,76.03575,748,0,1,default
467103,13.627548,77.3354,705,0,1,default
525718,16.224518,75.445,544,0,1,default
519287,15.940697,79.37349,130,0,1,default
494268,14.830039999999999,77.68985,422,0,1,default
431606,12.0436325,78.48736600000001,353,0,1,default
549839,17.214607,81.05713,185,0,1,default
496898,14.9442215,79.58025,79,0,1,default
530325,16.42295,74.47026,603,0,1,default
464556,13.512695,77.069565,824,0,1,default
508192,15.457298000000002,75.41546,619,0,1,default
539265,16.790909,79.58025,119,0,1,default
473603,13.914429,79.52118,96,0,1,default
510263,15.542679000000001,79.96424,32,0,1,default
466423,13.598839000000002,76.03575,762,0,1,default
463343,13.455245999999999,78.69413,732,0,1,default
528537,16.337929000000003,80.584526,15,0,1,default
574044,18.115226999999997,77.01049,576,0,1,default
395007,10.421265,78.69413,110,0,1,default
521162,16.025887,76.80373,412,0,1,default
486584,14.487122,79.63933,73,0,1,default
456948,13.167801,77.98523,856,0,1,default
407532,10.972733,79.58025,14,0,1,default
481330,14.258224499999999,77.778465,413,0,1,default
527852,16.309578,79.9347,107,0,1,default
443301,12.563095,76.47881,763,0,1,default
535957,16.649467,82.15002,5,0,1,default
573311,18.08715,79.25534,393,0,1,default
519872,15.969101,77.36494,326,0,1,default
518651,15.9122925,79.84609,51,0,1,default
465915,13.570129000000001,79.78702,83,0,1,default
560034,17.609184,78.191986,515,0,1,default
359363,8.848801,76.774185,56,0,1,default
515300,15.77021,76.74465,397,0,1,default
402257,10.740662,78.81228,76,0,1,default
415343,11.320496,78.81228,156,0,1,default
