gid,latitude,longitude,elevation,offshore,wrf_region,config
18813,22.372185,73.50194,80,0,0,default
643825,20.346199,77.39448,447,0,1,default
589868,18.647804,74.677025,563,0,1,default
6266,21.907073999999998,74.97882,327,0,0,default
106403,25.556587,77.991646,272,0,0,default
656680,20.733437,78.87135,226,0,1,default
554738,17.412010000000002,75.208694,500,0,1,default
640995,20.2631,74.38164499999999,637,0,1,default
661352,20.871498000000003,81.027596,315,0,1,default
96063,25.182953,78.995926,247,0,0,default
60260,23.893234,72.0546,69,0,0,default
641889,20.290802,73.93858,662,0,1,default
681553,21.477448000000003,71.132515,130,0,1,default
639420,20.207664,81.47066,436,0,1,default
72103,24.324607999999998,71.67061600000001,54,0,0,default
21022,22.45411,73.08842,12,0,0,default
4880,21.852257,77.81442,632,0,0,default
596755,18.871560000000002,75.47453,805,0,1,default
554724,17.412010000000002,74.79517,665,0,1,default
55848,23.731094,73.058876,178,0,0,default
47865,23.433320000000002,78.02119,444,0,0,default
685423,21.587349,73.259224,71,0,1,default
61255,23.920242000000002,79.55714,353,0,0,default
50886,23.54168,79.70483,376,0,0,default
557629,17.524704,73.28876,163,0,1,default
679895,21.422462,78.044304,385,0,1,default
30818,22.808525,77.90303,313,0,0,default
539737,16.819191,73.3183,93,0,1,default
54228,23.677001999999998,68.9827,129,0,0,default
535677,16.649467,73.87951,616,0,1,default
667722,21.064567999999998,78.22153,312,0,1,default
18169,22.344872,76.36708,289,0,0,default
555457,17.440178,74.70656,770,0,1,default
4781,21.852257,74.89020500000001,386,0,0,default
27120,22.672318,78.10979499999999,343,0,0,default
44079,23.297745000000003,75.62865,471,0,0,default
58310,23.812186999999998,80.11835,599,0,0,default
633045,20.013512,80.023315,212,0,1,default
46835,23.406212,69.48483,52,0,0,default
635570,20.096748,74.677025,630,0,1,default
654015,20.650543,81.47066,339,0,1,default
11608,22.098770000000002,79.55714,621,0,0,default
82769,24.700867000000002,80.29558,439,0,0,default
15052,22.235557999999997,71.84784,46,0,0,default
522381,16.082657,74.05673,857,0,1,default
47754,23.433320000000002,74.74251600000001,501,0,0,default
627513,19.8469,75.82899,537,0,1,default
35921,22.998993,75.42188,509,0,0,default
44869,23.324875,77.07598,473,0,0,default
556950,17.496536,75.17916,509,0,1,default
554747,17.412010000000002,75.47453,497,0,1,default
66088,24.1091,69.10084499999999,5,0,0,default
78984,24.566612,77.93257,436,0,0,default
650125,20.539939999999998,74.79517,353,0,1,default
127162,26.300385,78.31656,175,0,0,default
642008,20.290802,77.45355,460,0,1,default
47882,23.433320000000002,78.52332,595,0,0,default
652907,20.622902,75.82899,337,0,1,default
677195,21.33995,81.85464499999999,282,0,1,default
569193,17.946709,75.6813,476,0,1,default
595873,18.843597,74.85425,636,0,1,default
7091,21.934479,77.45997,524,0,0,default
62618,23.974228,76.04217,420,0,0,default
47897,23.433320000000002,78.966385,462,0,0,default
609839,19.290267999999998,77.24679,385,0,1,default
624953,19.763535,79.43256,188,0,1,default
603632,19.095009,74.20442,664,0,1,default
589237,18.61982,81.23435,1084,0,1,default
645670,20.40158,78.07384,439,0,1,default
77496,24.512878,77.75535,468,0,0,default
30003,22.781303,75.71725500000001,531,0,0,default
596697,18.871560000000002,73.76136,712,0,1,default
66182,24.1091,71.87738,74,0,0,default
645684,20.40158,78.48736600000001,267,0,1,default
4638,21.852257,70.666336,101,0,0,default
33791,22.917389,78.16887,319,0,0,default
91575,25.022469,77.75535,460,0,0,default
91551,25.022469,77.04645,429,0,0,default
18712,22.372185,70.51865,88,0,0,default
648331,20.484612,75.799446,625,0,1,default
76008,24.459114000000003,77.57812,503,0,0,default
599550,18.955382999999998,81.559265,633,0,1,default
14266,22.208206,70.51865,113,0,0,default
55286,23.704048,78.3461,537,0,0,default
37208,23.053352,69.66206,112,0,0,default
575648,18.171364,76.3902,650,0,1,default
556235,17.46836,75.88806,436,0,1,default
649251,20.512276,75.97668,711,0,1,default
596732,18.871560000000002,74.79517,635,0,1,default
655715,20.70581,77.483086,303,0,1,default
36542,23.026176,71.87738,14,0,0,default
685429,21.587349,73.43645,177,0,1,default
664765,20.98185,72.90477,10,0,1,default
36668,23.026176,75.599106,504,0,0,default
644634,20.373894,74.38164499999999,588,0,1,default
670430,21.147232000000002,75.76991,212,0,1,default
33655,22.917389,74.151764,328,0,0,default
683459,21.532417000000002,71.39835,88,0,1,default
24115,22.563254999999998,76.89876,287,0,0,default
632097,19.985756,78.605515,259,0,1,default
33783,22.917389,77.93257,313,0,0,default
36831,23.026176,80.41373,652,0,0,default
608963,19.26239,77.21725,364,0,1,default
632958,20.013512,77.45355,407,0,1,default
67110,24.136063,77.400894,527,0,0,default
65369,24.082145999999998,69.75067,2,0,0,default
62588,23.974228,75.156044,459,0,0,default
544645,17.017006,74.76563,673,0,1,default
46193,23.379105,72.40905,81,0,0,default
12817,22.153503,71.493385,145,0,0,default
629340,19.902458,76.83326,529,0,1,default
47788,23.433320000000002,75.746796,511,0,0,default
36598,23.026176,73.53148,92,0,0,default
11519,22.098770000000002,76.92829,292,0,0,default
57564,23.785164,79.97066,437,0,0,default
682882,21.504929,82.38632,344,0,1,default
1762,21.742554000000002,73.26564,72,0,0,default
34280,22.944595,70.72541,25,0,0,default
104880,25.503288,76.78061,276,0,0,default
555500,17.440178,75.97668,460,0,1,default
648402,20.484612,77.896614,325,0,1,default
667552,21.064567999999998,73.20015,45,0,1,default
645787,20.40158,81.52973,393,0,1,default
661396,20.871498000000003,82.32725,362,0,1,default
130125,26.40625,78.28702,160,0,0,default
641217,20.2631,80.93898,369,0,1,default
589080,18.61982,76.59696,604,0,1,default
26912,22.672318,71.96599,15,0,0,default
55025,23.704048,70.6368,12,0,0,default
30714,22.808525,74.83113,498,0,0,default
47117,23.406212,77.81442,435,0,0,default
61259,23.920242000000002,79.675285,331,0,0,default
41752,23.216331,72.55674,67,0,0,default
58040,23.812186999999998,72.14321,81,0,0,default
651125,20.567604,77.30586,334,0,1,default
68307,24.189964,68.9827,1,0,0,default
660406,20.843895,80.28915400000001,273,0,1,default
35925,22.998993,75.54003,507,0,0,default
616029,19.485313,78.25106,359,0,1,default
604596,19.12291,77.01049,374,0,1,default
651938,20.595253,74.2635,551,0,1,default
113032,25.79618,76.81014,250,0,0,default
681630,21.477448000000003,73.406906,143,0,1,default
660278,20.843895,76.50835,252,0,1,default
12141,22.126151999999998,73.41333,44,0,0,default
671363,21.174782,75.76991,227,0,1,default
674273,21.257393,78.81228,373,0,1,default
6209,21.907073999999998,73.29518,21,0,0,default
51362,23.568756,71.87738,36,0,0,default
579771,18.311629999999997,76.53789,609,0,1,default
14375,22.208206,73.73824,79,0,0,default
668547,21.092133,75.14962,178,0,1,default
38922,23.107704000000002,76.51477,487,0,0,default
523040,16.111038,74.11581,687,0,1,default
1117,21.71511,76.10124,375,0,0,default
52846,23.622887,71.93645500000001,40,0,0,default
662107,20.899094,76.12436,253,0,1,default
23460,22.535973000000002,79.43899,647,0,0,default
65604,24.082145999999998,76.69199,376,0,0,default
12176,22.126151999999998,74.44714,161,0,0,default
29297,22.754058999999998,76.75107,364,0,0,default
42016,23.216331,80.35465,548,0,0,default
587357,18.56382,76.00621,674,0,1,default
628315,19.874679999999998,73.05246,129,0,1,default
632040,19.985756,76.921875,525,0,1,default
607123,19.206612,74.47026,677,0,1,default
36470,23.026176,69.75067,108,0,0,default
1202,21.71511,78.61193,545,0,0,default
16024,22.262885999999998,78.67101,950,0,0,default
67646,24.16301,71.3457,11,0,0,default
590710,18.675789,74.32257,581,0,1,default
40180,23.162025,69.89836,125,0,0,default
676886,21.33995,72.72755,7,0,1,default
966,21.71511,71.641075,82,0,0,default
656653,20.733437,78.07384,289,0,1,default
34352,22.944595,72.85211,53,0,0,default
677877,21.367455,74.17488,198,0,1,default
653776,20.650543,74.41119,500,0,1,default
48606,23.460419,78.02119,441,0,0,default
675079,21.284912,74.91332,154,0,1,default
673082,21.229858,71.30974599999999,190,0,1,default
41129,23.189178,76.04217,505,0,0,default
55858,23.731094,73.354256,257,0,0,default
27601,22.69957,70.43004,13,0,0,default
60942,23.920242000000002,70.31189,7,0,0,default
31436,22.835747,74.26992,291,0,0,default
64086,24.028198,75.62865,442,0,0,default
575625,18.171364,75.71084,520,0,1,default
606319,19.178719,76.47881,409,0,1,default
26295,22.645058,75.62865,557,0,0,default
19649,22.399498,76.30801,248,0,0,default
29119,22.754058999999998,71.493385,97,0,0,default
9156,22.016655,72.79304,8,0,0,default
609798,19.290267999999998,76.03575,416,0,1,default
41170,23.189178,77.253204,526,0,0,default
622261,19.680115,78.93043,302,0,1,default
683445,21.532417000000002,70.98483,143,0,1,default
60960,23.920242000000002,70.84357,3,0,0,default
54591,23.677001999999998,79.70483,348,0,0,default
62740,23.974228,79.64575,337,0,0,default
668700,21.092133,79.66887,264,0,1,default
665034,20.98185,80.850365,304,0,1,default
657474,20.761063,75.17916,295,0,1,default
642048,20.290802,78.635056,243,0,1,default
28786,22.726814,83.5447,583,0,0,default
672431,21.202324,79.72794,258,0,1,default
602795,19.067085000000002,75.12009,740,0,1,default
