,Unnamed: 0,gid,latitude,longitude,elevation,timezone,config
3177,3178,68828,23.85,87.85,0,5.5,default
1974,1975,61895,23.55,85.75,0,5.5,default
3328,3329,69836,25.65,88.15,0,5.5,default
3711,3722,74796,26.65,89.65,0,5.5,default
2571,2572,64868,23.85,86.65,0,5.5,default
2342,2343,63840,20.05,86.35,0,5.5,default
488,488,55257,19.75,83.75,0,5.5,default
3357,3358,70138,22.85,88.25,0,5.5,default
2341,2342,63575,26.55,86.25,0,5.5,default
2976,2977,67497,22.75,87.45,0,5.5,default
699,699,56301,25.15,84.05,0,5.5,default
3537,3540,71170,27.05,88.55,0,5.5,default
2419,2420,64182,21.25,86.45,0,5.5,default
2147,2148,62855,20.55,86.05,0,5.5,default
3121,3122,68489,22.95,87.75,0,5.5,default
304,304,53602,19.25,83.25,0,5.5,default
2826,2827,66501,22.15,87.15,0,5.5,default
942,943,57307,26.75,84.35,0,5.5,default
3340,3341,69853,27.35,88.15,0,5.5,default
428,428,54647,24.75,83.55,0,5.5,default
1438,1439,59554,20.45,85.05,0,5.5,default
1247,1248,58604,24.45,84.75,0,5.5,default
3433,3435,70495,25.55,88.35,0,5.5,default
887,888,57247,20.75,84.35,0,5.5,default
2053,2054,62236,24.65,85.85,0,5.5,default
