,gid,latitude,longitude,elevation,offshore,wrf_region,config
2230,14799,22.208206,86.26215,294,0,0,default
18080,129621,26.379807,85.287415,62,0,0,default
22746,615331,19.457458,83.71551,419,0,1,default
31180,670665,21.147232000000002,82.711235,352,0,1,default
27203,645896,20.40158,84.74932,120,0,1,default
40873,718233,24.736984,87.76215,47,0,1,default
20537,587583,18.56382,82.681694,883,0,1,default
41222,720332,24.951424,87.85076,27,0,1,default
25373,634123,20.04126,85.25146,358,0,1,default
5835,43648,23.270607000000002,84.78528,657,0,0,default
33685,688668,21.669724,84.5721,357,0,1,default
10941,78440,24.53975,83.751465,153,0,0,default
40408,715349,24.441536,87.70308,59,0,1,default
36318,698564,22.709,87.11233,81,0,1,default
33185,684989,21.559883,88.53013,2,0,1,default
32701,682004,21.477448000000003,84.45395,354,0,1,default
15942,111830,25.742989,85.08066,53,0,0,default
9935,71814,24.297691,85.021576,411,0,0,default
31295,670787,21.147232000000002,86.31481,33,0,1,default
16340,115544,25.875946,85.3465,53,0,0,default
36393,698830,22.736252,87.28955,49,0,1,default
27484,647710,20.45694,84.42441,634,0,1,default
21735,605724,19.150818,84.63117,17,0,1,default
18000,128892,26.353333000000003,85.64187,60,0,0,default
35182,694364,22.272346,86.87602,54,0,1,default
