,Unnamed: 0,gid,latitude,longitude,elevation,timezone,config
1844,1845,61247,24.75,85.55,0,5.5,default
3326,3327,69834,25.45,88.15,0,5.5,default
1765,1766,60909,23.95,85.45,0,5.5,default
3350,3351,70131,22.15,88.25,0,5.5,default
2894,2895,66851,24.15,87.25,0,5.5,default
1760,1761,60904,23.45,85.45,0,5.5,default
2015,2016,62198,20.85,85.85,0,5.5,default
1205,1206,58562,20.25,84.75,0,5.5,default
1057,1058,57916,21.65,84.55,0,5.5,default
3708,3719,74793,26.35,89.65,0,5.5,default
2330,2331,63564,25.45,86.25,0,5.5,default
1027,1028,57640,27.05,84.45,0,5.5,default
3267,3268,69488,23.85,88.05,0,5.5,default
3153,3154,68521,26.15,87.75,0,5.5,default
602,602,55926,20.65,83.95,0,5.5,default
718,718,56574,19.45,84.15,0,5.5,default
2766,2767,65882,26.25,86.95,0,5.5,default
1529,1530,59901,22.15,85.15,0,5.5,default
401,401,54601,20.15,83.55,0,5.5,default
3417,3419,70474,23.45,88.35,0,5.5,default
1080,1081,57939,23.95,84.55,0,5.5,default
3474,3476,70807,23.75,88.45,0,5.5,default
2295,2296,63529,21.95,86.25,0,5.5,default
2668,2669,65507,21.75,86.85,0,5.5,default
3282,3283,69504,25.45,88.05,0,5.5,default
21,21,49300,18.05,81.95,0,5.5,default
92,92,50645,20.55,82.35,0,5.5,default
1409,1410,59271,25.15,84.95,0,5.5,default
628,628,55964,24.45,83.95,0,5.5,default
914,915,57275,23.55,84.35,0,5.5,default
2880,2881,66837,22.75,87.25,0,5.5,default
1713,1714,60599,25.95,85.35,0,5.5,default
2962,2963,67201,26.15,87.35,0,5.5,default
499,499,55268,20.85,83.75,0,5.5,default
1194,1195,58551,19.15,84.75,0,5.5,default
2193,2194,62901,25.15,86.05,0,5.5,default
1274,1275,58883,19.35,84.85,0,5.5,default
973,974,57584,21.45,84.45,0,5.5,default
55,55,49979,19.95,82.15,0,5.5,default
1550,1551,59922,24.25,85.15,0,5.5,default
3560,3564,71465,23.55,88.65,0,5.5,default
1212,1213,58569,20.95,84.75,0,5.5,default
381,381,54312,24.25,83.45,0,5.5,default
2127,2128,62572,25.25,85.95,0,5.5,default
2185,2186,62893,24.35,86.05,0,5.5,default
2273,2274,63243,26.35,86.15,0,5.5,default
1184,1185,58292,26.25,84.65,0,5.5,default
2522,2523,64551,25.15,86.55,0,5.5,default
3458,3460,70791,22.15,88.45,0,5.5,default
1791,1792,60935,26.55,85.45,0,5.5,default
3668,3679,72818,26.85,89.05,0,5.5,default
248,248,52627,20.75,82.95,0,5.5,default
423,423,54642,24.25,83.55,0,5.5,default
3215,3216,69151,23.15,87.95,0,5.5,default
1413,1414,59275,25.55,84.95,0,5.5,default
413,413,54613,21.35,83.55,0,5.5,default
2014,2015,62197,20.75,85.85,0,5.5,default
3225,3226,69161,24.15,87.95,0,5.5,default
1071,1072,57930,23.05,84.55,0,5.5,default
2552,2553,64849,21.95,86.65,0,5.5,default
2274,2275,63244,26.45,86.15,0,5.5,default
730,730,56586,20.65,84.15,0,5.5,default
1840,1841,61243,24.35,85.55,0,5.5,default
448,448,54935,20.55,83.65,0,5.5,default
1930,1931,61592,26.25,85.65,0,5.5,default
3699,3710,74460,26.05,89.55,0,5.5,default
2664,2665,65503,21.35,86.85,0,5.5,default
429,429,54648,24.85,83.55,0,5.5,default
3054,3055,67857,25.75,87.55,0,5.5,default
3614,3618,71834,27.45,88.75,0,5.5,default
1340,1341,58949,25.95,84.85,0,5.5,default
3488,3491,70836,26.65,88.45,0,5.5,default
2318,2319,63552,24.25,86.25,0,5.5,default
1155,1156,58263,23.35,84.65,0,5.5,default
385,385,54318,24.85,83.45,0,5.5,default
137,137,51305,20.55,82.55,0,5.5,default
3077,3078,68162,23.25,87.65,0,5.5,default
2893,2894,66850,24.05,87.25,0,5.5,default
3525,3528,71139,23.95,88.55,0,5.5,default
894,895,57254,21.45,84.35,0,5.5,default
2978,2979,67499,22.95,87.45,0,5.5,default
724,724,56580,20.05,84.15,0,5.5,default
2237,2238,63207,22.75,86.15,0,5.5,default
3441,3443,70508,26.85,88.35,0,5.5,default
3506,3509,71120,22.05,88.55,0,5.5,default
157,157,51631,20.15,82.65,0,5.5,default
2310,2311,63544,23.45,86.25,0,5.5,default
2228,2229,63198,21.85,86.15,0,5.5,default
1697,1698,60583,24.35,85.35,0,5.5,default
209,209,52286,19.65,82.85,0,5.5,default
531,531,55579,18.95,83.85,0,5.5,default
2062,2063,62245,25.55,85.85,0,5.5,default
1588,1589,60216,20.65,85.25,0,5.5,default
2213,2214,63183,20.35,86.15,0,5.5,default
1897,1898,61559,22.95,85.65,0,5.5,default
2843,2844,66518,23.85,87.15,0,5.5,default
2412,2413,64175,20.55,86.45,0,5.5,default
3104,3105,68189,25.95,87.65,0,5.5,default
1873,1874,61535,20.55,85.65,0,5.5,default
2712,2713,65551,26.15,86.85,0,5.5,default
