,Unnamed: 0,gid,latitude,longitude,elevation,timezone,config
383,385,82031,24.15,91.85,0,5.5,default
2088,2101,95593,27.35,95.95,0,5.5,default
1481,1489,89627,24.75,94.15,0,5.5,default
2106,2119,95611,29.15,95.95,0,5.5,default
1586,1594,90295,25.55,94.35,0,5.5,default
195,195,79411,26.15,91.05,0,5.5,default
1958,1969,93619,27.95,95.35,0,5.5,default
874,879,85661,24.15,92.95,0,5.5,default
2239,2253,98568,27.85,96.85,0,5.5,default
1390,1398,88974,25.45,93.95,0,5.5,default
1998,2009,94274,27.45,95.55,0,5.5,default
770,775,85020,26.05,92.75,0,5.5,default
1443,1451,89309,25.95,94.05,0,5.5,default
1749,1759,91317,28.75,94.65,0,5.5,default
91,91,77424,25.45,90.45,0,5.5,default
1995,2006,94271,27.15,95.55,0,5.5,default
2241,2255,98570,28.05,96.85,0,5.5,default
1219,1227,87672,27.25,93.55,0,5.5,default
1460,1468,89326,27.65,94.05,0,5.5,default
2194,2208,97252,28.25,96.45,0,5.5,default
1093,1101,86978,23.85,93.35,0,5.5,default
1023,1031,86355,27.55,93.15,0,5.5,default
1857,1868,92306,28.65,94.95,0,5.5,default
1833,1844,92282,26.25,94.95,0,5.5,default
1264,1272,88000,27.05,93.65,0,5.5,default
1823,1834,91977,28.75,94.85,0,5.5,default
1117,1125,87003,26.35,93.35,0,5.5,default
768,773,85018,25.85,92.75,0,5.5,default
1001,1009,86333,25.35,93.15,0,5.5,default
787,792,85037,27.75,92.75,0,5.5,default
439,443,82704,25.45,92.05,0,5.5,default
2199,2213,97259,28.95,96.45,0,5.5,default
831,836,85350,26.05,92.85,0,5.5,default
1999,2010,94275,27.55,95.55,0,5.5,default
2104,2117,95609,28.95,95.95,0,5.5,default
1335,1343,88636,24.65,93.85,0,5.5,default
1826,1837,91980,29.05,94.85,0,5.5,default
1018,1026,86350,27.05,93.15,0,5.5,default
1298,1306,88317,25.75,93.75,0,5.5,default
95,95,77428,25.85,90.45,0,5.5,default
926,932,85982,23.25,93.05,0,5.5,default
1671,1681,90950,25.05,94.55,0,5.5,default
503,508,83363,25.35,92.25,0,5.5,default
278,278,80729,25.95,91.45,0,5.5,default
209,209,79739,25.95,91.15,0,5.5,default
1630,1640,90624,25.45,94.45,0,5.5,default
943,949,85999,24.95,93.05,0,5.5,default
2160,2174,96590,28.05,96.25,0,5.5,default
1337,1345,88638,24.85,93.85,0,5.5,default
649,654,84355,25.55,92.55,0,5.5,default
1524,1532,89951,24.15,94.25,0,5.5,default
473,477,83039,25.95,92.15,0,5.5,default
260,260,80406,26.65,91.35,0,5.5,default
2060,2072,94950,29.05,95.75,0,5.5,default
337,337,81391,26.15,91.65,0,5.5,default
1366,1374,88667,27.75,93.85,0,5.5,default
1393,1401,88977,25.75,93.95,0,5.5,default
2079,2091,95276,28.65,95.85,0,5.5,default
1693,1703,90972,27.25,94.55,0,5.5,default
206,206,79736,25.65,91.15,0,5.5,default
1480,1488,89626,24.65,94.15,0,5.5,default
572,577,84000,23.05,92.45,0,5.5,default
464,468,83023,24.35,92.15,0,5.5,default
408,411,82360,24.05,91.95,0,5.5,default
2217,2231,97908,27.85,96.65,0,5.5,default
361,363,81716,25.65,91.75,0,5.5,default
1983,1994,93951,28.15,95.45,0,5.5,default
143,143,78417,25.75,90.75,0,5.5,default
964,970,86020,27.05,93.05,0,5.5,default
200,200,79416,26.65,91.05,0,5.5,default
498,502,83353,24.35,92.25,0,5.5,default
1245,1253,87981,25.15,93.65,0,5.5,default
244,244,80378,23.85,91.35,0,5.5,default
441,445,82706,25.65,92.05,0,5.5,default
1032,1040,86641,23.15,93.25,0,5.5,default
1912,1923,92961,28.15,95.15,0,5.5,default
1895,1906,92641,29.15,95.05,0,5.5,default
1878,1889,92624,27.45,95.05,0,5.5,default
507,512,83367,25.75,92.25,0,5.5,default
353,355,81697,23.75,91.75,0,5.5,default
963,969,86019,26.95,93.05,0,5.5,default
245,245,80379,23.95,91.35,0,5.5,default
1065,1073,86674,26.45,93.25,0,5.5,default
1185,1193,87355,28.55,93.45,0,5.5,default
1619,1627,90328,28.85,94.35,0,5.5,default
230,230,80071,26.15,91.25,0,5.5,default
1037,1045,86646,23.65,93.25,0,5.5,default
1634,1644,90628,25.85,94.45,0,5.5,default
1422,1430,89006,28.65,93.95,0,5.5,default
384,386,82042,25.25,91.85,0,5.5,default
1837,1848,92286,26.65,94.95,0,5.5,default
1019,1027,86351,27.15,93.15,0,5.5,default
1325,1333,88344,28.45,93.75,0,5.5,default
351,353,81695,23.55,91.75,0,5.5,default
646,651,84352,25.25,92.55,0,5.5,default
1258,1266,87994,26.45,93.65,0,5.5,default
1820,1831,91974,28.45,94.85,0,5.5,default
730,735,84708,27.85,92.65,0,5.5,default
179,179,79081,26.15,90.95,0,5.5,default
63,63,76771,26.15,90.25,0,5.5,default
