,Unnamed: 0,gid,latitude,longitude,elevation,timezone,config
2571,2575,26602,25.25,75.05,0,5.5,default
3041,3045,28012,34.25,75.45,0,5.5,default
7512,7545,48396,26.65,81.65,0,5.5,default
4052,4056,31289,31.95,76.45,0,5.5,default
1122,1123,20683,27.35,73.25,0,5.5,default
3249,3253,28911,25.15,75.75,0,5.5,default
5634,5638,36922,34.25,78.15,0,5.5,default
1420,1421,22321,26.15,73.75,0,5.5,default
3266,3270,28928,26.85,75.75,0,5.5,default
5741,5745,37517,27.75,78.35,0,5.5,default
524,524,16059,26.95,71.85,0,5.5,default
3092,3096,28294,29.45,75.55,0,5.5,default
6173,6180,39186,29.65,78.85,0,5.5,default
2188,2190,25290,26.05,74.65,0,5.5,default
1728,1729,23653,27.35,74.15,0,5.5,default
7000,7031,43785,27.55,80.25,0,5.5,default
5965,5970,38227,32.75,78.55,0,5.5,default
5970,5975,38232,33.25,78.55,0,5.5,default
5136,5140,35212,28.25,77.65,0,5.5,default
5466,5470,36267,34.75,77.95,0,5.5,default
6569,6595,41166,29.65,79.45,0,5.5,default
5378,5382,35937,34.75,77.85,0,5.5,default
966,966,19685,26.55,72.95,0,5.5,default
6320,6328,39854,30.45,79.05,0,5.5,default
7015,7046,43803,29.35,80.25,0,5.5,default
2186,2188,25288,25.85,74.65,0,5.5,default
3893,3897,30905,26.55,76.35,0,5.5,default
7653,7686,50035,25.55,82.15,0,5.5,default
4862,4866,34212,27.25,77.35,0,5.5,default
5190,5194,35266,33.65,77.65,0,5.5,default
3948,3952,30960,32.05,76.35,0,5.5,default
3272,3276,28934,27.45,75.75,0,5.5,default
2540,2544,26335,31.55,74.95,0,5.5,default
3179,3183,28611,28.15,75.65,0,5.5,default
3726,3730,30287,30.75,76.15,0,5.5,default
3467,3471,29578,25.85,75.95,0,5.5,default
637,637,17059,27.95,72.15,0,5.5,default
7818,7851,51695,26.55,82.65,0,5.5,default
2535,2539,26330,31.05,74.95,0,5.5,default
4783,4787,33892,28.25,77.25,0,5.5,default
3759,3763,30320,34.05,76.15,0,5.5,default
5972,5977,38234,33.45,78.55,0,5.5,default
85,85,11103,26.35,70.35,0,5.5,default
5032,5036,34866,26.65,77.55,0,5.5,default
2937,2941,27677,33.75,75.35,0,5.5,default
6642,6672,41782,25.25,79.65,0,5.5,default
2804,2808,27308,29.85,75.25,0,5.5,default
1446,1447,22347,28.75,73.75,0,5.5,default
4611,4615,33241,29.15,77.05,0,5.5,default
7460,7492,47742,27.25,81.45,0,5.5,default
1174,1175,21011,27.15,73.35,0,5.5,default
2055,2056,24712,34.25,74.45,0,5.5,default
7917,7950,52679,25.95,82.95,0,5.5,default
3099,3103,28301,30.15,75.55,0,5.5,default
7303,7335,46101,28.15,80.95,0,5.5,default
3691,3695,30252,27.25,76.15,0,5.5,default
5559,5563,36604,35.45,78.05,0,5.5,default
1259,1260,21366,29.65,73.45,0,5.5,default
4070,4074,31307,33.75,76.45,0,5.5,default
4715,4719,33585,30.55,77.15,0,5.5,default
3156,3160,28588,25.85,75.65,0,5.5,default
2276,2279,25607,24.75,74.75,0,5.5,default
67,67,10777,26.75,70.25,0,5.5,default
3049,3053,28251,25.15,75.55,0,5.5,default
7772,7805,51349,24.95,82.55,0,5.5,default
7985,8018,53336,25.65,83.15,0,5.5,default
4729,4733,33599,31.95,77.15,0,5.5,default
4960,4964,34552,28.25,77.45,0,5.5,default
5987,5992,38476,24.65,78.65,0,5.5,default
5740,5744,37516,27.65,78.35,0,5.5,default
1565,1566,22990,27.05,73.95,0,5.5,default
5110,5114,34944,34.45,77.55,0,5.5,default
213,213,12761,27.15,70.85,0,5.5,default
3615,3619,29951,30.15,76.05,0,5.5,default
3674,3678,30235,25.55,76.15,0,5.5,default
3350,3354,29238,24.85,75.85,0,5.5,default
2856,2860,27595,25.55,75.35,0,5.5,default
1495,1496,22659,26.95,73.85,0,5.5,default
86,86,11104,26.45,70.35,0,5.5,default
2968,2972,27939,26.95,75.45,0,5.5,default
133,133,11765,26.55,70.55,0,5.5,default
4252,4256,31946,31.65,76.65,0,5.5,default
1008,1008,20012,26.25,73.05,0,5.5,default
5759,5763,37535,29.55,78.35,0,5.5,default
961,961,19680,26.05,72.95,0,5.5,default
4256,4260,31950,32.05,76.65,0,5.5,default
3607,3611,29943,29.35,76.05,0,5.5,default
4798,4802,33907,29.75,77.25,0,5.5,default
2573,2577,26604,25.45,75.05,0,5.5,default
7327,7359,46419,26.95,81.05,0,5.5,default
466,466,15406,27.65,71.65,0,5.5,default
5194,5198,35270,34.05,77.65,0,5.5,default
2227,2229,25329,29.95,74.65,0,5.5,default
474,474,15712,25.25,71.75,0,5.5,default
2627,2631,26658,30.85,75.05,0,5.5,default
5705,5709,37239,32.95,78.25,0,5.5,default
6563,6589,41160,29.05,79.45,0,5.5,default
4169,4173,31633,33.35,76.55,0,5.5,default
4016,4020,31253,28.35,76.45,0,5.5,default
6004,6009,38510,28.05,78.65,0,5.5,default
