,Unnamed: 0,gid,latitude,longitude,elevation,timezone,config
782,782,29774,12.45,76.05,0,5.5,default
87,87,25184,15.45,74.65,0,5.5,default
3131,3131,37733,16.35,78.45,0,5.5,default
4184,4184,41322,12.25,79.55,0,5.5,default
55,55,24851,15.15,74.55,0,5.5,default
311,311,27132,12.25,75.25,0,5.5,default
2362,2362,35391,13.15,77.75,0,5.5,default
586,586,28787,12.75,75.75,0,5.5,default
1041,1041,30799,15.95,76.35,0,5.5,default
3543,3543,39040,15.05,78.85,0,5.5,default
4809,4809,44672,17.25,80.55,0,5.5,default
2034,2034,34380,11.05,77.45,0,5.5,default
2892,2892,37044,13.45,78.25,0,5.5,default
1134,1134,31139,16.95,76.45,0,5.5,default
1861,1861,33753,14.35,77.25,0,5.5,default
2879,2879,37031,12.15,78.25,0,5.5,default
1475,1475,32440,15.05,76.85,0,5.5,default
5020,5020,48295,16.55,81.65,0,5.5,default
2707,2707,36406,15.65,78.05,0,5.5,default
3358,3358,38407,17.75,78.65,0,5.5,default
4326,4326,41702,17.25,79.65,0,5.5,default
5121,5121,50284,17.45,82.25,0,5.5,default
246,246,26503,15.35,75.05,0,5.5,default
3621,3621,39346,12.65,78.95,0,5.5,default
1203,1203,31450,15.05,76.55,0,5.5,default
2473,2473,35728,13.85,77.85,0,5.5,default
1376,1376,32103,14.35,76.75,0,5.5,default
4980,4980,47308,16.85,81.35,0,5.5,default
4363,4363,41977,11.75,79.75,0,5.5,default
3228,3228,38053,15.35,78.55,0,5.5,default
3096,3096,37698,12.85,78.45,0,5.5,default
3812,3812,40002,12.25,79.15,0,5.5,default
3208,3208,38033,13.35,78.55,0,5.5,default
4,4,23859,14.95,74.25,0,5.5,default
1115,1115,31120,15.05,76.45,0,5.5,default
482,482,28138,13.85,75.55,0,5.5,default
374,374,27475,13.55,75.35,0,5.5,default
1009,1009,30767,12.75,76.35,0,5.5,default
3531,3531,39028,13.85,78.85,0,5.5,default
5126,5126,50289,17.95,82.25,0,5.5,default
4062,4062,40725,18.55,79.35,0,5.5,default
2112,2112,34686,8.65,77.55,0,5.5,default
970,970,30477,16.75,76.25,0,5.5,default
807,807,29799,14.95,76.05,0,5.5,default
2496,2496,35751,16.15,77.85,0,5.5,default
633,633,29100,11.05,75.85,0,5.5,default
4007,4007,40670,13.05,79.35,0,5.5,default
3733,3733,39689,13.95,79.05,0,5.5,default
2656,2656,36355,10.55,78.05,0,5.5,default
2532,2532,36010,9.05,77.95,0,5.5,default
2135,2135,34709,10.95,77.55,0,5.5,default
1799,1799,33461,18.15,77.15,0,5.5,default
1690,1690,33121,17.15,77.05,0,5.5,default
949,949,30456,14.65,76.25,0,5.5,default
408,408,27509,16.95,75.35,0,5.5,default
281,281,26820,14.05,75.15,0,5.5,default
2969,2969,37348,10.85,78.35,0,5.5,default
4788,4788,44348,17.85,80.45,0,5.5,default
2987,2987,37366,12.65,78.35,0,5.5,default
1074,1074,31079,10.95,76.45,0,5.5,default
4514,4514,42375,18.55,79.85,0,5.5,default
4217,4217,41355,15.55,79.55,0,5.5,default
3884,3884,40074,19.45,79.15,0,5.5,default
4228,4228,41366,16.65,79.55,0,5.5,default
1593,1593,32793,17.35,76.95,0,5.5,default
895,895,30145,16.55,76.15,0,5.5,default
3435,3435,38708,14.85,78.75,0,5.5,default
3860,3860,40050,17.05,79.15,0,5.5,default
4915,4915,45994,17.45,80.95,0,5.5,default
3645,3645,39370,15.05,78.95,0,5.5,default
2160,2160,34734,13.45,77.55,0,5.5,default
1740,1740,33402,12.25,77.15,0,5.5,default
2931,2931,37083,17.35,78.25,0,5.5,default
2072,2072,34418,14.85,77.45,0,5.5,default
3371,3371,38420,19.05,78.65,0,5.5,default
2200,2200,34774,17.45,77.55,0,5.5,default
2275,2275,35077,14.75,77.65,0,5.5,default
590,590,28791,13.15,75.75,0,5.5,default
865,865,30115,13.55,76.15,0,5.5,default
3863,3863,40053,17.35,79.15,0,5.5,default
4516,4516,42377,18.75,79.85,0,5.5,default
2454,2454,35709,11.95,77.85,0,5.5,default
4994,4994,47638,16.85,81.45,0,5.5,default
891,891,30141,16.15,76.15,0,5.5,default
3607,3607,39332,11.25,78.95,0,5.5,default
4561,4561,42679,15.95,79.95,0,5.5,default
876,876,30126,14.65,76.15,0,5.5,default
766,766,29758,10.85,76.05,0,5.5,default
3881,3881,40071,19.15,79.15,0,5.5,default
1559,1559,32759,13.95,76.95,0,5.5,default
2209,2209,34783,18.35,77.55,0,5.5,default
3788,3788,39744,19.45,79.05,0,5.5,default
207,207,26179,15.95,74.95,0,5.5,default
1234,1234,31721,9.15,76.65,0,5.5,default
3169,3169,37994,9.45,78.55,0,5.5,default
3032,3032,37411,17.15,78.35,0,5.5,default
2481,2481,35736,14.65,77.85,0,5.5,default
4636,4636,43020,17.05,80.05,0,5.5,default
642,642,29109,11.95,75.85,0,5.5,default
2120,2120,34694,9.45,77.55,0,5.5,default
