,Unnamed: 0,gid,latitude,longitude,elevation,timezone,config
2092,2092,23232,18.25,74.05,0,5.5,default
2625,2625,25574,21.45,74.75,0,5.5,default
5922,5922,41105,23.55,79.45,0,5.5,default
2964,2964,27185,17.55,75.25,0,5.5,default
5023,5023,36455,20.55,78.05,0,5.5,default
8195,8195,56282,23.25,84.05,0,5.5,default
1835,1835,22232,17.25,73.75,0,5.5,default
244,244,9738,21.85,69.95,0,5.5,default
3242,3242,28220,22.05,75.55,0,5.5,default
2123,2123,23263,21.35,74.05,0,5.5,default
1636,1636,21278,20.85,73.45,0,5.5,default
8029,8029,53311,23.15,83.15,0,5.5,default
7607,7607,49671,22.15,82.05,0,5.5,default
1468,1468,20605,19.55,73.25,0,5.5,default
2823,2823,26545,19.55,75.05,0,5.5,default
54,54,6462,24.25,68.95,0,5.5,default
3605,3605,29885,23.55,76.05,0,5.5,default
2054,2054,22949,22.95,73.95,0,5.5,default
6379,6379,43718,20.85,80.25,0,5.5,default
759,759,14693,22.35,71.45,0,5.5,default
7127,7127,47340,20.05,81.35,0,5.5,default
1556,1556,20948,20.85,73.35,0,5.5,default
6478,6478,44079,23.95,80.35,0,5.5,default
8146,8146,54964,23.45,83.65,0,5.5,default
2788,2788,26258,23.85,74.95,0,5.5,default
142,142,8107,23.75,69.45,0,5.5,default
1875,1875,22272,21.25,73.75,0,5.5,default
3031,3031,27252,24.25,75.25,0,5.5,default
7711,7711,50334,22.45,82.25,0,5.5,default
3014,3014,27235,22.55,75.25,0,5.5,default
2998,2998,27219,20.95,75.25,0,5.5,default
3298,3298,28533,20.35,75.65,0,5.5,default
7567,7567,49358,23.85,81.95,0,5.5,default
5527,5527,38822,26.25,78.75,0,5.5,default
7307,7307,48039,23.95,81.55,0,5.5,default
577,577,13048,22.85,70.95,0,5.5,default
2225,2225,23860,15.05,74.25,0,5.5,default
5765,5765,40127,24.75,79.15,0,5.5,default
8007,8007,52987,23.75,83.05,0,5.5,default
7248,7248,47718,24.85,81.45,0,5.5,default
6729,6729,45385,22.55,80.75,0,5.5,default
2191,2191,23578,19.85,74.15,0,5.5,default
652,652,13710,23.05,71.15,0,5.5,default
45,45,6453,23.35,68.95,0,5.5,default
664,664,13722,24.25,71.15,0,5.5,default
2944,2944,26916,23.65,75.15,0,5.5,default
2641,2641,25590,23.05,74.75,0,5.5,default
5361,5361,38109,20.95,78.55,0,5.5,default
4268,4268,33167,21.75,77.05,0,5.5,default
4249,4249,33148,19.85,77.05,0,5.5,default
1267,1267,19613,19.35,72.95,0,5.5,default
7821,7821,51310,21.05,82.55,0,5.5,default
3374,3374,28868,20.85,75.75,0,5.5,default
2987,2987,27208,19.85,75.25,0,5.5,default
2205,2205,23592,21.25,74.15,0,5.5,default
7485,7485,49007,21.75,81.85,0,5.5,default
5056,5056,36488,23.85,78.05,0,5.5,default
2747,2747,26217,19.75,74.95,0,5.5,default
3110,3110,27583,24.35,75.35,0,5.5,default
4181,4181,32823,20.35,76.95,0,5.5,default
2633,2633,25582,22.25,74.75,0,5.5,default
8050,8050,53636,22.65,83.25,0,5.5,default
4286,4286,33185,23.55,77.05,0,5.5,default
4480,4480,34141,20.15,77.35,0,5.5,default
5360,5360,38108,20.85,78.55,0,5.5,default
508,508,12387,22.75,70.75,0,5.5,default
1510,1510,20647,23.75,73.25,0,5.5,default
276,276,10073,22.35,70.05,0,5.5,default
4492,4492,34153,21.35,77.35,0,5.5,default
6919,6919,46357,20.75,81.05,0,5.5,default
6307,6307,43383,20.35,80.15,0,5.5,default
2222,2222,23609,22.95,74.15,0,5.5,default
4457,4457,33867,25.75,77.25,0,5.5,default
5526,5526,38821,26.15,78.75,0,5.5,default
5971,5971,41428,22.85,79.55,0,5.5,default
2801,2801,26523,17.35,75.05,0,5.5,default
6355,6355,43431,25.15,80.15,0,5.5,default
209,209,9096,23.65,69.75,0,5.5,default
1857,1857,22254,19.45,73.75,0,5.5,default
2238,2238,23873,16.35,74.25,0,5.5,default
4441,4441,33848,23.85,77.25,0,5.5,default
4786,4786,35451,19.15,77.75,0,5.5,default
2650,2650,25861,17.15,74.85,0,5.5,default
7173,7173,47386,24.65,81.35,0,5.5,default
4518,4518,34179,23.95,77.35,0,5.5,default
3531,3531,29546,22.65,75.95,0,5.5,default
2931,2931,26903,22.35,75.15,0,5.5,default
2352,2352,24246,20.65,74.35,0,5.5,default
1629,1629,21271,20.15,73.45,0,5.5,default
116,116,7771,23.15,69.35,0,5.5,default
7931,7931,52306,21.65,82.85,0,5.5,default
8021,8021,53303,22.35,83.15,0,5.5,default
808,808,15034,23.45,71.55,0,5.5,default
470,470,12051,22.15,70.65,0,5.5,default
4026,4026,32146,18.65,76.75,0,5.5,default
6963,6963,46659,17.95,81.15,0,5.5,default
4359,4359,33512,23.25,77.15,0,5.5,default
6146,6146,42426,23.65,79.85,0,5.5,default
7829,7829,51318,21.85,82.55,0,5.5,default
7590,7590,49654,20.45,82.05,0,5.5,default
