,gid,latitude,longitude,elevation,offshore,wrf_region,config
7260,54074,23.649948000000002,86.32123,187,0,0,default
29236,657856,20.761063,86.4625,7,0,1,default
27785,649542,20.512276,84.5721,402,0,1,default
36660,699672,22.817947,88.94365,7,0,1,default
4244,30352,22.781303,86.025856,149,0,0,default
14981,104391,25.476623999999997,84.22407,79,0,0,default
32644,681125,21.449959,86.4625,77,0,1,default
4183,29637,22.754058999999998,86.79383,140,0,0,default
6439,48119,23.433320000000002,85.52372,593,0,0,default
5670,42191,23.216331,85.52372,426,0,0,default
35294,694669,22.299682999999998,88.14614,6,0,1,default
42184,724523,25.379158,87.82123,27,0,1,default
16418,116280,25.902511999999998,85.19881,57,0,0,default
15635,108899,25.636505,86.05539,41,0,0,default
5764,42931,23.243470000000002,85.49418,541,0,0,default
39730,712439,24.145393,86.87602,220,0,1,default
15704,109617,25.66314,85.37603,48,0,0,default
20407,585022,18.479797,82.20909,259,0,1,default
25932,637741,20.152214,85.36961,67,0,1,default
19515,148857,27.06575,84.40129,84,0,0,default
2359,16197,22.262885999999998,83.781006,450,0,0,default
12930,91047,24.995697,84.046844,103,0,0,default
35607,695940,22.436256,86.99417,97,0,1,default
15431,107405,25.583244,85.70094,48,0,0,default
42485,725803,25.512520000000002,86.9351,37,0,1,default
26345,640456,20.235382,85.281,82,0,1,default
16726,118553,25.982193,86.67568,48,0,0,default
32639,681120,21.449959,86.31481,235,0,1,default
24275,626920,19.819115,84.74932,103,0,1,default
29285,658666,20.788673,83.24290500000001,212,0,1,default
29359,658740,20.788673,85.42869,48,0,1,default
23806,623374,19.707924,85.48776,1,0,1,default
20949,596158,18.843597,83.272446,221,0,1,default
3903,27401,22.672318,86.40984,118,0,0,default
26704,643108,20.318504,83.09522,219,0,1,default
35772,696487,22.490852,87.67354,12,0,1,default
22510,613535,19.401749,82.74077,289,0,1,default
24814,630518,19.930229999999998,85.103775,524,0,1,default
28458,653271,20.622902,86.58065,3,0,1,default
4510,32583,22.862976,86.26215,160,0,0,default
34955,693373,22.162971,88.55966,6,0,1,default
28850,655948,20.70581,84.36533,116,0,1,default
36874,700652,22.926819000000002,86.9351,116,0,1,default
19223,141490,26.802414000000002,85.6714,81,0,0,default
9815,71071,24.270767000000003,84.9625,421,0,0,default
13033,91771,25.022469,83.5447,85,0,0,default
12009,85147,24.781334,84.87389,117,0,0,default
23488,621510,19.652298000000002,83.03615,567,0,1,default
6190,45941,23.35199,86.852905,114,0,0,default
10604,76228,24.459114000000003,84.07638,181,0,0,default
28403,653216,20.622902,84.956085,400,0,1,default
7403,55486,23.704048,84.2536,547,0,0,default
6557,48880,23.460419,86.11447,276,0,0,default
479,3608,21.797417000000003,84.0173,197,0,0,default
18750,134832,26.564873,85.996315,66,0,0,default
29790,661473,20.871498000000003,84.60163,233,0,1,default
775,5162,21.852257,86.144005,815,0,0,default
31955,676331,21.312431,84.129036,208,0,1,default
27649,648640,20.484612,84.92654399999999,64,0,1,default
20953,596162,18.843597,83.390594,218,0,1,default
22828,616193,19.485313,83.09522,935,0,1,default
20120,577462,18.227493,81.67742,487,0,1,default
31205,670697,21.147232000000002,83.65643,173,0,1,default
19417,145901,26.96048,84.63759,76,0,0,default
13780,96247,25.182953,84.43083,85,0,0,default
16310,114853,25.849358,86.82337,45,0,0,default
25134,633111,20.013512,81.97279,657,0,1,default
42414,725339,25.45919,88.70735,30,0,1,default
20896,595319,18.815642999999998,83.89273,54,0,1,default
32187,678202,21.367455,83.77458,162,0,1,default
8514,62908,23.974228,84.60805500000001,316,0,0,default
13266,93246,25.075974,83.33794,84,0,0,default
2900,19942,22.399498,84.9625,227,0,0,default
10483,75484,24.432228,83.98776,201,0,0,default
29299,658680,20.788673,83.65643,133,0,1,default
16164,114045,25.822777,84.84435,54,0,0,default
4426,31843,22.835747,86.29169499999999,320,0,0,default
26853,644020,20.346199,83.1543,235,0,1,default
36964,700935,22.954017999999998,87.55539,42,0,1,default
30106,663331,20.926682,85.0447,165,0,1,default
5200,38492,23.080536,85.70094,243,0,0,default
25115,632345,19.985756,85.930824,9,0,1,default
5155,38447,23.080536,84.37175,861,0,0,default
1679,11097,22.071410999999998,86.35077,651,0,0,default
8301,61440,23.920242000000002,85.021576,485,0,0,default
31544,672657,21.202324,86.40343,36,0,1,default
10357,74734,24.405327,83.72193,231,0,0,default
34558,692011,22.02613,87.02371,70,0,1,default
27249,645942,20.40158,86.10805,14,0,1,default
16470,116332,25.902511999999998,86.73476,45,0,0,default
39293,710611,23.956581,87.05325,153,0,1,default
38963,709070,23.794525,87.96891,26,0,1,default
28197,652246,20.595253,83.36106,184,0,1,default
6288,46682,23.379105,86.852905,133,0,0,default
17721,126663,26.273909999999997,85.46464499999999,60,0,0,default
26123,639467,20.207664,82.85892,221,0,1,default
13472,94074,25.102737,85.90771,50,0,0,default
17934,128176,26.326874,86.38031,57,0,0,default
27592,648583,20.484612,83.24290500000001,223,0,1,default
4953,36301,22.998993,86.64614,140,0,0,default
