,gid,latitude,longitude,elevation,offshore,wrf_region,config
1493,708938,23.767494,91.80879,101,0,1,default
1547,709198,23.794525,91.74972,152,0,1,default
3106,722315,25.138733,92.25185400000001,170,0,1,default
772,704738,23.334259,91.57249499999999,43,0,1,default
1252,707655,23.632263000000002,92.60631,893,0,1,default
3197,722808,25.1922,91.33619,97,0,1,default
1950,711049,23.983574,92.25185400000001,129,0,1,default
753,704511,23.307137,92.60631,473,0,1,default
2497,714712,24.360832000000002,92.10417,67,0,1,default
4013,724923,25.405846,91.89741,1091,0,1,default
3347,723296,25.245651000000002,90.27284,42,0,1,default
4447,725994,25.512520000000002,92.57677,847,0,1,default
2864,718668,24.76381,92.87215,26,0,1,default
3139,722552,25.165466000000002,91.51342,70,0,1,default
1110,706864,23.551056,92.45862,502,0,1,default
1427,708666,23.740456,91.51342,87,0,1,default
260,699008,22.736252,92.54723,281,0,1,default
3943,724694,25.379158,92.87215,536,0,1,default
595,703199,23.171425,92.54723,435,0,1,default
2199,712365,24.118439000000002,92.42908,118,0,1,default
2724,717082,24.602767999999998,92.45862,19,0,1,default
849,705270,23.388489,91.80879,121,0,1,default
669,703944,23.252869,91.33619,25,0,1,default
611,703428,23.198586,91.57249499999999,34,0,1,default
760,704518,23.307137,92.81307,591,0,1,default
1206,707393,23.605202,92.60631,704,0,1,default
3474,723588,25.272362,91.158966,162,0,1,default
3817,724410,25.352463,92.22232,1253,0,1,default
3935,724686,25.379158,92.63584,931,0,1,default
1092,706834,23.551056,91.57249499999999,52,0,1,default
2861,718665,24.76381,92.78353,22,0,1,default
3534,723807,25.299065,89.888855,43,0,1,default
1516,708961,23.767494,92.48816,296,0,1,default
3034,721286,25.03173,92.81307,607,0,1,default
478,702155,23.062767,92.63584,367,0,1,default
792,704778,23.334259,92.75399999999999,430,0,1,default
2720,717078,24.602767999999998,92.34047,27,0,1,default
532,702673,23.117110999999998,92.48816,233,0,1,default
2095,711827,24.064507,92.01556,85,0,1,default
471,702148,23.062767,92.42908,273,0,1,default
1734,710004,23.87558,92.34047,172,0,1,default
888,705534,23.415596,91.86787,97,0,1,default
3560,723836,25.299065,90.74544,652,0,1,default
2757,717355,24.629623000000002,92.78353,43,0,1,default
445,701886,23.035591,92.42908,290,0,1,default
2741,717339,24.629623000000002,92.31093,26,0,1,default
4205,725433,25.45919,91.48388,1619,0,1,default
1054,706579,23.523972,91.77925,132,0,1,default
1456,708695,23.740456,92.37,413,0,1,default
2194,712360,24.118439000000002,92.28139499999999,320,0,1,default
2933,719702,24.87104,92.45862,24,0,1,default
3045,721541,25.058495,92.60631,163,0,1,default
2164,712110,24.091476,92.63584,255,0,1,default
1394,708428,23.713417,92.22232,184,0,1,default
1275,707883,23.659317,91.60203,80,0,1,default
3277,723059,25.218933,91.01128,142,0,1,default
3051,721547,25.058495,92.78353,542,0,1,default
3420,723369,25.245651000000002,92.42908,602,0,1,default
585,703170,23.171425,91.69064,81,0,1,default
1127,707086,23.578132999999998,91.27711500000001,38,0,1,default
2218,712605,24.145393,91.77925,59,0,1,default
1084,706826,23.551056,91.33619,26,0,1,default
1682,709746,23.848564,92.45862,328,0,1,default
3121,722330,25.138733,92.694916,1313,0,1,default
4367,725914,25.512520000000002,90.21377,299,0,1,default
1785,710261,23.902588,92.19278,129,0,1,default
1207,707394,23.605202,92.63584,715,0,1,default
3930,724681,25.379158,92.48816,1012,0,1,default
2156,712102,24.091476,92.39954,414,0,1,default
3089,722065,25.112,92.60631,1061,0,1,default
1126,707085,23.578132999999998,91.24758,56,0,1,default
1197,707384,23.605202,92.34047,488,0,1,default
3249,722860,25.1922,92.87215,757,0,1,default
3411,723360,25.245651000000002,92.163246,843,0,1,default
1973,711283,24.01056,91.424805,41,0,1,default
2158,712104,24.091476,92.45862,103,0,1,default
2932,719699,24.87104,92.37,24,0,1,default
763,704729,23.334259,91.306656,21,0,1,default
3260,723042,25.218933,90.50914,87,0,1,default
1346,708175,23.68637,92.48816,716,0,1,default
2440,714194,24.307014000000002,92.28139499999999,45,0,1,default
628,703464,23.198586,92.63584,514,0,1,default
4271,725658,25.485854999999997,90.39099,1110,0,1,default
1780,710256,23.902588,92.04509,92,0,1,default
2124,711856,24.064507,92.87215,381,0,1,default
3721,724156,25.325768,92.45862,984,0,1,default
965,706054,23.469795,91.74972,87,0,1,default
240,698492,22.681755,92.72446,508,0,1,default
4189,725417,25.45919,91.01128,627,0,1,default
2462,714445,24.333923000000002,91.95648,43,0,1,default
274,699270,22.763489,92.54723,264,0,1,default
1217,707608,23.632263000000002,91.21804,32,0,1,default
3223,722834,25.1922,92.10417,408,0,1,default
1757,710233,23.902588,91.36573,40,0,1,default
3773,724366,25.352463,90.92267,507,0,1,default
3800,724393,25.352463,91.72018,1667,0,1,default
2824,718144,24.710151999999997,92.87215,30,0,1,default
856,705294,23.388489,92.51769,646,0,1,default
3861,724612,25.379158,90.450066,430,0,1,default
4412,725959,25.512520000000002,91.54295,1604,0,1,default
