,gid,latitude,longitude,elevation,offshore,wrf_region,config
2438,71521,24.297691,76.36708,400,0,0,default
74803,230108,29.920845,76.75107,251,0,0,default
51154,167253,27.721375,80.59095,144,0,0,default
70394,216685,29.458977,74.24038,181,0,0,default
84092,261910,31.015549,74.94928,206,0,0,default
75957,233763,30.048766999999998,75.27419,220,0,0,default
22936,121081,26.088364000000002,73.79732,285,0,0,default
44261,155899,27.328459999999996,73.53148,302,0,0,default
78423,241281,30.304115000000003,78.46425,1521,0,0,default
74518,229325,29.895248,75.51049,223,0,0,default
82522,255353,30.787453000000003,78.25748399999999,2010,0,0,default
73258,225566,29.767128000000003,73.91547,176,0,0,default
1008,60336,23.893234,74.29945,200,0,0,default
30365,134446,26.564873,74.59483,478,0,0,default
63417,195392,28.710403000000003,80.02974,193,0,0,default
28614,131411,26.459159999999997,72.497665,273,0,0,default
68909,211698,29.278786,80.14789,1354,0,0,default
26599,127760,26.326874,74.09269,321,0,0,default
42709,153563,27.249709999999997,70.19374,112,0,0,default
33608,139666,26.749657,75.569565,343,0,0,default
13922,104244,25.476623999999997,79.88205,158,0,0,default
7909,91457,25.022469,74.26992,467,0,0,default
24004,122894,26.141388,83.57424,73,0,0,default
38402,146974,27.01313,72.55674,288,0,0,default
55546,176111,28.03469,79.58667,159,0,0,default
29822,133588,26.538459999999997,71.13894,266,0,0,default
65140,200482,28.891594,77.1646,212,0,0,default
74436,228745,29.869637,80.26604,1962,0,0,default
44821,156724,27.354706,76.01263399999999,463,0,0,default
28389,130913,26.432709000000003,79.675285,135,0,0,default
20892,117363,25.955635,73.41333,224,0,0,default
14690,105734,25.529938,80.11835,130,0,0,default
23717,122541,26.141388,73.14749,198,0,0,default
48164,162067,27.538193,80.62048,136,0,0,default
34178,140519,26.776040000000002,78.87777,152,0,0,default
13449,103344,25.449959,75.18558,375,0,0,default
51169,167268,27.721375,81.03401,127,0,0,default
55733,176712,28.060753000000002,75.45141600000001,345,0,0,default
61317,190072,28.528908,76.10124,256,0,0,default
78113,240468,30.278609999999997,76.33755,248,0,0,default
20304,116191,25.902511999999998,82.56996,77,0,0,default
65671,201996,28.943298,78.10979499999999,205,0,0,default
55262,175414,28.008614,80.88632,135,0,0,default
67769,208569,29.175674,75.27419,203,0,0,default
39334,148406,27.06575,71.079865,197,0,0,default
24816,124381,26.19442,83.72193,72,0,0,default
8453,92920,25.075974,73.7087,685,0,0,default
24947,124785,26.220924,73.76778,277,0,0,default
6433,87163,24.86177,78.75962,315,0,0,default
18068,112230,25.769585,75.008354,353,0,0,default
23310,121795,26.114876000000002,72.9998,196,0,0,default
83033,257500,30.863540000000004,76.01263399999999,258,0,0,default
13497,103453,25.449959,78.405174,286,0,0,default
55387,175952,28.03469,74.89020500000001,323,0,0,default
3435,76698,24.486,76.07171,354,0,0,default
80215,247159,30.507920000000002,76.98737,313,0,0,default
14078,104695,25.503288,71.31616,162,0,0,default
82711,256084,30.812813000000002,77.96211,2898,0,0,default
67727,208527,29.175674,74.033615,200,0,0,default
39200,148022,27.039436,81.62476,104,0,0,default
37572,145646,26.96048,77.10552,282,0,0,default
22485,120293,26.061821,72.40905,127,0,0,default
31028,135451,26.591293,82.39274,96,0,0,default
14272,104956,25.503288,79.02546,202,0,0,default
43337,154451,27.27597,74.53575,352,0,0,default
30771,135155,26.591293,73.64963,312,0,0,default
61483,190691,28.554855,72.497665,129,0,0,default
64256,198137,28.813971999999996,73.56102,202,0,0,default
82250,254540,30.76207,76.13078,266,0,0,default
20189,116076,25.902511999999998,79.17315,155,0,0,default
55359,175924,28.03469,74.063156,282,0,0,default
35434,142517,26.855118,72.23183,254,0,0,default
17318,110888,25.716376999999998,79.14361,166,0,0,default
12414,101271,25.369919,79.61621,187,0,0,default
27612,129486,26.379807,81.29985,116,0,0,default
55127,175279,28.008614,76.89876,314,0,0,default
77704,239052,30.227577,78.28702,1294,0,0,default
52624,170090,27.825905,76.83968,269,0,0,default
35136,141970,26.828765999999998,77.96211,167,0,0,default
25960,126526,26.273909999999997,81.418,113,0,0,default
7144,89274,24.942145999999997,75.45141600000001,361,0,0,default
38779,147351,27.01313,83.69239,91,0,0,default
70612,217404,29.484688000000002,73.59055,169,0,0,default
12844,102076,25.396599,81.506615,102,0,0,default
81688,252361,30.685883,77.430435,1534,0,0,default
37498,145572,26.96048,74.91975,365,0,0,default
14662,105706,25.529938,79.2913,167,0,0,default
33615,139673,26.749657,75.77633,357,0,0,default
69671,214456,29.381783000000002,74.063156,178,0,0,default
30608,134729,26.564873,82.95395,80,0,0,default
79987,246411,30.482468,76.78061,279,0,0,default
42959,153813,27.249709999999997,77.57812,180,0,0,default
79408,244294,30.406066999999997,79.91158,4007,0,0,default
51552,167985,27.747513,80.32511,151,0,0,default
49477,164311,27.616737,81.240776,120,0,0,default
26556,127717,26.326874,72.82258,223,0,0,default
53656,172224,27.904251000000002,74.21084,314,0,0,default
20945,117416,25.955635,74.97882,376,0,0,default
71606,220404,29.587479,74.65391,193,0,0,default
24696,124261,26.19442,80.17742,130,0,0,default
