,gid,latitude,longitude,elevation,offshore,wrf_region,config
27718,481911,14.28685,75.76991,614,0,1,default
25632,474794,13.971764000000002,76.47881,705,0,1,default
45092,534588,16.592865,81.559265,11,0,1,default
29498,487763,14.544319,76.212975,703,0,1,default
57903,577319,18.227493,77.45355,537,0,1,default
44715,533801,16.564552,78.191986,490,0,1,default
51799,554233,17.38382,82.002335,218,0,1,default
54045,561654,17.665482,81.47066,437,0,1,default
48392,543988,16.988754,76.094826,488,0,1,default
48481,544077,16.988754,78.72366,534,0,1,default
9806,414699,11.291527,78.9895,94,0,1,default
50221,549683,17.214607,76.44927,423,0,1,default
54492,563169,17.721764,81.20482,221,0,1,default
28254,483357,14.344092999999999,80.11193,6,0,1,default
61593,600339,18.983322,79.314415,223,0,1,default
22074,462656,13.426514000000001,77.12864,952,0,1,default
17321,446022,12.678390499999999,79.875626,46,0,1,default
27249,480071,14.200966000000001,78.9895,419,0,1,default
48816,544889,17.017006,81.97279,51,0,1,default
26150,476681,14.057732000000001,74.79517,723,0,1,default
58846,581568,18.367706,79.96424,243,0,1,default
31298,493576,14.801483,76.24251600000001,585,0,1,default
36967,511547,15.5995865,80.023315,16,0,1,default
20263,456365,13.139045999999999,79.6984,71,0,1,default
11262,421750,11.60997,76.44927,961,0,1,default
60639,592541,18.73175,77.86707,354,0,1,default
51486,553413,17.355629,79.40303,221,0,1,default
53596,560155,17.609184,81.76603,606,0,1,default
2635,374518,9.519447,77.42401,984,0,1,default
45217,535127,16.621170000000003,77.5717,406,0,1,default
33811,501823,15.172409,74.558876,679,0,1,default
6836,400278,10.653587,78.635056,101,0,1,default
57287,574160,18.115226999999997,80.436844,169,0,1,default
4586,388333,10.130638000000001,76.44927,20,0,1,default
9835,415240,11.320496,75.76991,14,0,1,default
15872,440775,12.447754,78.93043,246,0,1,default
32285,496765,14.9442215,75.651764,526,0,1,default
12804,428351,11.899155,78.95997,155,0,1,default
11764,423773,11.696753999999999,78.605515,897,0,1,default
2539,373851,9.490311,77.15817,1015,0,1,default
50725,551169,17.271027,77.630775,475,0,1,default
28379,483936,14.372704,78.044304,358,0,1,default
15000,437486,12.303497,78.31014,423,0,1,default
25863,475481,14.000420000000002,77.630775,663,0,1,default
30672,491621,14.715797,75.59269,584,0,1,default
33462,500596,15.115379,75.799446,561,0,1,default
10363,417299,11.4073715,79.01904,93,0,1,default
25394,474099,13.9431,75.090546,650,0,1,default
31749,494907,14.858589000000002,77.60124,350,0,1,default
28181,483284,14.344092999999999,77.95569,380,0,1,default
46241,537828,16.734351999999998,77.3354,417,0,1,default
46613,538627,16.762634,80.879906,75,0,1,default
13348,430907,12.01474,77.18771,961,0,1,default
20689,458146,13.225319,75.56315,754,0,1,default
48371,543493,16.960503,82.15002,4,0,1,default
52741,557748,17.524704,76.80373,495,0,1,default
20752,458209,13.225319,77.42401,882,0,1,default
44498,533175,16.53624,79.58025,122,0,1,default
14655,436167,12.245766,77.95569,508,0,1,default
39966,520622,15.997498,80.20054,18,0,1,default
32345,496825,14.9442215,77.42401,419,0,1,default
39818,520474,15.997498,75.82899,540,0,1,default
62604,612539,19.373886,79.28488,226,0,1,default
4527,387716,10.101555000000001,77.748924,219,0,1,default
825,358071,8.790413000000001,77.39448,88,0,1,default
62005,604668,19.12291,79.13719,554,0,1,default
55798,567837,17.890495,82.002335,491,0,1,default
28867,485781,14.458526999999998,75.06101,617,0,1,default
53977,561586,17.665482,79.46210500000001,285,0,1,default
531,354130,8.615234,77.18771,309,0,1,default
44084,532354,16.507920000000002,75.14962,534,0,1,default
41630,525726,16.224518,75.6813,568,0,1,default
14489,435513,12.216904,77.92615500000001,431,0,1,default
12073,425095,11.754601,79.19626600000001,82,0,1,default
15463,439405,12.390053,77.069565,616,0,1,default
32502,497426,14.972763,76.27205,550,0,1,default
54123,562263,17.693619,77.01049,585,0,1,default
51575,553502,17.355629,82.03187,150,0,1,default
48801,544874,17.017006,81.52973,48,0,1,default
11263,421751,11.60997,76.47881,1030,0,1,default
25419,474124,13.9431,75.82899,687,0,1,default
37924,514690,15.741791000000001,77.808,353,0,1,default
5135,391658,10.275986,77.15817,1018,0,1,default
8309,407519,10.972733,79.19626600000001,35,0,1,default
29159,486524,14.487122,77.86707,320,0,1,default
57332,574252,18.115226999999997,83.1543,77,0,1,default
7480,403543,10.798698,78.01476,171,0,1,default
16377,442710,12.534264,78.2806,498,0,1,default
57820,576594,18.199432,80.23008,179,0,1,default
31713,494871,14.858589000000002,76.53789,658,0,1,default
31989,495586,14.887138,78.69413,168,0,1,default
10826,419791,11.523163,76.094826,1740,0,1,default
37044,512063,15.628036499999999,76.30159,570,0,1,default
33689,501262,15.143898000000002,76.71511,514,0,1,default
32582,497506,14.972763,78.635056,178,0,1,default
42986,529214,16.366272,80.99805500000001,6,0,1,default
52517,557005,17.496536,76.80373,546,0,1,default
617,355436,8.673637,77.069565,109,0,1,default
38079,515282,15.77021,76.212975,646,0,1,default
6668,399583,10.6245575,77.5717,283,0,1,default
