,gid,latitude,longitude,elevation,offshore,wrf_region,config
46158,73112,24.351523999999998,79.58667,508,0,0,default
12218,18924,22.372185,76.78061,250,0,0,default
14994,23253,22.535973000000002,73.324715,63,0,0,default
3394,5472,21.87967,73.41333,42,0,0,default
13872,21337,22.45411,82.39274,420,0,0,default
2005,3273,21.797417000000003,74.12223,454,0,0,default
22787,35141,22.971794,74.26992,273,0,0,default
16380,25456,22.617798,72.73396,29,0,0,default
38610,58884,23.83921,75.18558,491,0,0,default
54429,121198,26.088364000000002,77.253204,355,0,0,default
79394,633954,20.04126,80.25961,271,0,1,default
43483,67230,24.136063,80.9454,360,0,0,default
14044,21772,22.4814,73.354256,64,0,0,default
78939,632921,20.013512,76.360664,538,0,1,default
72772,614325,19.429610999999998,80.05286,140,0,1,default
68328,598691,18.927444,81.70695500000001,808,0,1,default
61403,569167,17.946709,74.91332,484,0,1,default
66007,590713,18.675789,74.41119,588,0,1,default
3815,6149,21.907073999999998,71.52293,99,0,0,default
37194,56588,23.758132999999997,73.02934,180,0,0,default
47193,76013,24.459114000000003,77.72581,502,0,0,default
78660,632067,19.985756,77.71939,393,0,1,default
85833,652144,20.595253,80.34823,272,0,1,default
9337,14542,22.208206,78.67101,774,0,0,default
25876,39572,23.134872,73.82685,156,0,0,default
6828,10751,22.071410999999998,76.13078,225,0,0,default
64248,583156,18.42376,77.04002,656,0,1,default
100819,687475,21.642273,77.54216,729,0,1,default
5668,9059,22.016655,69.9279,141,0,0,default
73948,618534,19.568832,73.820435,773,0,1,default
39123,59682,23.866226,76.86922,409,0,0,default
84107,647452,20.45694,76.80373,342,0,1,default
6060,9460,22.016655,81.77245,280,0,0,default
62192,573207,18.08715,76.18343,669,0,1,default
57807,543219,16.960503,74.05673,647,0,1,default
95351,675995,21.312431,74.20442,262,0,1,default
39218,59777,23.866226,79.675285,345,0,0,default
50836,88748,24.91536,81.80199,116,0,0,default
9360,14565,22.208206,79.35037,648,0,0,default
13733,21198,22.45411,78.28702,536,0,0,default
48277,79059,24.566612,80.14789,349,0,0,default
25399,38876,23.107704000000002,75.156044,471,0,0,default
65499,588389,18.591827,81.35251,598,0,1,default
88516,659555,20.816292,82.32725,393,0,1,default
63791,581383,18.367706,74.499794,619,0,1,default
68633,600166,18.983322,74.20442,609,0,1,default
34729,52783,23.622887,70.07558399999999,1,0,0,default
62690,575806,18.171364,81.05713,296,0,1,default
19310,29993,22.781303,75.42188,520,0,0,default
16284,25087,22.590529999999998,83.72193,447,0,0,default
17591,27210,22.672318,80.76817,559,0,0,default
76050,624812,19.763535,75.26778,507,0,1,default
62327,573997,18.115226999999997,75.62222,496,0,1,default
52447,100498,25.343231,78.67101,216,0,0,default
82723,643717,20.346199,74.20442,752,0,1,default
17320,26939,22.672318,72.763504,31,0,0,default
66483,592448,18.73175,75.12009,569,0,1,default
60082,561390,17.665482,73.67274499999999,310,0,1,default
46271,73566,24.378426,71.1094,5,0,0,default
91104,666550,21.037003,70.98483,177,0,1,default
78804,632224,19.985756,82.35678,361,0,1,default
10520,16479,22.290222,70.223274,86,0,0,default
88184,659170,20.816292,70.95529,34,0,1,default
755,1196,21.71511,78.43471,711,0,0,default
97376,680029,21.422462,82.002335,282,0,1,default
76265,625618,19.791320000000002,72.698006,10,0,1,default
38357,58354,23.812186999999998,81.418,451,0,0,default
19483,30166,22.781303,80.531876,473,0,0,default
20908,32342,22.862976,79.14361,363,0,0,default
32140,48709,23.460419,81.06355,431,0,0,default
92672,670253,21.147232000000002,70.54177,137,0,1,default
93364,671486,21.174782,79.40303,271,0,1,default
1876,3134,21.797417000000003,70.01651,167,0,0,default
14561,22554,22.508689999999998,74.56529,404,0,0,default
32726,49548,23.48751,83.95823,959,0,0,default
29493,44850,23.324875,76.51477,461,0,0,default
8304,12997,22.153503,76.81014,261,0,0,default
56895,529643,16.394607999999998,73.99766,585,0,1,default
42992,66393,24.1091,78.10979499999999,406,0,0,default
93031,670634,21.147232000000002,81.79557,303,0,1,default
19231,29914,22.781303,73.08842,55,0,0,default
73778,617755,19.540993,76.98095,401,0,1,default
72864,614982,19.457458,73.406906,73,0,1,default
77248,628349,19.874679999999998,74.05673,645,0,1,default
58013,545298,17.045242000000002,73.259224,83,0,1,default
39831,60916,23.920242000000002,69.543915,3,0,0,default
82753,643747,20.346199,75.090546,438,0,1,default
16817,26166,22.645058,71.8183,38,0,0,default
22618,34969,22.971794,69.18946,38,0,0,default
20538,31728,22.835747,82.894875,561,0,0,default
20739,32173,22.862976,74.151764,341,0,0,default
66288,591628,18.703773,76.18343,662,0,1,default
90627,665028,20.98185,80.67314,351,0,1,default
4877,7749,21.961876,75.008354,239,0,0,default
20957,32391,22.862976,80.59095,659,0,0,default
5171,8298,21.989265,69.33715,22,0,0,default
100928,687584,21.642273,80.76176,719,0,1,default
84408,648342,20.484612,76.12436,628,0,1,default
93330,671452,21.174782,78.39875,437,0,1,default
101354,688509,21.669724,79.875626,336,0,1,default
