gid,latitude,longitude,elevation,timezone,config
47648,17.85,81.45,0,5.5,default
47978,17.85,81.55,0,5.5,default
47979,17.95,81.55,0,5.5,default
47980,18.05,81.55,0,5.5,default
47981,18.15,81.55,0,5.5,default
47982,18.25,81.55,0,5.5,default
48309,17.95,81.65,0,5.5,default
48310,18.05,81.65,0,5.5,default
48311,18.15,81.65,0,5.5,default
48312,18.25,81.65,0,5.5,default
48639,17.95,81.75,0,5.5,default
48640,18.05,81.75,0,5.5,default
48641,18.15,81.75,0,5.5,default
48642,18.25,81.75,0,5.5,default
48643,18.35,81.75,0,5.5,default
48970,18.05,81.85,0,5.5,default
48971,18.15,81.85,0,5.5,default
48972,18.25,81.85,0,5.5,default
48973,18.35,81.85,0,5.5,default
48974,18.45,81.85,0,5.5,default
48989,19.95,81.85,0,5.5,default
49300,18.05,81.95,0,5.5,default
49301,18.15,81.95,0,5.5,default
49302,18.25,81.95,0,5.5,default
49303,18.35,81.95,0,5.5,default
49304,18.45,81.95,0,5.5,default
49305,18.55,81.95,0,5.5,default
49306,18.65,81.95,0,5.5,default
49319,19.95,81.95,0,5.5,default
49320,20.05,81.95,0,5.5,default
49630,18.05,82.05,0,5.5,default
49631,18.15,82.05,0,5.5,default
49632,18.25,82.05,0,5.5,default
49633,18.35,82.05,0,5.5,default
49634,18.45,82.05,0,5.5,default
49635,18.55,82.05,0,5.5,default
49636,18.65,82.05,0,5.5,default
49645,19.55,82.05,0,5.5,default
49646,19.65,82.05,0,5.5,default
49648,19.85,82.05,0,5.5,default
49649,19.95,82.05,0,5.5,default
49960,18.05,82.15,0,5.5,default
49961,18.15,82.15,0,5.5,default
49962,18.25,82.15,0,5.5,default
49963,18.35,82.15,0,5.5,default
49964,18.45,82.15,0,5.5,default
49965,18.55,82.15,0,5.5,default
49966,18.65,82.15,0,5.5,default
49967,18.75,82.15,0,5.5,default
49973,19.35,82.15,0,5.5,default
49974,19.45,82.15,0,5.5,default
49975,19.55,82.15,0,5.5,default
49976,19.65,82.15,0,5.5,default
49977,19.75,82.15,0,5.5,default
49978,19.85,82.15,0,5.5,default
49979,19.95,82.15,0,5.5,default
50290,18.05,82.25,0,5.5,default
50291,18.15,82.25,0,5.5,default
50292,18.25,82.25,0,5.5,default
