gid,latitude,longitude,elevation,timezone,config
75122,26.25,89.75,0,5.5,default
75443,25.35,89.85,0,5.5,default
75444,25.45,89.85,0,5.5,default
75447,25.75,89.85,0,5.5,default
75448,25.85,89.85,0,5.5,default
75449,25.95,89.85,0,5.5,default
75450,26.05,89.85,0,5.5,default
75451,26.15,89.85,0,5.5,default
75452,26.25,89.85,0,5.5,default
75453,26.35,89.85,0,5.5,default
75773,25.35,89.95,0,5.5,default
75774,25.45,89.95,0,5.5,default
75775,25.55,89.95,0,5.5,default
75776,25.65,89.95,0,5.5,default
75777,25.75,89.95,0,5.5,default
75778,25.85,89.95,0,5.5,default
75779,25.95,89.95,0,5.5,default
75780,26.05,89.95,0,5.5,default
75781,26.15,89.95,0,5.5,default
75782,26.25,89.95,0,5.5,default
75783,26.35,89.95,0,5.5,default
75784,26.45,89.95,0,5.5,default
75785,26.55,89.95,0,5.5,default
75786,26.65,89.95,0,5.5,default
76103,25.35,90.05,0,5.5,default
76104,25.45,90.05,0,5.5,default
76105,25.55,90.05,0,5.5,default
76106,25.65,90.05,0,5.5,default
76107,25.75,90.05,0,5.5,default
76108,25.85,90.05,0,5.5,default
76109,25.95,90.05,0,5.5,default
76110,26.05,90.05,0,5.5,default
76111,26.15,90.05,0,5.5,default
76112,26.25,90.05,0,5.5,default
76113,26.35,90.05,0,5.5,default
76114,26.45,90.05,0,5.5,default
76115,26.55,90.05,0,5.5,default
76116,26.65,90.05,0,5.5,default
76432,25.25,90.15,0,5.5,default
76433,25.35,90.15,0,5.5,default
76434,25.45,90.15,0,5.5,default
76435,25.55,90.15,0,5.5,default
76436,25.65,90.15,0,5.5,default
76437,25.75,90.15,0,5.5,default
76438,25.85,90.15,0,5.5,default
76439,25.95,90.15,0,5.5,default
76440,26.05,90.15,0,5.5,default
76441,26.15,90.15,0,5.5,default
76442,26.25,90.15,0,5.5,default
76443,26.35,90.15,0,5.5,default
76444,26.45,90.15,0,5.5,default
76445,26.55,90.15,0,5.5,default
76446,26.65,90.15,0,5.5,default
76447,26.75,90.15,0,5.5,default
76762,25.25,90.25,0,5.5,default
76763,25.35,90.25,0,5.5,default
76764,25.45,90.25,0,5.5,default
76765,25.55,90.25,0,5.5,default
76766,25.65,90.25,0,5.5,default
76767,25.75,90.25,0,5.5,default
76768,25.85,90.25,0,5.5,default
76769,25.95,90.25,0,5.5,default
76770,26.05,90.25,0,5.5,default
76771,26.15,90.25,0,5.5,default
76772,26.25,90.25,0,5.5,default
76773,26.35,90.25,0,5.5,default
76774,26.45,90.25,0,5.5,default
76775,26.55,90.25,0,5.5,default
76776,26.65,90.25,0,5.5,default
76777,26.75,90.25,0,5.5,default
76778,26.85,90.25,0,5.5,default
77092,25.25,90.35,0,5.5,default
77093,25.35,90.35,0,5.5,default
77094,25.45,90.35,0,5.5,default
77095,25.55,90.35,0,5.5,default
77096,25.65,90.35,0,5.5,default
77097,25.75,90.35,0,5.5,default
77098,25.85,90.35,0,5.5,default
77099,25.95,90.35,0,5.5,default
77100,26.05,90.35,0,5.5,default
77101,26.15,90.35,0,5.5,default
77102,26.25,90.35,0,5.5,default
77103,26.35,90.35,0,5.5,default
77104,26.45,90.35,0,5.5,default
77105,26.55,90.35,0,5.5,default
77106,26.65,90.35,0,5.5,default
77107,26.75,90.35,0,5.5,default
77108,26.85,90.35,0,5.5,default
77421,25.15,90.45,0,5.5,default
77422,25.25,90.45,0,5.5,default
77423,25.35,90.45,0,5.5,default
77424,25.45,90.45,0,5.5,default
77425,25.55,90.45,0,5.5,default
77426,25.65,90.45,0,5.5,default
77427,25.75,90.45,0,5.5,default
77428,25.85,90.45,0,5.5,default
77429,25.95,90.45,0,5.5,default
77430,26.05,90.45,0,5.5,default
77431,26.15,90.45,0,5.5,default
77432,26.25,90.45,0,5.5,default
77433,26.35,90.45,0,5.5,default
77434,26.45,90.45,0,5.5,default
77435,26.55,90.45,0,5.5,default
77436,26.65,90.45,0,5.5,default
77437,26.75,90.45,0,5.5,default
77438,26.85,90.45,0,5.5,default
77752,25.25,90.55,0,5.5,default
77753,25.35,90.55,0,5.5,default
77754,25.45,90.55,0,5.5,default
77755,25.55,90.55,0,5.5,default
77756,25.65,90.55,0,5.5,default
77757,25.75,90.55,0,5.5,default
77758,25.85,90.55,0,5.5,default
77759,25.95,90.55,0,5.5,default
77760,26.05,90.55,0,5.5,default
77761,26.15,90.55,0,5.5,default
77762,26.25,90.55,0,5.5,default
77763,26.35,90.55,0,5.5,default
77764,26.45,90.55,0,5.5,default
77765,26.55,90.55,0,5.5,default
77766,26.65,90.55,0,5.5,default
77767,26.75,90.55,0,5.5,default
78082,25.25,90.65,0,5.5,default
78083,25.35,90.65,0,5.5,default
78084,25.45,90.65,0,5.5,default
78085,25.55,90.65,0,5.5,default
78086,25.65,90.65,0,5.5,default
78087,25.75,90.65,0,5.5,default
78088,25.85,90.65,0,5.5,default
78089,25.95,90.65,0,5.5,default
78090,26.05,90.65,0,5.5,default
78091,26.15,90.65,0,5.5,default
