,gid,latitude,longitude,elevation,timezone,config
5968,38221,32.15,78.55,0,8.0,default
6049,38550,32.05,78.65,0,8.0,default
6126,38879,31.95,78.75,0,8.0,default
6265,39532,31.25,78.95,0,8.0,default
6335,39861,31.15,79.05,0,8.0,default
6336,39862,31.25,79.05,0,8.0,default
6337,39863,31.35,79.05,0,8.0,default
6338,39864,31.45,79.05,0,8.0,default
6408,40191,31.15,79.15,0,8.0,default
6409,40192,31.25,79.15,0,8.0,default
6410,40193,31.35,79.15,0,8.0,default
6416,40210,33.05,79.15,0,8.0,default
6477,40521,31.15,79.25,0,8.0,default
6483,40540,33.05,79.25,0,8.0,default
6484,40541,33.15,79.25,0,8.0,default
6543,40865,32.55,79.35,0,8.0,default
6544,40866,32.65,79.35,0,8.0,default
6545,40867,32.75,79.35,0,8.0,default
6546,40868,32.85,79.35,0,8.0,default
6547,40869,32.95,79.35,0,8.0,default
6548,40870,33.05,79.35,0,8.0,default
6549,40871,33.15,79.35,0,8.0,default
6609,41196,32.65,79.45,0,8.0,default
6610,41197,32.75,79.45,0,8.0,default
6611,41198,32.85,79.45,0,8.0,default
6670,41526,32.65,79.55,0,8.0,default
7009,43487,30.75,80.15,0,8.0,default
