gid,latitude,longitude,elevation,timezone,config
8467,26.75,69.55,0,5.5,default
8468,26.85,69.55,0,5.5,default
8469,26.95,69.55,0,5.5,default
8470,27.05,69.55,0,5.5,default
8797,26.75,69.65,0,5.5,default
8798,26.85,69.65,0,5.5,default
8799,26.95,69.65,0,5.5,default
8800,27.05,69.65,0,5.5,default
8801,27.15,69.65,0,5.5,default
9126,26.65,69.75,0,5.5,default
9127,26.75,69.75,0,5.5,default
9128,26.85,69.75,0,5.5,default
9129,26.95,69.75,0,5.5,default
9130,27.05,69.75,0,5.5,default
9131,27.15,69.75,0,5.5,default
9132,27.25,69.75,0,5.5,default
9456,26.65,69.85,0,5.5,default
9457,26.75,69.85,0,5.5,default
9458,26.85,69.85,0,5.5,default
9459,26.95,69.85,0,5.5,default
9460,27.05,69.85,0,5.5,default
9461,27.15,69.85,0,5.5,default
9462,27.25,69.85,0,5.5,default
9463,27.35,69.85,0,5.5,default
9786,26.65,69.95,0,5.5,default
9787,26.75,69.95,0,5.5,default
9788,26.85,69.95,0,5.5,default
9789,26.95,69.95,0,5.5,default
9790,27.05,69.95,0,5.5,default
9791,27.15,69.95,0,5.5,default
9792,27.25,69.95,0,5.5,default
9793,27.35,69.95,0,5.5,default
9794,27.45,69.95,0,5.5,default
10116,26.65,70.05,0,5.5,default
10117,26.75,70.05,0,5.5,default
10118,26.85,70.05,0,5.5,default
10119,26.95,70.05,0,5.5,default
10120,27.05,70.05,0,5.5,default
10121,27.15,70.05,0,5.5,default
10122,27.25,70.05,0,5.5,default
10123,27.35,70.05,0,5.5,default
10124,27.45,70.05,0,5.5,default
10125,27.55,70.05,0,5.5,default
10439,25.95,70.15,0,5.5,default
10440,26.05,70.15,0,5.5,default
10441,26.15,70.15,0,5.5,default
10446,26.65,70.15,0,5.5,default
10447,26.75,70.15,0,5.5,default
10448,26.85,70.15,0,5.5,default
10449,26.95,70.15,0,5.5,default
10450,27.05,70.15,0,5.5,default
10451,27.15,70.15,0,5.5,default
10452,27.25,70.15,0,5.5,default
10453,27.35,70.15,0,5.5,default
10454,27.45,70.15,0,5.5,default
10455,27.55,70.15,0,5.5,default
10456,27.65,70.15,0,5.5,default
10457,27.75,70.15,0,5.5,default
10768,25.85,70.25,0,5.5,default
10769,25.95,70.25,0,5.5,default
10770,26.05,70.25,0,5.5,default
10771,26.15,70.25,0,5.5,default
10772,26.25,70.25,0,5.5,default
10773,26.35,70.25,0,5.5,default
10774,26.45,70.25,0,5.5,default
10775,26.55,70.25,0,5.5,default
10776,26.65,70.25,0,5.5,default
10777,26.75,70.25,0,5.5,default
10778,26.85,70.25,0,5.5,default
10779,26.95,70.25,0,5.5,default
10780,27.05,70.25,0,5.5,default
10781,27.15,70.25,0,5.5,default
10782,27.25,70.25,0,5.5,default
10783,27.35,70.25,0,5.5,default
10784,27.45,70.25,0,5.5,default
10785,27.55,70.25,0,5.5,default
10786,27.65,70.25,0,5.5,default
10787,27.75,70.25,0,5.5,default
10788,27.85,70.25,0,5.5,default
11097,25.75,70.35,0,5.5,default
11098,25.85,70.35,0,5.5,default
11099,25.95,70.35,0,5.5,default
11100,26.05,70.35,0,5.5,default
11101,26.15,70.35,0,5.5,default
11102,26.25,70.35,0,5.5,default
11103,26.35,70.35,0,5.5,default
11104,26.45,70.35,0,5.5,default
11105,26.55,70.35,0,5.5,default
11106,26.65,70.35,0,5.5,default
11107,26.75,70.35,0,5.5,default
11108,26.85,70.35,0,5.5,default
11109,26.95,70.35,0,5.5,default
11110,27.05,70.35,0,5.5,default
11111,27.15,70.35,0,5.5,default
