gid,latitude,longitude,elevation,timezone,config
23528,14.85,74.15,0,5.5,default
23536,15.65,74.15,0,5.5,default
23857,14.75,74.25,0,5.5,default
23858,14.85,74.25,0,5.5,default
23859,14.95,74.25,0,5.5,default
24185,14.55,74.35,0,5.5,default
24186,14.65,74.35,0,5.5,default
24187,14.75,74.35,0,5.5,default
24188,14.85,74.35,0,5.5,default
24189,14.95,74.35,0,5.5,default
24190,15.05,74.35,0,5.5,default
24191,15.15,74.35,0,5.5,default
24192,15.25,74.35,0,5.5,default
24193,15.35,74.35,0,5.5,default
24194,15.45,74.35,0,5.5,default
24195,15.55,74.35,0,5.5,default
24196,15.65,74.35,0,5.5,default
24197,15.75,74.35,0,5.5,default
24198,15.85,74.35,0,5.5,default
24203,16.35,74.35,0,5.5,default
24204,16.45,74.35,0,5.5,default
24512,14.25,74.45,0,5.5,default
24513,14.35,74.45,0,5.5,default
24514,14.45,74.45,0,5.5,default
24515,14.55,74.45,0,5.5,default
24516,14.65,74.45,0,5.5,default
24517,14.75,74.45,0,5.5,default
24518,14.85,74.45,0,5.5,default
24519,14.95,74.45,0,5.5,default
24520,15.05,74.45,0,5.5,default
24521,15.15,74.45,0,5.5,default
24522,15.25,74.45,0,5.5,default
24523,15.35,74.45,0,5.5,default
24524,15.45,74.45,0,5.5,default
24525,15.55,74.45,0,5.5,default
24526,15.65,74.45,0,5.5,default
24527,15.75,74.45,0,5.5,default
24528,15.85,74.45,0,5.5,default
24529,15.95,74.45,0,5.5,default
24532,16.25,74.45,0,5.5,default
24533,16.35,74.45,0,5.5,default
24534,16.45,74.45,0,5.5,default
24535,16.55,74.45,0,5.5,default
24839,13.95,74.55,0,5.5,default
24840,14.05,74.55,0,5.5,default
24841,14.15,74.55,0,5.5,default
24842,14.25,74.55,0,5.5,default
24843,14.35,74.55,0,5.5,default
24844,14.45,74.55,0,5.5,default
24845,14.55,74.55,0,5.5,default
24846,14.65,74.55,0,5.5,default
24847,14.75,74.55,0,5.5,default
24848,14.85,74.55,0,5.5,default
24849,14.95,74.55,0,5.5,default
24850,15.05,74.55,0,5.5,default
24851,15.15,74.55,0,5.5,default
24852,15.25,74.55,0,5.5,default
24853,15.35,74.55,0,5.5,default
24854,15.45,74.55,0,5.5,default
24855,15.55,74.55,0,5.5,default
24856,15.65,74.55,0,5.5,default
24857,15.75,74.55,0,5.5,default
24858,15.85,74.55,0,5.5,default
24859,15.95,74.55,0,5.5,default
24860,16.05,74.55,0,5.5,default
24861,16.15,74.55,0,5.5,default
24862,16.25,74.55,0,5.5,default
24863,16.35,74.55,0,5.5,default
24864,16.45,74.55,0,5.5,default
24865,16.55,74.55,0,5.5,default
25167,13.75,74.65,0,5.5,default
25168,13.85,74.65,0,5.5,default
25169,13.95,74.65,0,5.5,default
25170,14.05,74.65,0,5.5,default
25171,14.15,74.65,0,5.5,default
25172,14.25,74.65,0,5.5,default
25173,14.35,74.65,0,5.5,default
25174,14.45,74.65,0,5.5,default
25175,14.55,74.65,0,5.5,default
25176,14.65,74.65,0,5.5,default
25177,14.75,74.65,0,5.5,default
25178,14.85,74.65,0,5.5,default
25179,14.95,74.65,0,5.5,default
25180,15.05,74.65,0,5.5,default
25181,15.15,74.65,0,5.5,default
25182,15.25,74.65,0,5.5,default
25183,15.35,74.65,0,5.5,default
25184,15.45,74.65,0,5.5,default
25185,15.55,74.65,0,5.5,default
25186,15.65,74.65,0,5.5,default
25187,15.75,74.65,0,5.5,default
25188,15.85,74.65,0,5.5,default
25189,15.95,74.65,0,5.5,default
25190,16.05,74.65,0,5.5,default
25191,16.15,74.65,0,5.5,default
25192,16.25,74.65,0,5.5,default
25193,16.35,74.65,0,5.5,default
25194,16.45,74.65,0,5.5,default
25195,16.55,74.65,0,5.5,default
25492,13.25,74.75,0,5.5,default
25493,13.35,74.75,0,5.5,default
25494,13.45,74.75,0,5.5,default
25495,13.55,74.75,0,5.5,default
25496,13.65,74.75,0,5.5,default
25497,13.75,74.75,0,5.5,default
25498,13.85,74.75,0,5.5,default
25499,13.95,74.75,0,5.5,default
25500,14.05,74.75,0,5.5,default
25501,14.15,74.75,0,5.5,default
25502,14.25,74.75,0,5.5,default
25503,14.35,74.75,0,5.5,default
25504,14.45,74.75,0,5.5,default
25505,14.55,74.75,0,5.5,default
25506,14.65,74.75,0,5.5,default
25507,14.75,74.75,0,5.5,default
25508,14.85,74.75,0,5.5,default
25509,14.95,74.75,0,5.5,default
25510,15.05,74.75,0,5.5,default
25511,15.15,74.75,0,5.5,default
25512,15.25,74.75,0,5.5,default
25513,15.35,74.75,0,5.5,default
25514,15.45,74.75,0,5.5,default
25515,15.55,74.75,0,5.5,default
25516,15.65,74.75,0,5.5,default
25517,15.75,74.75,0,5.5,default
25518,15.85,74.75,0,5.5,default
25519,15.95,74.75,0,5.5,default
25520,16.05,74.75,0,5.5,default
25521,16.15,74.75,0,5.5,default
25522,16.25,74.75,0,5.5,default
25523,16.35,74.75,0,5.5,default
25524,16.45,74.75,0,5.5,default
25525,16.55,74.75,0,5.5,default
25526,16.65,74.75,0,5.5,default
25818,12.85,74.85,0,5.5,default
25819,12.95,74.85,0,5.5,default
25820,13.05,74.85,0,5.5,default
25821,13.15,74.85,0,5.5,default
25822,13.25,74.85,0,5.5,default
25823,13.35,74.85,0,5.5,default
25824,13.45,74.85,0,5.5,default
25825,13.55,74.85,0,5.5,default
25826,13.65,74.85,0,5.5,default
25827,13.75,74.85,0,5.5,default
25828,13.85,74.85,0,5.5,default
25829,13.95,74.85,0,5.5,default
25830,14.05,74.85,0,5.5,default
25831,14.15,74.85,0,5.5,default
25832,14.25,74.85,0,5.5,default
25833,14.35,74.85,0,5.5,default
25834,14.45,74.85,0,5.5,default
25835,14.55,74.85,0,5.5,default
25836,14.65,74.85,0,5.5,default
25837,14.75,74.85,0,5.5,default
25838,14.85,74.85,0,5.5,default
25839,14.95,74.85,0,5.5,default
25840,15.05,74.85,0,5.5,default
25841,15.15,74.85,0,5.5,default
25842,15.25,74.85,0,5.5,default
25843,15.35,74.85,0,5.5,default
25844,15.45,74.85,0,5.5,default
25845,15.55,74.85,0,5.5,default
25846,15.65,74.85,0,5.5,default
25847,15.75,74.85,0,5.5,default
25848,15.85,74.85,0,5.5,default
25849,15.95,74.85,0,5.5,default
25850,16.05,74.85,0,5.5,default
25851,16.15,74.85,0,5.5,default
25852,16.25,74.85,0,5.5,default
25853,16.35,74.85,0,5.5,default
25854,16.45,74.85,0,5.5,default
25855,16.55,74.85,0,5.5,default
25856,16.65,74.85,0,5.5,default
25857,16.75,74.85,0,5.5,default
26146,12.65,74.95,0,5.5,default
26147,12.75,74.95,0,5.5,default
26148,12.85,74.95,0,5.5,default
26149,12.95,74.95,0,5.5,default
26150,13.05,74.95,0,5.5,default
26151,13.15,74.95,0,5.5,default
26152,13.25,74.95,0,5.5,default
26153,13.35,74.95,0,5.5,default
26154,13.45,74.95,0,5.5,default
26155,13.55,74.95,0,5.5,default
26156,13.65,74.95,0,5.5,default
26157,13.75,74.95,0,5.5,default
26158,13.85,74.95,0,5.5,default
26159,13.95,74.95,0,5.5,default
26160,14.05,74.95,0,5.5,default
26161,14.15,74.95,0,5.5,default
26162,14.25,74.95,0,5.5,default
26163,14.35,74.95,0,5.5,default
26164,14.45,74.95,0,5.5,default
26165,14.55,74.95,0,5.5,default
26166,14.65,74.95,0,5.5,default
26167,14.75,74.95,0,5.5,default
26168,14.85,74.95,0,5.5,default
26169,14.95,74.95,0,5.5,default
26170,15.05,74.95,0,5.5,default
26171,15.15,74.95,0,5.5,default
26172,15.25,74.95,0,5.5,default
26173,15.35,74.95,0,5.5,default
26174,15.45,74.95,0,5.5,default
26175,15.55,74.95,0,5.5,default
26176,15.65,74.95,0,5.5,default
26177,15.75,74.95,0,5.5,default
26178,15.85,74.95,0,5.5,default
26179,15.95,74.95,0,5.5,default
26180,16.05,74.95,0,5.5,default
26181,16.15,74.95,0,5.5,default
26182,16.25,74.95,0,5.5,default
26183,16.35,74.95,0,5.5,default
26184,16.45,74.95,0,5.5,default
26185,16.55,74.95,0,5.5,default
26186,16.65,74.95,0,5.5,default
26187,16.75,74.95,0,5.5,default
26188,16.85,74.95,0,5.5,default
26474,12.45,75.05,0,5.5,default
26475,12.55,75.05,0,5.5,default
26476,12.65,75.05,0,5.5,default
26477,12.75,75.05,0,5.5,default
26478,12.85,75.05,0,5.5,default
26479,12.95,75.05,0,5.5,default
26480,13.05,75.05,0,5.5,default
26481,13.15,75.05,0,5.5,default
26482,13.25,75.05,0,5.5,default
26483,13.35,75.05,0,5.5,default
26484,13.45,75.05,0,5.5,default
26485,13.55,75.05,0,5.5,default
26486,13.65,75.05,0,5.5,default
26487,13.75,75.05,0,5.5,default
26488,13.85,75.05,0,5.5,default
26489,13.95,75.05,0,5.5,default
26490,14.05,75.05,0,5.5,default
26491,14.15,75.05,0,5.5,default
26492,14.25,75.05,0,5.5,default
26493,14.35,75.05,0,5.5,default
26494,14.45,75.05,0,5.5,default
26495,14.55,75.05,0,5.5,default
26496,14.65,75.05,0,5.5,default
26497,14.75,75.05,0,5.5,default
26498,14.85,75.05,0,5.5,default
26499,14.95,75.05,0,5.5,default
26500,15.05,75.05,0,5.5,default
26501,15.15,75.05,0,5.5,default
26502,15.25,75.05,0,5.5,default
26503,15.35,75.05,0,5.5,default
26504,15.45,75.05,0,5.5,default
