gid,latitude,longitude,elevation,timezone,config
4147,23.75,68.25,0,5.5,default
4148,23.85,68.25,0,5.5,default
4476,23.65,68.35,0,5.5,default
4477,23.75,68.35,0,5.5,default
4479,23.95,68.35,0,5.5,default
4804,23.45,68.45,0,5.5,default
4805,23.55,68.45,0,5.5,default
4807,23.75,68.45,0,5.5,default
4809,23.95,68.45,0,5.5,default
5134,23.45,68.55,0,5.5,default
5135,23.55,68.55,0,5.5,default
5136,23.65,68.55,0,5.5,default
5139,23.95,68.55,0,5.5,default
5462,23.25,68.65,0,5.5,default
5463,23.35,68.65,0,5.5,default
5464,23.45,68.65,0,5.5,default
5465,23.55,68.65,0,5.5,default
5466,23.65,68.65,0,5.5,default
5467,23.75,68.65,0,5.5,default
5468,23.85,68.65,0,5.5,default
5469,23.95,68.65,0,5.5,default
5791,23.15,68.75,0,5.5,default
5792,23.25,68.75,0,5.5,default
5793,23.35,68.75,0,5.5,default
5794,23.45,68.75,0,5.5,default
5795,23.55,68.75,0,5.5,default
5796,23.65,68.75,0,5.5,default
5797,23.75,68.75,0,5.5,default
5798,23.85,68.75,0,5.5,default
5799,23.95,68.75,0,5.5,default
6120,23.05,68.85,0,5.5,default
6121,23.15,68.85,0,5.5,default
6122,23.25,68.85,0,5.5,default
6123,23.35,68.85,0,5.5,default
6124,23.45,68.85,0,5.5,default
6125,23.55,68.85,0,5.5,default
6126,23.65,68.85,0,5.5,default
6127,23.75,68.85,0,5.5,default
6128,23.85,68.85,0,5.5,default
6129,23.95,68.85,0,5.5,default
6130,24.05,68.85,0,5.5,default
6131,24.15,68.85,0,5.5,default
6450,23.05,68.95,0,5.5,default
6451,23.15,68.95,0,5.5,default
6452,23.25,68.95,0,5.5,default
6453,23.35,68.95,0,5.5,default
6454,23.45,68.95,0,5.5,default
6455,23.55,68.95,0,5.5,default
6456,23.65,68.95,0,5.5,default
6457,23.75,68.95,0,5.5,default
6458,23.85,68.95,0,5.5,default
6459,23.95,68.95,0,5.5,default
6460,24.05,68.95,0,5.5,default
6461,24.15,68.95,0,5.5,default
6462,24.25,68.95,0,5.5,default
6771,22.15,69.05,0,5.5,default
6772,22.25,69.05,0,5.5,default
6773,22.35,69.05,0,5.5,default
6774,22.45,69.05,0,5.5,default
6779,22.95,69.05,0,5.5,default
6780,23.05,69.05,0,5.5,default
6781,23.15,69.05,0,5.5,default
6782,23.25,69.05,0,5.5,default
6783,23.35,69.05,0,5.5,default
6784,23.45,69.05,0,5.5,default
6785,23.55,69.05,0,5.5,default
6786,23.65,69.05,0,5.5,default
6787,23.75,69.05,0,5.5,default
6788,23.85,69.05,0,5.5,default
6789,23.95,69.05,0,5.5,default
6790,24.05,69.05,0,5.5,default
6791,24.15,69.05,0,5.5,default
7100,22.05,69.15,0,5.5,default
7101,22.15,69.15,0,5.5,default
7102,22.25,69.15,0,5.5,default
7103,22.35,69.15,0,5.5,default
7109,22.95,69.15,0,5.5,default
7110,23.05,69.15,0,5.5,default
7111,23.15,69.15,0,5.5,default
7112,23.25,69.15,0,5.5,default
7113,23.35,69.15,0,5.5,default
7114,23.45,69.15,0,5.5,default
7115,23.55,69.15,0,5.5,default
7116,23.65,69.15,0,5.5,default
7117,23.75,69.15,0,5.5,default
7118,23.85,69.15,0,5.5,default
7119,23.95,69.15,0,5.5,default
7120,24.05,69.15,0,5.5,default
7121,24.15,69.15,0,5.5,default
7429,21.95,69.25,0,5.5,default
7430,22.05,69.25,0,5.5,default
7431,22.15,69.25,0,5.5,default
7432,22.25,69.25,0,5.5,default
7438,22.85,69.25,0,5.5,default
7439,22.95,69.25,0,5.5,default
7440,23.05,69.25,0,5.5,default
7441,23.15,69.25,0,5.5,default
7442,23.25,69.25,0,5.5,default
7443,23.35,69.25,0,5.5,default
7444,23.45,69.25,0,5.5,default
7445,23.55,69.25,0,5.5,default
7446,23.65,69.25,0,5.5,default
7447,23.75,69.25,0,5.5,default
7448,23.85,69.25,0,5.5,default
7449,23.95,69.25,0,5.5,default
7450,24.05,69.25,0,5.5,default
7451,24.15,69.25,0,5.5,default
7452,24.25,69.25,0,5.5,default
7758,21.85,69.35,0,5.5,default
7759,21.95,69.35,0,5.5,default
7760,22.05,69.35,0,5.5,default
7761,22.15,69.35,0,5.5,default
7762,22.25,69.35,0,5.5,default
7768,22.85,69.35,0,5.5,default
7769,22.95,69.35,0,5.5,default
7770,23.05,69.35,0,5.5,default
7771,23.15,69.35,0,5.5,default
7772,23.25,69.35,0,5.5,default
7773,23.35,69.35,0,5.5,default
7774,23.45,69.35,0,5.5,default
7775,23.55,69.35,0,5.5,default
7776,23.65,69.35,0,5.5,default
7777,23.75,69.35,0,5.5,default
7778,23.85,69.35,0,5.5,default
7779,23.95,69.35,0,5.5,default
7780,24.05,69.35,0,5.5,default
7781,24.15,69.35,0,5.5,default
7782,24.25,69.35,0,5.5,default
8088,21.85,69.45,0,5.5,default
8089,21.95,69.45,0,5.5,default
8090,22.05,69.45,0,5.5,default
8091,22.15,69.45,0,5.5,default
8092,22.25,69.45,0,5.5,default
8098,22.85,69.45,0,5.5,default
8099,22.95,69.45,0,5.5,default
8100,23.05,69.45,0,5.5,default
8101,23.15,69.45,0,5.5,default
8102,23.25,69.45,0,5.5,default
8103,23.35,69.45,0,5.5,default
8104,23.45,69.45,0,5.5,default
8105,23.55,69.45,0,5.5,default
8106,23.65,69.45,0,5.5,default
8107,23.75,69.45,0,5.5,default
8108,23.85,69.45,0,5.5,default
8109,23.95,69.45,0,5.5,default
8110,24.05,69.45,0,5.5,default
8111,24.15,69.45,0,5.5,default
8112,24.25,69.45,0,5.5,default
8417,21.75,69.55,0,5.5,default
8418,21.85,69.55,0,5.5,default
8419,21.95,69.55,0,5.5,default
8420,22.05,69.55,0,5.5,default
8421,22.15,69.55,0,5.5,default
8422,22.25,69.55,0,5.5,default
8423,22.35,69.55,0,5.5,default
8428,22.85,69.55,0,5.5,default
8429,22.95,69.55,0,5.5,default
8430,23.05,69.55,0,5.5,default
8431,23.15,69.55,0,5.5,default
8432,23.25,69.55,0,5.5,default
8433,23.35,69.55,0,5.5,default
8434,23.45,69.55,0,5.5,default
8435,23.55,69.55,0,5.5,default
8436,23.65,69.55,0,5.5,default
8437,23.75,69.55,0,5.5,default
8438,23.85,69.55,0,5.5,default
8439,23.95,69.55,0,5.5,default
8440,24.05,69.55,0,5.5,default
8441,24.15,69.55,0,5.5,default
8442,24.25,69.55,0,5.5,default
8746,21.65,69.65,0,5.5,default
8747,21.75,69.65,0,5.5,default
8748,21.85,69.65,0,5.5,default
8749,21.95,69.65,0,5.5,default
8750,22.05,69.65,0,5.5,default
8751,22.15,69.65,0,5.5,default
8752,22.25,69.65,0,5.5,default
8753,22.35,69.65,0,5.5,default
8758,22.85,69.65,0,5.5,default
8759,22.95,69.65,0,5.5,default
8760,23.05,69.65,0,5.5,default
8761,23.15,69.65,0,5.5,default
8762,23.25,69.65,0,5.5,default
8763,23.35,69.65,0,5.5,default
8764,23.45,69.65,0,5.5,default
8765,23.55,69.65,0,5.5,default
8766,23.65,69.65,0,5.5,default
8767,23.75,69.65,0,5.5,default
8768,23.85,69.65,0,5.5,default
8769,23.95,69.65,0,5.5,default
8770,24.05,69.65,0,5.5,default
8771,24.15,69.65,0,5.5,default
9075,21.55,69.75,0,5.5,default
9076,21.65,69.75,0,5.5,default
9077,21.75,69.75,0,5.5,default
9078,21.85,69.75,0,5.5,default
9079,21.95,69.75,0,5.5,default
9080,22.05,69.75,0,5.5,default
9081,22.15,69.75,0,5.5,default
9082,22.25,69.75,0,5.5,default
9083,22.35,69.75,0,5.5,default
9088,22.85,69.75,0,5.5,default
9089,22.95,69.75,0,5.5,default
9090,23.05,69.75,0,5.5,default
9091,23.15,69.75,0,5.5,default
9092,23.25,69.75,0,5.5,default
9093,23.35,69.75,0,5.5,default
9094,23.45,69.75,0,5.5,default
9095,23.55,69.75,0,5.5,default
9096,23.65,69.75,0,5.5,default
9097,23.75,69.75,0,5.5,default
9098,23.85,69.75,0,5.5,default
9099,23.95,69.75,0,5.5,default
9100,24.05,69.75,0,5.5,default
9101,24.15,69.75,0,5.5,default
9404,21.45,69.85,0,5.5,default
9405,21.55,69.85,0,5.5,default
9406,21.65,69.85,0,5.5,default
9407,21.75,69.85,0,5.5,default
9408,21.85,69.85,0,5.5,default
9409,21.95,69.85,0,5.5,default
9410,22.05,69.85,0,5.5,default
9411,22.15,69.85,0,5.5,default
9412,22.25,69.85,0,5.5,default
9413,22.35,69.85,0,5.5,default
9414,22.45,69.85,0,5.5,default
9419,22.95,69.85,0,5.5,default
9420,23.05,69.85,0,5.5,default
9421,23.15,69.85,0,5.5,default
9422,23.25,69.85,0,5.5,default
9423,23.35,69.85,0,5.5,default
9424,23.45,69.85,0,5.5,default
9425,23.55,69.85,0,5.5,default
9426,23.65,69.85,0,5.5,default
9427,23.75,69.85,0,5.5,default
9428,23.85,69.85,0,5.5,default
9429,23.95,69.85,0,5.5,default
9430,24.05,69.85,0,5.5,default
9431,24.15,69.85,0,5.5,default
9733,21.35,69.95,0,5.5,default
9734,21.45,69.95,0,5.5,default
9735,21.55,69.95,0,5.5,default
9736,21.65,69.95,0,5.5,default
9737,21.75,69.95,0,5.5,default
9738,21.85,69.95,0,5.5,default
9739,21.95,69.95,0,5.5,default
9740,22.05,69.95,0,5.5,default
9741,22.15,69.95,0,5.5,default
9742,22.25,69.95,0,5.5,default
9743,22.35,69.95,0,5.5,default
9744,22.45,69.95,0,5.5,default
9745,22.55,69.95,0,5.5,default
9749,22.95,69.95,0,5.5,default
9750,23.05,69.95,0,5.5,default
9751,23.15,69.95,0,5.5,default
9752,23.25,69.95,0,5.5,default
9753,23.35,69.95,0,5.5,default
9754,23.45,69.95,0,5.5,default
9755,23.55,69.95,0,5.5,default
9756,23.65,69.95,0,5.5,default
9757,23.75,69.95,0,5.5,default
9758,23.85,69.95,0,5.5,default
9759,23.95,69.95,0,5.5,default
9760,24.05,69.95,0,5.5,default
9761,24.15,69.95,0,5.5,default
10062,21.25,70.05,0,5.5,default
10063,21.35,70.05,0,5.5,default
10064,21.45,70.05,0,5.5,default
10065,21.55,70.05,0,5.5,default
10066,21.65,70.05,0,5.5,default
10067,21.75,70.05,0,5.5,default
10068,21.85,70.05,0,5.5,default
10069,21.95,70.05,0,5.5,default
10070,22.05,70.05,0,5.5,default
10071,22.15,70.05,0,5.5,default
10072,22.25,70.05,0,5.5,default
10073,22.35,70.05,0,5.5,default
10074,22.45,70.05,0,5.5,default
10075,22.55,70.05,0,5.5,default
10079,22.95,70.05,0,5.5,default
10080,23.05,70.05,0,5.5,default
10081,23.15,70.05,0,5.5,default
10082,23.25,70.05,0,5.5,default
10083,23.35,70.05,0,5.5,default
10084,23.45,70.05,0,5.5,default
10085,23.55,70.05,0,5.5,default
10086,23.65,70.05,0,5.5,default
10087,23.75,70.05,0,5.5,default
10088,23.85,70.05,0,5.5,default
10089,23.95,70.05,0,5.5,default
10090,24.05,70.05,0,5.5,default
10091,24.15,70.05,0,5.5,default
10391,21.15,70.15,0,5.5,default
10392,21.25,70.15,0,5.5,default
10393,21.35,70.15,0,5.5,default
10394,21.45,70.15,0,5.5,default
10395,21.55,70.15,0,5.5,default
10396,21.65,70.15,0,5.5,default
10397,21.75,70.15,0,5.5,default
10398,21.85,70.15,0,5.5,default
10399,21.95,70.15,0,5.5,default
10400,22.05,70.15,0,5.5,default
10401,22.15,70.15,0,5.5,default
10402,22.25,70.15,0,5.5,default
10403,22.35,70.15,0,5.5,default
10404,22.45,70.15,0,5.5,default
10405,22.55,70.15,0,5.5,default
10409,22.95,70.15,0,5.5,default
10410,23.05,70.15,0,5.5,default
10411,23.15,70.15,0,5.5,default
10412,23.25,70.15,0,5.5,default
10413,23.35,70.15,0,5.5,default
10414,23.45,70.15,0,5.5,default
10415,23.55,70.15,0,5.5,default
10416,23.65,70.15,0,5.5,default
10417,23.75,70.15,0,5.5,default
10418,23.85,70.15,0,5.5,default
10419,23.95,70.15,0,5.5,default
10420,24.05,70.15,0,5.5,default
10421,24.15,70.15,0,5.5,default
10422,24.25,70.15,0,5.5,default
10720,21.05,70.25,0,5.5,default
10721,21.15,70.25,0,5.5,default
10722,21.25,70.25,0,5.5,default
10723,21.35,70.25,0,5.5,default
10724,21.45,70.25,0,5.5,default
10725,21.55,70.25,0,5.5,default
10726,21.65,70.25,0,5.5,default
10727,21.75,70.25,0,5.5,default
10728,21.85,70.25,0,5.5,default
10729,21.95,70.25,0,5.5,default
10730,22.05,70.25,0,5.5,default
10731,22.15,70.25,0,5.5,default
10732,22.25,70.25,0,5.5,default
10733,22.35,70.25,0,5.5,default
10734,22.45,70.25,0,5.5,default
10735,22.55,70.25,0,5.5,default
10736,22.65,70.25,0,5.5,default
10740,23.05,70.25,0,5.5,default
10741,23.15,70.25,0,5.5,default
10742,23.25,70.25,0,5.5,default
10743,23.35,70.25,0,5.5,default
10744,23.45,70.25,0,5.5,default
10745,23.55,70.25,0,5.5,default
10746,23.65,70.25,0,5.5,default
10747,23.75,70.25,0,5.5,default
10748,23.85,70.25,0,5.5,default
10749,23.95,70.25,0,5.5,default
10750,24.05,70.25,0,5.5,default
10751,24.15,70.25,0,5.5,default
10752,24.25,70.25,0,5.5,default
11049,20.95,70.35,0,5.5,default
11050,21.05,70.35,0,5.5,default
11051,21.15,70.35,0,5.5,default
11052,21.25,70.35,0,5.5,default
11053,21.35,70.35,0,5.5,default
11054,21.45,70.35,0,5.5,default
11055,21.55,70.35,0,5.5,default
11056,21.65,70.35,0,5.5,default
11057,21.75,70.35,0,5.5,default
11058,21.85,70.35,0,5.5,default
11059,21.95,70.35,0,5.5,default
11060,22.05,70.35,0,5.5,default
11061,22.15,70.35,0,5.5,default
11062,22.25,70.35,0,5.5,default
11063,22.35,70.35,0,5.5,default
11064,22.45,70.35,0,5.5,default
11065,22.55,70.35,0,5.5,default
11066,22.65,70.35,0,5.5,default
11067,22.75,70.35,0,5.5,default
11068,22.85,70.35,0,5.5,default
11069,22.95,70.35,0,5.5,default
11070,23.05,70.35,0,5.5,default
11071,23.15,70.35,0,5.5,default
11072,23.25,70.35,0,5.5,default
11073,23.35,70.35,0,5.5,default
11074,23.45,70.35,0,5.5,default
11075,23.55,70.35,0,5.5,default
11076,23.65,70.35,0,5.5,default
11077,23.75,70.35,0,5.5,default
11078,23.85,70.35,0,5.5,default
11079,23.95,70.35,0,5.5,default
11080,24.05,70.35,0,5.5,default
11081,24.15,70.35,0,5.5,default
11082,24.25,70.35,0,5.5,default
11083,24.35,70.35,0,5.5,default
11378,20.85,70.45,0,5.5,default
11379,20.95,70.45,0,5.5,default
11380,21.05,70.45,0,5.5,default
11381,21.15,70.45,0,5.5,default
11382,21.25,70.45,0,5.5,default
11383,21.35,70.45,0,5.5,default
11384,21.45,70.45,0,5.5,default
11385,21.55,70.45,0,5.5,default
11386,21.65,70.45,0,5.5,default
11387,21.75,70.45,0,5.5,default
11388,21.85,70.45,0,5.5,default
11389,21.95,70.45,0,5.5,default
11390,22.05,70.45,0,5.5,default
11391,22.15,70.45,0,5.5,default
11392,22.25,70.45,0,5.5,default
11393,22.35,70.45,0,5.5,default
11394,22.45,70.45,0,5.5,default
11395,22.55,70.45,0,5.5,default
11396,22.65,70.45,0,5.5,default
11397,22.75,70.45,0,5.5,default
11398,22.85,70.45,0,5.5,default
