gid,latitude,longitude,elevation,offshore,wrf_region,config
624,21.687668,83.42655,194,0,0,default
625,21.687668,83.45609,205,0,0,default
626,21.687668,83.48563,203,0,0,default
627,21.687668,83.51517,192,0,0,default
628,21.687668,83.5447,219,0,0,default
629,21.687668,83.57424,342,0,0,default
630,21.687668,83.603775,206,0,0,default
631,21.687668,83.633316,247,0,0,default
632,21.687668,83.66285,215,0,0,default
633,21.687668,83.69239,188,0,0,default
634,21.687668,83.72193,188,0,0,default
635,21.687668,83.751465,188,0,0,default
636,21.687668,83.781006,212,0,0,default
637,21.687668,83.81054,202,0,0,default
638,21.687668,83.84008,195,0,0,default
639,21.687668,83.86961,202,0,0,default
640,21.687668,83.899155,196,0,0,default
641,21.687668,83.92869,221,0,0,default
642,21.687668,83.95823,198,0,0,default
643,21.687668,83.98776,272,0,0,default
644,21.687668,84.0173,191,0,0,default
645,21.687668,84.046844,193,0,0,default
646,21.687668,84.07638,209,0,0,default
647,21.687668,84.10592,211,0,0,default
648,21.687668,84.13545,227,0,0,default
649,21.687668,84.16499,244,0,0,default
650,21.687668,84.19453,275,0,0,default
651,21.687668,84.22407,240,0,0,default
652,21.687668,84.2536,225,0,0,default
653,21.687668,84.28314,234,0,0,default
654,21.687668,84.312675,235,0,0,default
655,21.687668,84.34222,250,0,0,default
656,21.687668,84.37175,245,0,0,default
657,21.687668,84.40129,365,0,0,default
658,21.687668,84.43083,297,0,0,default
659,21.687668,84.460365,325,0,0,default
660,21.687668,84.48991,509,0,0,default
661,21.687668,84.51944,447,0,0,default
662,21.687668,84.54898,461,0,0,default
663,21.687668,84.578514,398,0,0,default
664,21.687668,84.608055,547,0,0,default
665,21.687668,84.63759,549,0,0,default
666,21.687668,84.66713,375,0,0,default
667,21.687668,84.69667,382,0,0,default
668,21.687668,84.726204,382,0,0,default
669,21.687668,84.755745,390,0,0,default
670,21.687668,84.78528,331,0,0,default
671,21.687668,84.81482,477,0,0,default
672,21.687668,84.84435,213,0,0,default
673,21.687668,84.87389,158,0,0,default
674,21.687668,84.90343,149,0,0,default
675,21.687668,84.93297,143,0,0,default
676,21.687668,84.9625,149,0,0,default
677,21.687668,84.99204,143,0,0,default
678,21.687668,85.021576,347,0,0,default
679,21.687668,85.05112,348,0,0,default
680,21.687668,85.08066,252,0,0,default
681,21.687668,85.11019,274,0,0,default
682,21.687668,85.13973,470,0,0,default
683,21.687668,85.169266,712,0,0,default
684,21.687668,85.19881,682,0,0,default
685,21.687668,85.22834,697,0,0,default
686,21.687668,85.25788,590,0,0,default
687,21.687668,85.287415,604,0,0,default
688,21.687668,85.316956,587,0,0,default
689,21.687668,85.3465,584,0,0,default
690,21.687668,85.37603,523,0,0,default
691,21.687668,85.40556,638,0,0,default
692,21.687668,85.435104,530,0,0,default
693,21.687668,85.464645,651,0,0,default
694,21.687668,85.49418,620,0,0,default
695,21.687668,85.52372,493,0,0,default
696,21.687668,85.55325,456,0,0,default
697,21.687668,85.582794,459,0,0,default
698,21.687668,85.61233,442,0,0,default
699,21.687668,85.64187,466,0,0,default
700,21.687668,85.6714,471,0,0,default
701,21.687668,85.70094,439,0,0,default
702,21.687668,85.730484,381,0,0,default
703,21.687668,85.76002,372,0,0,default
704,21.687668,85.78956,354,0,0,default
705,21.687668,85.81909,347,0,0,default
706,21.687668,85.84863,332,0,0,default
707,21.687668,85.87817,326,0,0,default
708,21.687668,85.90771,344,0,0,default
709,21.687668,85.93724,354,0,0,default
710,21.687668,85.96678,366,0,0,default
711,21.687668,85.996315,367,0,0,default
712,21.687668,86.025856,355,0,0,default
713,21.687668,86.05539,375,0,0,default
714,21.687668,86.08493,383,0,0,default
715,21.687668,86.11447,410,0,0,default
716,21.687668,86.144005,498,0,0,default
717,21.687668,86.173546,818,0,0,default
718,21.687668,86.20308,863,0,0,default
719,21.687668,86.23262,837,0,0,default
720,21.687668,86.26215,888,0,0,default
721,21.687668,86.291695,1012,0,0,default
722,21.687668,86.32123,1013,0,0,default
723,21.687668,86.35077,1002,0,0,default
724,21.687668,86.38031,906,0,0,default
725,21.687668,86.40984,878,0,0,default
726,21.687668,86.439384,669,0,0,default
727,21.687668,86.46892,315,0,0,default
728,21.687668,86.49846,117,0,0,default
729,21.687668,86.52799,83,0,0,default
730,21.687668,86.55753,63,0,0,default
731,21.687668,86.58707,62,0,0,default
732,21.687668,86.61661,52,0,0,default
733,21.687668,86.64614,50,0,0,default
734,21.687668,86.67568,58,0,0,default
735,21.687668,86.705215,29,0,0,default
736,21.687668,86.73476,35,0,0,default
737,21.687668,86.7643,46,0,0,default
738,21.687668,86.79383,22,0,0,default
739,21.687668,86.82337,17,0,0,default
740,21.687668,86.852905,43,0,0,default
1367,21.71511,83.48563,211,0,0,default
1368,21.71511,83.51517,193,0,0,default
1369,21.71511,83.5447,191,0,0,default
1370,21.71511,83.57424,198,0,0,default
1371,21.71511,83.603775,208,0,0,default
1372,21.71511,83.633316,189,0,0,default
1373,21.71511,83.66285,188,0,0,default
1374,21.71511,83.69239,188,0,0,default
1375,21.71511,83.72193,188,0,0,default
1376,21.71511,83.751465,190,0,0,default
1377,21.71511,83.781006,194,0,0,default
1378,21.71511,83.81054,218,0,0,default
1379,21.71511,83.84008,223,0,0,default
1380,21.71511,83.86961,215,0,0,default
1381,21.71511,83.899155,200,0,0,default
1382,21.71511,83.92869,204,0,0,default
1383,21.71511,83.95823,189,0,0,default
1384,21.71511,83.98776,196,0,0,default
1385,21.71511,84.0173,193,0,0,default
1386,21.71511,84.046844,207,0,0,default
1387,21.71511,84.07638,226,0,0,default
1388,21.71511,84.10592,226,0,0,default
1389,21.71511,84.13545,242,0,0,default
1390,21.71511,84.16499,225,0,0,default
1391,21.71511,84.19453,222,0,0,default
1392,21.71511,84.22407,227,0,0,default
1393,21.71511,84.2536,215,0,0,default
1394,21.71511,84.28314,223,0,0,default
1395,21.71511,84.312675,219,0,0,default
1396,21.71511,84.34222,224,0,0,default
1397,21.71511,84.37175,234,0,0,default
1398,21.71511,84.40129,237,0,0,default
1399,21.71511,84.43083,328,0,0,default
1400,21.71511,84.460365,443,0,0,default
1401,21.71511,84.48991,375,0,0,default
1402,21.71511,84.51944,286,0,0,default
1403,21.71511,84.54898,475,0,0,default
1404,21.71511,84.578514,675,0,0,default
1405,21.71511,84.608055,528,0,0,default
1406,21.71511,84.63759,631,0,0,default
1407,21.71511,84.66713,390,0,0,default
1408,21.71511,84.69667,368,0,0,default
1409,21.71511,84.726204,373,0,0,default
1410,21.71511,84.755745,504,0,0,default
1411,21.71511,84.78528,236,0,0,default
1412,21.71511,84.81482,204,0,0,default
1413,21.71511,84.84435,176,0,0,default
1414,21.71511,84.87389,156,0,0,default
1415,21.71511,84.90343,139,0,0,default
1416,21.71511,84.93297,152,0,0,default
1417,21.71511,84.9625,171,0,0,default
1418,21.71511,84.99204,155,0,0,default
