gid,latitude,longitude,elevation,offshore,wrf_region,config
691939,21.998741,92.63584,400,0,1,default
692200,22.02613,92.60631,438,0,1,default
692201,22.02613,92.63584,220,0,1,default
692202,22.02613,92.66538,212,0,1,default
692462,22.053513,92.60631,383,0,1,default
692463,22.053513,92.63584,221,0,1,default
692464,22.053513,92.66538,211,0,1,default
692471,22.053513,92.87215,407,0,1,default
692724,22.080887,92.60631,301,0,1,default
692725,22.080887,92.63584,196,0,1,default
692726,22.080887,92.66538,181,0,1,default
692727,22.080887,92.694916,219,0,1,default
692732,22.080887,92.842606,202,0,1,default
692733,22.080887,92.87215,251,0,1,default
692986,22.108253,92.60631,190,0,1,default
692987,22.108253,92.63584,178,0,1,default
692988,22.108253,92.66538,167,0,1,default
692989,22.108253,92.694916,201,0,1,default
692993,22.108253,92.81307,407,0,1,default
692994,22.108253,92.842606,77,0,1,default
692995,22.108253,92.87215,537,0,1,default
693249,22.135612,92.63584,132,0,1,default
693250,22.135612,92.66538,202,0,1,default
693251,22.135612,92.694916,236,0,1,default
693253,22.135612,92.754,123,0,1,default
693254,22.135612,92.78353,185,0,1,default
693255,22.135612,92.81307,473,0,1,default
693256,22.135612,92.842606,109,0,1,default
693257,22.135612,92.87215,326,0,1,default
693511,22.162971,92.63584,141,0,1,default
693512,22.162971,92.66538,147,0,1,default
693513,22.162971,92.694916,262,0,1,default
693514,22.162971,92.72446,323,0,1,default
693515,22.162971,92.754,241,0,1,default
693516,22.162971,92.78353,211,0,1,default
693517,22.162971,92.81307,377,0,1,default
693518,22.162971,92.842606,153,0,1,default
693519,22.162971,92.87215,394,0,1,default
693772,22.190323,92.60631,313,0,1,default
693773,22.190323,92.63584,136,0,1,default
693774,22.190323,92.66538,129,0,1,default
693775,22.190323,92.694916,235,0,1,default
693776,22.190323,92.72446,339,0,1,default
693777,22.190323,92.754,197,0,1,default
693778,22.190323,92.78353,353,0,1,default
693779,22.190323,92.81307,298,0,1,default
693780,22.190323,92.842606,244,0,1,default
693781,22.190323,92.87215,343,0,1,default
694034,22.217674,92.60631,332,0,1,default
694035,22.217674,92.63584,128,0,1,default
694036,22.217674,92.66538,123,0,1,default
694037,22.217674,92.694916,230,0,1,default
694038,22.217674,92.72446,478,0,1,default
694039,22.217674,92.754,156,0,1,default
694040,22.217674,92.78353,519,0,1,default
694041,22.217674,92.81307,538,0,1,default
694042,22.217674,92.842606,219,0,1,default
694043,22.217674,92.87215,355,0,1,default
694296,22.24501,92.60631,249,0,1,default
694297,22.24501,92.63584,129,0,1,default
694298,22.24501,92.66538,135,0,1,default
694299,22.24501,92.694916,245,0,1,default
694300,22.24501,92.72446,557,0,1,default
694301,22.24501,92.754,158,0,1,default
694302,22.24501,92.78353,551,0,1,default
694303,22.24501,92.81307,345,0,1,default
694304,22.24501,92.842606,200,0,1,default
694305,22.24501,92.87215,367,0,1,default
694558,22.272346,92.60631,245,0,1,default
694559,22.272346,92.63584,111,0,1,default
694560,22.272346,92.66538,131,0,1,default
694561,22.272346,92.694916,252,0,1,default
694562,22.272346,92.72446,407,0,1,default
694563,22.272346,92.754,186,0,1,default
694564,22.272346,92.78353,578,0,1,default
694565,22.272346,92.81307,416,0,1,default
694566,22.272346,92.842606,251,0,1,default
694567,22.272346,92.87215,499,0,1,default
694820,22.299683,92.60631,255,0,1,default
694821,22.299683,92.63584,121,0,1,default
694822,22.299683,92.66538,142,0,1,default
694823,22.299683,92.694916,294,0,1,default
694824,22.299683,92.72446,287,0,1,default
694825,22.299683,92.754,195,0,1,default
694826,22.299683,92.78353,343,0,1,default
694827,22.299683,92.81307,226,0,1,default
694828,22.299683,92.842606,217,0,1,default
694829,22.299683,92.87215,482,0,1,default
695082,22.327011,92.60631,225,0,1,default
695083,22.327011,92.63584,136,0,1,default
695084,22.327011,92.66538,150,0,1,default
695085,22.327011,92.694916,236,0,1,default
695086,22.327011,92.72446,320,0,1,default
695087,22.327011,92.754,240,0,1,default
695088,22.327011,92.78353,212,0,1,default
695089,22.327011,92.81307,193,0,1,default
695090,22.327011,92.842606,232,0,1,default
695091,22.327011,92.87215,360,0,1,default
695344,22.354324,92.60631,206,0,1,default
695345,22.354324,92.63584,111,0,1,default
695346,22.354324,92.66538,159,0,1,default
695347,22.354324,92.694916,401,0,1,default
695348,22.354324,92.72446,227,0,1,default
695349,22.354324,92.754,494,0,1,default
695350,22.354324,92.78353,213,0,1,default
695351,22.354324,92.81307,279,0,1,default
695352,22.354324,92.842606,280,0,1,default
695353,22.354324,92.87215,132,0,1,default
695605,22.381645,92.57677,112,0,1,default
695606,22.381645,92.60631,259,0,1,default
695607,22.381645,92.63584,103,0,1,default
695608,22.381645,92.66538,162,0,1,default
695609,22.381645,92.694916,395,0,1,default
695610,22.381645,92.72446,539,0,1,default
695611,22.381645,92.754,559,0,1,default
695612,22.381645,92.78353,270,0,1,default
695613,22.381645,92.81307,175,0,1,default
695614,22.381645,92.842606,278,0,1,default
695615,22.381645,92.87215,885,0,1,default
695867,22.40895,92.57677,114,0,1,default
695868,22.40895,92.60631,296,0,1,default
695869,22.40895,92.63584,116,0,1,default
695870,22.40895,92.66538,214,0,1,default
695871,22.40895,92.694916,589,0,1,default
695872,22.40895,92.72446,462,0,1,default
695873,22.40895,92.754,450,0,1,default
695874,22.40895,92.78353,301,0,1,default
695875,22.40895,92.81307,427,0,1,default
695876,22.40895,92.842606,242,0,1,default
695877,22.40895,92.87215,888,0,1,default
