gid,latitude,longitude,elevation,offshore,wrf_region,config
342427,8.089203,77.483086,-2723,0,1,default
342428,8.089203,77.51263,17,0,1,default
342429,8.089203,77.54216,41,0,1,default
343071,8.118439,77.39448,34,0,1,default
343072,8.118439,77.42401,54,0,1,default
343073,8.118439,77.45355,25,0,1,default
343074,8.118439,77.483086,5,0,1,default
343075,8.118439,77.51263,12,0,1,default
343076,8.118439,77.54216,22,0,1,default
343715,8.147682,77.30586,20,0,1,default
343716,8.147682,77.3354,30,0,1,default
343717,8.147682,77.36494,27,0,1,default
343718,8.147682,77.39448,44,0,1,default
343719,8.147682,77.42401,39,0,1,default
343720,8.147682,77.45355,14,0,1,default
343721,8.147682,77.483086,12,0,1,default
343722,8.147682,77.51263,37,0,1,default
343723,8.147682,77.54216,31,0,1,default
343724,8.147682,77.5717,16,0,1,default
343725,8.147682,77.60124,9,0,1,default
344360,8.176926,77.24679,13,0,1,default
344361,8.176926,77.27633,48,0,1,default
344362,8.176926,77.30586,21,0,1,default
344363,8.176926,77.3354,56,0,1,default
344364,8.176926,77.36494,40,0,1,default
344365,8.176926,77.39448,53,0,1,default
344366,8.176926,77.42401,65,0,1,default
344367,8.176926,77.45355,12,0,1,default
344368,8.176926,77.483086,17,0,1,default
344369,8.176926,77.51263,38,0,1,default
344370,8.176926,77.54216,149,0,1,default
344371,8.176926,77.5717,32,0,1,default
344372,8.176926,77.60124,21,0,1,default
344373,8.176926,77.630775,17,0,1,default
344374,8.176926,77.66032,15,0,1,default
344375,8.176926,77.68985,48,0,1,default
344376,8.176926,77.71939,29,0,1,default
345008,8.2061615,77.21725,21,0,1,default
345009,8.2061615,77.24679,40,0,1,default
345010,8.2061615,77.27633,43,0,1,default
345011,8.2061615,77.30586,62,0,1,default
345012,8.2061615,77.3354,61,0,1,default
345013,8.2061615,77.36494,29,0,1,default
345014,8.2061615,77.39448,69,0,1,default
345015,8.2061615,77.42401,23,0,1,default
345016,8.2061615,77.45355,20,0,1,default
345017,8.2061615,77.483086,34,0,1,default
345018,8.2061615,77.51263,105,0,1,default
345019,8.2061615,77.54216,173,0,1,default
345020,8.2061615,77.5717,51,0,1,default
345021,8.2061615,77.60124,35,0,1,default
345022,8.2061615,77.630775,29,0,1,default
345023,8.2061615,77.66032,35,0,1,default
345024,8.2061615,77.68985,26,0,1,default
345025,8.2061615,77.71939,18,0,1,default
345026,8.2061615,77.748924,11,0,1,default
345027,8.2061615,77.778465,17,0,1,default
345656,8.235397,77.18771,26,0,1,default
345657,8.235397,77.21725,65,0,1,default
345658,8.235397,77.24679,71,0,1,default
345659,8.235397,77.27633,62,0,1,default
345660,8.235397,77.30586,70,0,1,default
345661,8.235397,77.3354,43,0,1,default
345662,8.235397,77.36494,47,0,1,default
345663,8.235397,77.39448,454,0,1,default
345664,8.235397,77.42401,33,0,1,default
345665,8.235397,77.45355,31,0,1,default
345666,8.235397,77.483086,47,0,1,default
345667,8.235397,77.51263,68,0,1,default
345668,8.235397,77.54216,106,0,1,default
345669,8.235397,77.5717,58,0,1,default
345670,8.235397,77.60124,45,0,1,default
345671,8.235397,77.630775,42,0,1,default
345672,8.235397,77.66032,43,0,1,default
345673,8.235397,77.68985,46,0,1,default
345674,8.235397,77.71939,27,0,1,default
345675,8.235397,77.748924,22,0,1,default
345676,8.235397,77.778465,9,0,1,default
346304,8.264626,77.15817,16,0,1,default
346305,8.264626,77.18771,27,0,1,default
346306,8.264626,77.21725,92,0,1,default
346307,8.264626,77.24679,55,0,1,default
346308,8.264626,77.27633,70,0,1,default
346309,8.264626,77.30586,85,0,1,default
346310,8.264626,77.3354,164,0,1,default
346311,8.264626,77.36494,692,0,1,default
346312,8.264626,77.39448,563,0,1,default
346313,8.264626,77.42401,229,0,1,default
346314,8.264626,77.45355,30,0,1,default
346315,8.264626,77.483086,367,0,1,default
346316,8.264626,77.51263,86,0,1,default
346317,8.264626,77.54216,118,0,1,default
346318,8.264626,77.5717,86,0,1,default
346319,8.264626,77.60124,68,0,1,default
346320,8.264626,77.630775,58,0,1,default
346321,8.264626,77.66032,55,0,1,default
346322,8.264626,77.68985,42,0,1,default
346323,8.264626,77.71939,33,0,1,default
346324,8.264626,77.748924,26,0,1,default
346325,8.264626,77.778465,15,0,1,default
346326,8.264626,77.808,8,0,1,default
346327,8.264626,77.83754,27,0,1,default
346952,8.293854,77.0991,9,0,1,default
346953,8.293854,77.12864,42,0,1,default
346954,8.293854,77.15817,32,0,1,default
346955,8.293854,77.18771,27,0,1,default
346956,8.293854,77.21725,18,0,1,default
346957,8.293854,77.24679,91,0,1,default
346958,8.293854,77.27633,50,0,1,default
346959,8.293854,77.30586,65,0,1,default
346960,8.293854,77.3354,125,0,1,default
346961,8.293854,77.36494,117,0,1,default
346962,8.293854,77.39448,214,0,1,default
346963,8.293854,77.42401,40,0,1,default
346964,8.293854,77.45355,36,0,1,default
346965,8.293854,77.483086,135,0,1,default
346966,8.293854,77.51263,536,0,1,default
346967,8.293854,77.54216,222,0,1,default
346968,8.293854,77.5717,90,0,1,default
346969,8.293854,77.60124,74,0,1,default
346970,8.293854,77.630775,69,0,1,default
346971,8.293854,77.66032,62,0,1,default
346972,8.293854,77.68985,50,0,1,default
346973,8.293854,77.71939,44,0,1,default
346974,8.293854,77.748924,31,0,1,default
346975,8.293854,77.778465,19,0,1,default
