,gid,latitude,longitude,elevation,offshore,wrf_region,config
20320,582512,18.395737,82.94753,640,0,1,default
19098,139967,26.749657,84.460365,76,0,0,default
19109,139978,26.749657,84.78528,70,0,0,default
23983,625093,19.763535,83.56782,422,0,1,default
18237,131067,26.432709000000003,84.22407,75,0,0,default
41057,719517,24.87104,86.99417,91,0,1,default
41464,721620,25.08525,87.200935,43,0,1,default
36266,698321,22.681755,87.67354,13,0,1,default
27606,648597,20.484612,83.65643,159,0,1,default
16088,113305,25.79618,84.87389,55,0,0,default
22397,612641,19.373886,82.29771,582,0,1,default
24133,626013,19.791320000000002,84.36533,124,0,1,default
5647,42168,23.216331,84.84435,632,0,0,default
35099,693902,22.217674,88.70735,3,0,1,default
26855,644022,20.346199,83.21337,227,0,1,default
1345,8877,21.989265,86.43938399999999,570,0,0,default
14041,97755,25.236404,85.19881,62,0,0,default
33013,683960,21.532417000000002,86.19666,335,0,1,default
37986,704876,23.361373999999998,87.909836,31,0,1,default
15338,106669,25.556587,85.84863,48,0,0,default
28993,656852,20.733437,83.95180500000001,143,0,1,default
883,5900,21.87967,86.05539,427,0,0,default
1391,9551,22.016655,84.460365,347,0,0,default
29863,661546,20.871498000000003,86.75787,2,0,1,default
8145,60656,23.893234,83.751465,444,0,0,default
16729,118556,25.982193,86.7643,48,0,0,default
6801,51057,23.54168,84.75574499999999,677,0,0,default
15569,108833,25.636505,84.10592,64,0,0,default
41216,720326,24.951424,87.67354,162,0,1,default
15529,108147,25.609879,85.73048399999999,51,0,0,default
4585,33315,22.89019,85.996315,183,0,0,default
1715,11762,22.098770000000002,84.10592,309,0,0,default
15618,108882,25.636505,85.55325,51,0,0,default
23618,622413,19.680115,83.420135,808,0,1,default
35347,694912,22.327011,87.58492,18,0,1,default
2186,14755,22.208206,84.9625,246,0,0,default
27490,647716,20.45694,84.60163,363,0,1,default
40908,718489,24.76381,87.58492,132,0,1,default
10107,72609,24.324607999999998,86.61661,222,0,0,default
27741,649498,20.512276,83.272446,222,0,1,default
32506,680166,21.422462,86.04897,224,0,1,default
6143,45894,23.35199,85.46464499999999,574,0,0,default
26110,639454,20.207664,82.47493,399,0,1,default
21406,602246,19.039170000000002,84.51302,331,0,1,default
28600,654176,20.650543,86.2262,12,0,1,default
9272,67413,24.136063,86.35077,291,0,0,default
8015,59268,23.83921,86.52799,194,0,0,default
32317,679155,21.394966,84.06996,190,0,1,default
19167,140726,26.776040000000002,84.99204,69,0,0,default
13233,92592,25.049232,85.90771,55,0,0,default
11,635,21.687668,83.751465,188,0,0,default
13382,93362,25.075974,86.7643,48,0,0,default
41153,720047,24.924637,87.1714,72,0,1,default
569,3698,21.797417000000003,86.67568,42,0,0,default
12665,88916,24.91536,86.7643,124,0,0,default
8589,62983,23.974228,86.82337,167,0,0,default
30588,666142,21.00943,86.28527,24,0,1,default
6723,50334,23.514595,85.287415,652,0,0,default
36946,700917,22.954017999999998,87.02371,77,0,1,default
26048,638625,20.179947,84.74932,159,0,1,default
38340,706418,23.523972,87.02371,107,0,1,default
2800,19198,22.372185,84.87389,225,0,0,default
13412,94014,25.102737,84.13545,96,0,0,default
41677,722665,25.1922,87.11233,33,0,1,default
24867,631320,19.957993,82.23863,595,0,1,default
