,gid,latitude,longitude,elevation,offshore,wrf_region,config
3697,724132,25.325768,91.74972,1334,0,1,default
2620,715782,24.468422,92.75399999999999,123,0,1,default
1625,709482,23.82154,92.39954,123,0,1,default
2550,715238,24.414635,92.163246,26,0,1,default
3082,722058,25.112,92.39954,611,0,1,default
3828,724421,25.352463,92.54723,858,0,1,default
1464,708703,23.740456,92.60631,341,0,1,default
3379,723328,25.245651000000002,91.21804,40,0,1,default
3804,724397,25.352463,91.83833,668,0,1,default
1718,709988,23.87558,91.86787,98,0,1,default
3403,723352,25.245651000000002,91.92694,933,0,1,default
827,705040,23.361373999999998,92.75399999999999,794,0,1,default
45,693779,22.190323,92.81307,298,0,1,default
1913,710804,23.956581,92.75399999999999,592,0,1,default
454,701895,23.035591,92.694916,433,0,1,default
2595,715520,24.441536,92.75399999999999,71,0,1,default
1434,708673,23.740456,91.72018,129,0,1,default
1096,706838,23.551056,91.69064,62,0,1,default
851,705289,23.388489,92.37,81,0,1,default
2227,712615,24.145393,92.07463,125,0,1,default
4312,725699,25.485854999999997,91.60203,1671,0,1,default
4337,725724,25.485854999999997,92.34047,1257,0,1,default
628,703464,23.198586,92.63584,514,0,1,default
2058,711579,24.037537,92.42908,117,0,1,default
3077,722053,25.112,92.25185400000001,239,0,1,default
1233,707624,23.632263000000002,91.69064,99,0,1,default
1638,709495,23.82154,92.78353,449,0,1,default
311,699803,22.817947,92.81307,1204,0,1,default
4358,725905,25.512520000000002,89.94793,38,0,1,default
1160,707131,23.578132999999998,92.60631,634,0,1,default
1608,709465,23.82154,91.89741,139,0,1,default
3104,722313,25.138733,92.19278,95,0,1,default
1577,709228,23.794525,92.63584,143,0,1,default
892,705554,23.415596,92.45862,333,0,1,default
536,702677,23.117110999999998,92.60631,519,0,1,default
4354,725741,25.485854999999997,92.842606,593,0,1,default
368,700847,22.926819000000002,92.694916,560,0,1,default
3643,724078,25.325768,90.15469,113,0,1,default
3619,723895,25.299065,92.48816,1012,0,1,default
3214,722825,25.1922,91.83833,515,0,1,default
936,705818,23.442703,92.51769,690,0,1,default
620,703456,23.198586,92.39954,103,0,1,default
670,703945,23.252869,91.36573,57,0,1,default
3436,723550,25.272362,90.03654,55,0,1,default
4263,725650,25.485854999999997,90.15469,71,0,1,default
1466,708705,23.740456,92.66538,785,0,1,default
2902,719189,24.817444000000002,92.78353,22,0,1,default
979,706081,23.469795,92.54723,255,0,1,default
4412,725959,25.512520000000002,91.54295,1604,0,1,default
2015,711325,24.01056,92.66538,645,0,1,default
3904,724655,25.379158,91.72018,1469,0,1,default
3478,723592,25.272362,91.27711500000001,260,0,1,default
2946,719715,24.87104,92.842606,23,0,1,default
2884,718930,24.790627,92.87215,22,0,1,default
478,702155,23.062767,92.63584,367,0,1,default
2,692201,22.02613,92.63584,220,0,1,default
2539,714990,24.387741000000002,92.57677,81,0,1,default
4115,725184,25.43251,91.86787,1569,0,1,default
3260,723042,25.218933,90.50914,87,0,1,default
1884,710775,23.956581,91.89741,134,0,1,default
2190,712356,24.118439000000002,92.163246,81,0,1,default
918,705787,23.442703,91.60203,78,0,1,default
1603,709460,23.82154,91.74972,111,0,1,default
2727,717085,24.602767999999998,92.54723,31,0,1,default
3659,724094,25.325768,90.62729,188,0,1,default
193,697445,22.5727,92.75399999999999,306,0,1,default
1143,707102,23.578132999999998,91.74972,212,0,1,default
4071,725140,25.43251,90.568214,855,0,1,default
854,705292,23.388489,92.45862,287,0,1,default
3044,721540,25.058495,92.57677,270,0,1,default
3274,723056,25.218933,90.92267,264,0,1,default
1789,710265,23.902588,92.31093,136,0,1,default
2233,712621,24.145393,92.25185400000001,99,0,1,default
950,706039,23.469795,91.306656,19,0,1,default
1145,707104,23.578132999999998,91.80879,99,0,1,default
3550,723826,25.299065,90.450066,63,0,1,default
3421,723370,25.245651000000002,92.45862,867,0,1,default
4243,725471,25.45919,92.60631,764,0,1,default
2324,713161,24.199286999999998,92.72446,152,0,1,default
1539,709190,23.794525,91.51342,67,0,1,default
2511,714726,24.360832000000002,92.51769,72,0,1,default
2629,716028,24.4953,92.28139499999999,62,0,1,default
3840,724591,25.379158,89.82978,69,0,1,default
4319,725706,25.485854999999997,91.80879,1703,0,1,default
990,706092,23.469795,92.87215,790,0,1,default
598,703202,23.171425,92.63584,264,0,1,default
2193,712359,24.118439000000002,92.25185400000001,103,0,1,default
