,gid,latitude,longitude,elevation,offshore,wrf_region,config
36588,510727,15.571144,74.76563,741,0,1,default
48979,545531,17.045242000000002,80.141464,85,0,1,default
5381,392994,10.334106,77.66032,1241,0,1,default
5052,391021,10.246917999999999,77.83754,305,0,1,default
42606,528413,16.337929000000003,76.921875,504,0,1,default
62592,612527,19.373886,78.93043,528,0,1,default
56356,570143,17.974808,80.37777,250,0,1,default
27713,481906,14.28685,75.62222,559,0,1,default
55495,566932,17.862389,78.2806,504,0,1,default
17421,446592,12.707207,77.51263,786,0,1,default
44789,533875,16.564552,80.37777,30,0,1,default
32483,497407,14.972763,75.71084,554,0,1,default
40811,523181,16.111038,78.2806,306,0,1,default
6989,400957,10.68261,79.25534,39,0,1,default
62985,619584,19.596657,78.635056,324,0,1,default
45218,535128,16.621170000000003,77.60124,404,0,1,default
53313,559353,17.581024,80.20054,216,0,1,default
3058,377792,9.66507,76.95141600000001,922,0,1,default
33068,499320,15.058342000000001,75.6813,613,0,1,default
15411,439353,12.390053,75.53361,902,0,1,default
61764,602057,19.039170000000002,78.93043,191,0,1,default
33939,501951,15.172409,78.339676,186,0,1,default
59572,585746,18.507812,78.57597,536,0,1,default
15911,440814,12.447754,80.08239,18,0,1,default
10191,416618,11.378418,78.07384,219,0,1,default
16181,442038,12.5054245,77.68985,927,0,1,default
52938,557945,17.524704,82.62262,133,0,1,default
50043,549016,17.186394,77.98523,632,0,1,default
56505,570893,18.0029,79.04858,428,0,1,default
29445,487710,14.544319,74.64748399999999,561,0,1,default
37921,514687,15.741791000000001,77.71939,342,0,1,default
46649,538663,16.762634,81.94325,9,0,1,default
7753,404864,10.85672,78.22153,153,0,1,default
60837,593583,18.75972,83.33152,143,0,1,default
8027,406187,10.914726,78.54644,83,0,1,default
11644,423146,11.667839,79.28488,75,0,1,default
48696,544769,17.017006,78.42829,679,0,1,default
39438,519238,15.940697,77.92615500000001,314,0,1,default
60115,589125,18.61982,77.92615500000001,376,0,1,default
33813,501825,15.172409,74.61795,546,0,1,default
22277,463303,13.455245999999999,77.51263,773,0,1,default
56000,568627,17.918602,82.20909,799,0,1,default
275,350209,8.439972000000001,77.15817,92,0,1,default
55577,567014,17.862389,80.70268,236,0,1,default
53019,558543,17.552872,78.31014,544,0,1,default
51958,554904,17.412010000000002,80.11193,148,0,1,default
26075,476150,14.029091000000001,78.25106,683,0,1,default
22783,465148,13.541412,75.85852,1217,0,1,default
30614,491117,14.687218,79.75748,62,0,1,default
36271,509534,15.514221,77.30586,437,0,1,default
28640,484651,14.401314000000001,79.99378,13,0,1,default
62666,613419,19.401749,79.314415,199,0,1,default
5712,394921,10.421265,76.1539,13,0,1,default
8937,410744,11.117683,77.778465,209,0,1,default
60834,593576,18.75972,83.124756,1253,0,1,default
35293,506367,15.371872,77.896614,456,0,1,default
7184,402201,10.740662,77.15817,357,0,1,default
39963,520619,15.997498,80.11193,32,0,1,default
45884,536628,16.677765,81.97279,13,0,1,default
15948,441329,12.476585,76.00621,892,0,1,default
1284,363347,9.023872,77.896614,74,0,1,default
52818,557825,17.524704,79.07812,338,0,1,default
7147,402164,10.740662,76.065285,4,0,1,default
43092,529733,16.394607999999998,76.65604,376,0,1,default
41468,525132,16.196151999999998,77.60124,427,0,1,default
23409,467127,13.627548,78.044304,716,0,1,default
11976,424998,11.754601,76.33112,908,0,1,default
55289,566157,17.834267,78.339676,543,0,1,default
60148,589158,18.61982,78.90089,412,0,1,default
7203,402220,10.740662,77.71939,252,0,1,default
25126,472920,13.885757,78.42829,525,0,1,default
4282,386356,10.043396000000001,76.59696,57,0,1,default
44081,532351,16.507920000000002,75.06101,536,0,1,default
62336,609012,19.26239,78.66459,265,0,1,default
