,gid,latitude,longitude,elevation,offshore,wrf_region,config
28054,42706,23.243470000000002,78.848236,431,0,0,default
47515,76837,24.486,80.17742,318,0,0,default
23919,36721,23.026176,77.1646,496,0,0,default
74654,620443,19.624481,77.778465,460,0,1,default
48175,78896,24.566612,75.33327,508,0,0,default
81980,641215,20.2631,80.879906,377,0,1,default
39642,60491,23.893234,78.87777,506,0,0,default
47787,77591,24.512878,80.56141,340,0,0,default
2393,3924,21.824837,71.46385,102,0,0,default
84,238,21.687668,72.02506,73,0,0,default
86743,654841,20.678176999999998,78.78274,237,0,1,default
58439,548878,17.186394,73.90905,721,0,1,default
17941,27828,22.69957,77.135056,304,0,0,default
69305,602155,19.039170000000002,81.8251,612,0,1,default
74825,621210,19.652298000000002,74.17488,689,0,1,default
99319,684472,21.559883,73.259224,67,0,1,default
37538,57204,23.785164,69.33715,3,0,0,default
14911,23170,22.535973000000002,70.8731,106,0,0,default
72505,613376,19.401749,78.044304,397,0,1,default
66922,594126,18.787682,74.0272,658,0,1,default
38876,59155,23.83921,83.19025400000001,452,0,0,default
31316,47609,23.433320000000002,70.45957,110,0,0,default
65835,589908,18.647804,75.85852,667,0,1,default
67185,595007,18.815642999999998,74.677025,643,0,1,default
50609,87941,24.888573,79.85251,221,0,0,default
90068,663924,20.95427,75.32685,210,0,1,default
96903,679057,21.394966,81.17528,289,0,1,default
58017,545302,17.045242000000002,73.37737,107,0,1,default
43307,67039,24.136063,75.30373399999999,415,0,0,default
70653,607164,19.206612,75.6813,519,0,1,default
69429,602828,19.067085000000002,76.094826,455,0,1,default
15202,23461,22.535973000000002,79.46852,655,0,0,default
39999,61150,23.920242000000002,76.455696,436,0,0,default
3741,6075,21.907073999999998,69.33715,27,0,0,default
9365,14570,22.208206,79.49806,574,0,0,default
30988,47066,23.406212,76.30801,501,0,0,default
63480,579755,18.311629999999997,76.065285,665,0,1,default
72949,615067,19.457458,75.9176,441,0,1,default
74402,619617,19.596657,79.60979,176,0,1,default
16727,25803,22.617798,82.98349,566,0,0,default
39206,59765,23.866226,79.32084,369,0,0,default
70435,606321,19.178719,76.53789,404,0,1,default
95862,677011,21.33995,76.41974,296,0,1,default
64883,585846,18.507812,81.52973,275,0,1,default
86820,654918,20.678176999999998,81.05713,380,0,1,default
64924,586433,18.53582,73.820435,647,0,1,default
85380,651095,20.567604,76.41974,545,0,1,default
6551,10213,22.04403,82.1269,270,0,0,default
37308,56753,23.758132999999997,77.90303,428,0,0,default
9898,15360,22.235557999999997,80.9454,805,0,0,default
42408,65410,24.082145999999998,70.96171600000001,2,0,0,default
57264,536363,16.677765,74.14535,550,0,1,default
84201,647546,20.45694,79.58025,242,0,1,default
12259,18965,22.372185,77.991646,396,0,0,default
72095,612344,19.373886,73.52505500000001,128,0,1,default
84431,648365,20.484612,76.80373,331,0,1,default
94018,673150,21.229858,73.3183,46,0,1,default
28914,44019,23.297745000000003,73.85639,179,0,0,default
25985,39690,23.134872,77.31229,534,0,0,default
66620,592661,18.73175,81.41158,469,0,1,default
34748,52802,23.622887,70.6368,26,0,0,default
32104,48673,23.460419,80.0002,377,0,0,default
67861,597533,18.899498,72.993385,-1,0,1,default
79444,634004,20.04126,81.736496,649,0,1,default
15490,24020,22.563254999999998,74.09269,404,0,0,default
67576,596083,18.843597,81.05713,487,0,1,default
22971,35325,22.971794,79.70483,429,0,0,default
75848,624018,19.735725,78.16245,373,0,1,default
34758,52812,23.622887,70.932175,28,0,0,default
5356,8492,21.989265,75.06743,194,0,0,default
97656,680808,21.449959,77.0991,552,0,1,default
48883,81003,24.647179,71.90691,96,0,0,default
41749,64163,24.028198,77.90303,411,0,0,default
78912,632894,20.013512,75.56315,634,0,1,default
33322,50612,23.54168,71.61154,16,0,0,default
88750,660364,20.843895,79.04858,253,0,1,default
64192,583100,18.42376,75.385925,517,0,1,default
100049,685702,21.587349,81.50019,272,0,1,default
8587,13527,22.180854999999998,70.57773,145,0,0,default
69282,602132,19.039170000000002,81.145744,345,0,1,default
14252,21980,22.4814,79.49806,576,0,0,default
18029,27916,22.69957,79.73436,586,0,0,default
55545,135323,26.591293,78.61193,155,0,0,default
7816,12255,22.126151999999998,76.78061,262,0,0,default
56814,528299,16.337929000000003,73.55459599999999,117,0,1,default
55605,136789,26.644104,78.139336,168,0,0,default
73956,618542,19.568832,74.05673,729,0,1,default
79599,634740,20.069008,76.83326,503,0,1,default
79785,635505,20.096748,72.75708,20,0,1,default
31071,47149,23.406212,78.75962,508,0,0,default
86689,654787,20.678176999999998,77.18771,313,0,1,default
82284,642108,20.290802,80.4073,308,0,1,default
11946,18403,22.344872,83.27886,380,0,0,default
79459,634025,20.04126,82.35678,444,0,1,default
28588,43474,23.270607000000002,79.64575,356,0,0,default
13800,21265,22.45411,80.26604,534,0,0,default
81932,641167,20.2631,79.46210500000001,271,0,1,default
54512,121952,26.114876000000002,77.6372,350,0,0,default
13386,20596,22.426804,82.39274,354,0,0,default
79033,633015,20.013512,79.13719,197,0,1,default
83437,645605,20.40158,76.1539,635,0,1,default
54194,118283,25.982193,78.70055,172,0,0,default
90098,663954,20.95427,76.212975,229,0,1,default
96483,678136,21.367455,81.8251,276,0,1,default
97837,680989,21.449959,82.4454,296,0,1,default
76828,626771,19.819115,80.34823,290,0,1,default
50288,86468,24.834969,80.11835,205,0,0,default
69881,604522,19.12291,74.82471,769,0,1,default
13964,21692,22.4814,70.99125,123,0,0,default
24795,38043,23.080536,72.43859,46,0,0,default
48770,80531,24.620338,79.85251,233,0,0,default
41249,63332,24.001213,75.24465,458,0,0,default
52286,98989,25.289818,77.8735,386,0,0,default
84024,647369,20.45694,74.35211,521,0,1,default
14051,21779,22.4814,73.56102,124,0,0,default
7180,11353,22.098770000000002,72.02506,8,0,0,default
