,gid,latitude,longitude,elevation,timezone,config
0,47648,17.85,81.45,0,5.5,default
1,47978,17.85,81.55,0,5.5,default
2,47979,17.95,81.55,0,5.5,default
3,47980,18.05,81.55,0,5.5,default
4,47981,18.15,81.55,0,5.5,default
5,47982,18.25,81.55,0,5.5,default
6,48309,17.95,81.65,0,5.5,default
7,48310,18.05,81.65,0,5.5,default
8,48311,18.15,81.65,0,5.5,default
9,48312,18.25,81.65,0,5.5,default
10,48639,17.95,81.75,0,5.5,default
11,48640,18.05,81.75,0,5.5,default
12,48641,18.15,81.75,0,5.5,default
13,48642,18.25,81.75,0,5.5,default
14,48643,18.35,81.75,0,5.5,default
15,48970,18.05,81.85,0,5.5,default
16,48971,18.15,81.85,0,5.5,default
17,48972,18.25,81.85,0,5.5,default
18,48973,18.35,81.85,0,5.5,default
19,48974,18.45,81.85,0,5.5,default
20,48989,19.95,81.85,0,5.5,default
21,49300,18.05,81.95,0,5.5,default
22,49301,18.15,81.95,0,5.5,default
23,49302,18.25,81.95,0,5.5,default
24,49303,18.35,81.95,0,5.5,default
25,49304,18.45,81.95,0,5.5,default
26,49305,18.55,81.95,0,5.5,default
27,49306,18.65,81.95,0,5.5,default
28,49319,19.95,81.95,0,5.5,default
29,49320,20.05,81.95,0,5.5,default
30,49630,18.05,82.05,0,5.5,default
31,49631,18.15,82.05,0,5.5,default
32,49632,18.25,82.05,0,5.5,default
33,49633,18.35,82.05,0,5.5,default
34,49634,18.45,82.05,0,5.5,default
35,49635,18.55,82.05,0,5.5,default
36,49636,18.65,82.05,0,5.5,default
37,49645,19.55,82.05,0,5.5,default
38,49646,19.65,82.05,0,5.5,default
39,49648,19.85,82.05,0,5.5,default
40,49649,19.95,82.05,0,5.5,default
41,49960,18.05,82.15,0,5.5,default
42,49961,18.15,82.15,0,5.5,default
43,49962,18.25,82.15,0,5.5,default
44,49963,18.35,82.15,0,5.5,default
45,49964,18.45,82.15,0,5.5,default
46,49965,18.55,82.15,0,5.5,default
47,49966,18.65,82.15,0,5.5,default
48,49967,18.75,82.15,0,5.5,default
49,49973,19.35,82.15,0,5.5,default
50,49974,19.45,82.15,0,5.5,default
51,49975,19.55,82.15,0,5.5,default
52,49976,19.65,82.15,0,5.5,default
53,49977,19.75,82.15,0,5.5,default
54,49978,19.85,82.15,0,5.5,default
55,49979,19.95,82.15,0,5.5,default
56,50290,18.05,82.25,0,5.5,default
57,50291,18.15,82.25,0,5.5,default
58,50292,18.25,82.25,0,5.5,default
59,50293,18.35,82.25,0,5.5,default
60,50294,18.45,82.25,0,5.5,default
61,50295,18.55,82.25,0,5.5,default
62,50296,18.65,82.25,0,5.5,default
63,50297,18.75,82.25,0,5.5,default
64,50298,18.85,82.25,0,5.5,default
65,50299,18.95,82.25,0,5.5,default
66,50300,19.05,82.25,0,5.5,default
67,50301,19.15,82.25,0,5.5,default
68,50302,19.25,82.25,0,5.5,default
69,50303,19.35,82.25,0,5.5,default
70,50304,19.45,82.25,0,5.5,default
71,50305,19.55,82.25,0,5.5,default
72,50306,19.65,82.25,0,5.5,default
73,50307,19.75,82.25,0,5.5,default
74,50308,19.85,82.25,0,5.5,default
75,50309,19.95,82.25,0,5.5,default
76,50621,18.15,82.35,0,5.5,default
77,50623,18.35,82.35,0,5.5,default
78,50624,18.45,82.35,0,5.5,default
79,50625,18.55,82.35,0,5.5,default
80,50626,18.65,82.35,0,5.5,default
81,50627,18.75,82.35,0,5.5,default
82,50628,18.85,82.35,0,5.5,default
83,50629,18.95,82.35,0,5.5,default
84,50630,19.05,82.35,0,5.5,default
85,50631,19.15,82.35,0,5.5,default
86,50632,19.25,82.35,0,5.5,default
87,50633,19.35,82.35,0,5.5,default
88,50634,19.45,82.35,0,5.5,default
89,50635,19.55,82.35,0,5.5,default
90,50636,19.65,82.35,0,5.5,default
91,50637,19.75,82.35,0,5.5,default
92,50645,20.55,82.35,0,5.5,default
93,50647,20.75,82.35,0,5.5,default
94,50648,20.85,82.35,0,5.5,default
95,50955,18.55,82.45,0,5.5,default
96,50956,18.65,82.45,0,5.5,default
97,50957,18.75,82.45,0,5.5,default
98,50958,18.85,82.45,0,5.5,default
99,50959,18.95,82.45,0,5.5,default
100,50960,19.05,82.45,0,5.5,default
101,50961,19.15,82.45,0,5.5,default
102,50962,19.25,82.45,0,5.5,default
103,50963,19.35,82.45,0,5.5,default
104,50964,19.45,82.45,0,5.5,default
105,50965,19.55,82.45,0,5.5,default
106,50966,19.65,82.45,0,5.5,default
107,50967,19.75,82.45,0,5.5,default
108,50968,19.85,82.45,0,5.5,default
109,50970,20.05,82.45,0,5.5,default
110,50971,20.15,82.45,0,5.5,default
111,50972,20.25,82.45,0,5.5,default
112,50973,20.35,82.45,0,5.5,default
113,50974,20.45,82.45,0,5.5,default
114,50975,20.55,82.45,0,5.5,default
115,50976,20.65,82.45,0,5.5,default
116,50977,20.75,82.45,0,5.5,default
117,51284,18.45,82.55,0,5.5,default
118,51285,18.55,82.55,0,5.5,default
119,51286,18.65,82.55,0,5.5,default
120,51287,18.75,82.55,0,5.5,default
121,51288,18.85,82.55,0,5.5,default
122,51289,18.95,82.55,0,5.5,default
123,51290,19.05,82.55,0,5.5,default
124,51291,19.15,82.55,0,5.5,default
125,51292,19.25,82.55,0,5.5,default
126,51293,19.35,82.55,0,5.5,default
127,51294,19.45,82.55,0,5.5,default
128,51295,19.55,82.55,0,5.5,default
129,51296,19.65,82.55,0,5.5,default
130,51297,19.75,82.55,0,5.5,default
131,51298,19.85,82.55,0,5.5,default
132,51300,20.05,82.55,0,5.5,default
133,51301,20.15,82.55,0,5.5,default
134,51302,20.25,82.55,0,5.5,default
135,51303,20.35,82.55,0,5.5,default
136,51304,20.45,82.55,0,5.5,default
137,51305,20.55,82.55,0,5.5,default
138,51306,20.65,82.55,0,5.5,default
139,51307,20.75,82.55,0,5.5,default
140,51308,20.85,82.55,0,5.5,default
141,51613,18.35,82.65,0,5.5,default
142,51614,18.45,82.65,0,5.5,default
143,51615,18.55,82.65,0,5.5,default
144,51616,18.65,82.65,0,5.5,default
145,51617,18.75,82.65,0,5.5,default
146,51618,18.85,82.65,0,5.5,default
147,51619,18.95,82.65,0,5.5,default
148,51620,19.05,82.65,0,5.5,default
149,51621,19.15,82.65,0,5.5,default
150,51622,19.25,82.65,0,5.5,default
151,51623,19.35,82.65,0,5.5,default
152,51624,19.45,82.65,0,5.5,default
153,51625,19.55,82.65,0,5.5,default
154,51626,19.65,82.65,0,5.5,default
155,51627,19.75,82.65,0,5.5,default
156,51630,20.05,82.65,0,5.5,default
157,51631,20.15,82.65,0,5.5,default
158,51632,20.25,82.65,0,5.5,default
159,51633,20.35,82.65,0,5.5,default
160,51634,20.45,82.65,0,5.5,default
161,51635,20.55,82.65,0,5.5,default
162,51636,20.65,82.65,0,5.5,default
163,51637,20.75,82.65,0,5.5,default
164,51638,20.85,82.65,0,5.5,default
165,51639,20.95,82.65,0,5.5,default
166,51640,21.05,82.65,0,5.5,default
167,51641,21.15,82.65,0,5.5,default
168,51943,18.35,82.75,0,5.5,default
169,51944,18.45,82.75,0,5.5,default
170,51945,18.55,82.75,0,5.5,default
171,51946,18.65,82.75,0,5.5,default
172,51947,18.75,82.75,0,5.5,default
173,51948,18.85,82.75,0,5.5,default
174,51949,18.95,82.75,0,5.5,default
175,51950,19.05,82.75,0,5.5,default
176,51951,19.15,82.75,0,5.5,default
177,51952,19.25,82.75,0,5.5,default
178,51953,19.35,82.75,0,5.5,default
179,51954,19.45,82.75,0,5.5,default
180,51955,19.55,82.75,0,5.5,default
181,51956,19.65,82.75,0,5.5,default
182,51957,19.75,82.75,0,5.5,default
183,51958,19.85,82.75,0,5.5,default
184,51959,19.95,82.75,0,5.5,default
185,51960,20.05,82.75,0,5.5,default
186,51961,20.15,82.75,0,5.5,default
187,51962,20.25,82.75,0,5.5,default
188,51963,20.35,82.75,0,5.5,default
189,51964,20.45,82.75,0,5.5,default
190,51965,20.55,82.75,0,5.5,default
191,51966,20.65,82.75,0,5.5,default
192,51967,20.75,82.75,0,5.5,default
193,51968,20.85,82.75,0,5.5,default
194,51969,20.95,82.75,0,5.5,default
195,51970,21.05,82.75,0,5.5,default
196,51971,21.15,82.75,0,5.5,default
197,52274,18.45,82.85,0,5.5,default
198,52275,18.55,82.85,0,5.5,default
199,52276,18.65,82.85,0,5.5,default
200,52277,18.75,82.85,0,5.5,default
201,52278,18.85,82.85,0,5.5,default
202,52279,18.95,82.85,0,5.5,default
203,52280,19.05,82.85,0,5.5,default
204,52281,19.15,82.85,0,5.5,default
