,gid,latitude,longitude,elevation,timezone,config
0,75122,26.25,89.75,0,5.5,default
1,75443,25.35,89.85,0,5.5,default
2,75444,25.45,89.85,0,5.5,default
3,75447,25.75,89.85,0,5.5,default
4,75448,25.85,89.85,0,5.5,default
5,75449,25.95,89.85,0,5.5,default
6,75450,26.05,89.85,0,5.5,default
7,75451,26.15,89.85,0,5.5,default
8,75452,26.25,89.85,0,5.5,default
9,75453,26.35,89.85,0,5.5,default
10,75773,25.35,89.95,0,5.5,default
11,75774,25.45,89.95,0,5.5,default
12,75775,25.55,89.95,0,5.5,default
13,75776,25.65,89.95,0,5.5,default
14,75777,25.75,89.95,0,5.5,default
15,75778,25.85,89.95,0,5.5,default
16,75779,25.95,89.95,0,5.5,default
17,75780,26.05,89.95,0,5.5,default
18,75781,26.15,89.95,0,5.5,default
19,75782,26.25,89.95,0,5.5,default
20,75783,26.35,89.95,0,5.5,default
21,75784,26.45,89.95,0,5.5,default
22,75785,26.55,89.95,0,5.5,default
23,75786,26.65,89.95,0,5.5,default
24,76103,25.35,90.05,0,5.5,default
25,76104,25.45,90.05,0,5.5,default
26,76105,25.55,90.05,0,5.5,default
27,76106,25.65,90.05,0,5.5,default
28,76107,25.75,90.05,0,5.5,default
29,76108,25.85,90.05,0,5.5,default
30,76109,25.95,90.05,0,5.5,default
31,76110,26.05,90.05,0,5.5,default
32,76111,26.15,90.05,0,5.5,default
33,76112,26.25,90.05,0,5.5,default
34,76113,26.35,90.05,0,5.5,default
35,76114,26.45,90.05,0,5.5,default
36,76115,26.55,90.05,0,5.5,default
37,76116,26.65,90.05,0,5.5,default
38,76432,25.25,90.15,0,5.5,default
39,76433,25.35,90.15,0,5.5,default
40,76434,25.45,90.15,0,5.5,default
41,76435,25.55,90.15,0,5.5,default
42,76436,25.65,90.15,0,5.5,default
43,76437,25.75,90.15,0,5.5,default
44,76438,25.85,90.15,0,5.5,default
45,76439,25.95,90.15,0,5.5,default
46,76440,26.05,90.15,0,5.5,default
47,76441,26.15,90.15,0,5.5,default
48,76442,26.25,90.15,0,5.5,default
49,76443,26.35,90.15,0,5.5,default
50,76444,26.45,90.15,0,5.5,default
51,76445,26.55,90.15,0,5.5,default
52,76446,26.65,90.15,0,5.5,default
53,76447,26.75,90.15,0,5.5,default
54,76762,25.25,90.25,0,5.5,default
55,76763,25.35,90.25,0,5.5,default
56,76764,25.45,90.25,0,5.5,default
57,76765,25.55,90.25,0,5.5,default
58,76766,25.65,90.25,0,5.5,default
59,76767,25.75,90.25,0,5.5,default
60,76768,25.85,90.25,0,5.5,default
61,76769,25.95,90.25,0,5.5,default
62,76770,26.05,90.25,0,5.5,default
63,76771,26.15,90.25,0,5.5,default
64,76772,26.25,90.25,0,5.5,default
65,76773,26.35,90.25,0,5.5,default
66,76774,26.45,90.25,0,5.5,default
67,76775,26.55,90.25,0,5.5,default
68,76776,26.65,90.25,0,5.5,default
69,76777,26.75,90.25,0,5.5,default
70,76778,26.85,90.25,0,5.5,default
71,77092,25.25,90.35,0,5.5,default
72,77093,25.35,90.35,0,5.5,default
73,77094,25.45,90.35,0,5.5,default
74,77095,25.55,90.35,0,5.5,default
75,77096,25.65,90.35,0,5.5,default
