,gid,latitude,longitude,elevation,timezone,config
0,23528,14.85,74.15,0,5.5,default
1,23536,15.65,74.15,0,5.5,default
2,23857,14.75,74.25,0,5.5,default
3,23858,14.85,74.25,0,5.5,default
4,23859,14.95,74.25,0,5.5,default
5,24185,14.55,74.35,0,5.5,default
6,24186,14.65,74.35,0,5.5,default
7,24187,14.75,74.35,0,5.5,default
8,24188,14.85,74.35,0,5.5,default
9,24189,14.95,74.35,0,5.5,default
10,24190,15.05,74.35,0,5.5,default
11,24191,15.15,74.35,0,5.5,default
12,24192,15.25,74.35,0,5.5,default
13,24193,15.35,74.35,0,5.5,default
14,24194,15.45,74.35,0,5.5,default
15,24195,15.55,74.35,0,5.5,default
16,24196,15.65,74.35,0,5.5,default
17,24197,15.75,74.35,0,5.5,default
18,24198,15.85,74.35,0,5.5,default
19,24203,16.35,74.35,0,5.5,default
20,24204,16.45,74.35,0,5.5,default
21,24512,14.25,74.45,0,5.5,default
22,24513,14.35,74.45,0,5.5,default
23,24514,14.45,74.45,0,5.5,default
24,24515,14.55,74.45,0,5.5,default
25,24516,14.65,74.45,0,5.5,default
26,24517,14.75,74.45,0,5.5,default
27,24518,14.85,74.45,0,5.5,default
28,24519,14.95,74.45,0,5.5,default
29,24520,15.05,74.45,0,5.5,default
30,24521,15.15,74.45,0,5.5,default
31,24522,15.25,74.45,0,5.5,default
32,24523,15.35,74.45,0,5.5,default
33,24524,15.45,74.45,0,5.5,default
34,24525,15.55,74.45,0,5.5,default
35,24526,15.65,74.45,0,5.5,default
36,24527,15.75,74.45,0,5.5,default
37,24528,15.85,74.45,0,5.5,default
38,24529,15.95,74.45,0,5.5,default
39,24532,16.25,74.45,0,5.5,default
40,24533,16.35,74.45,0,5.5,default
41,24534,16.45,74.45,0,5.5,default
42,24535,16.55,74.45,0,5.5,default
43,24839,13.95,74.55,0,5.5,default
44,24840,14.05,74.55,0,5.5,default
45,24841,14.15,74.55,0,5.5,default
46,24842,14.25,74.55,0,5.5,default
47,24843,14.35,74.55,0,5.5,default
48,24844,14.45,74.55,0,5.5,default
49,24845,14.55,74.55,0,5.5,default
50,24846,14.65,74.55,0,5.5,default
51,24847,14.75,74.55,0,5.5,default
52,24848,14.85,74.55,0,5.5,default
53,24849,14.95,74.55,0,5.5,default
54,24850,15.05,74.55,0,5.5,default
