,gid,latitude,longitude,elevation,timezone,config
0,4147,23.75,68.25,0,5.5,default
1,4148,23.85,68.25,0,5.5,default
2,4476,23.65,68.35,0,5.5,default
3,4477,23.75,68.35,0,5.5,default
4,4479,23.95,68.35,0,5.5,default
5,4804,23.45,68.45,0,5.5,default
6,4805,23.55,68.45,0,5.5,default
7,4807,23.75,68.45,0,5.5,default
8,4809,23.95,68.45,0,5.5,default
9,5134,23.45,68.55,0,5.5,default
10,5135,23.55,68.55,0,5.5,default
11,5136,23.65,68.55,0,5.5,default
12,5139,23.95,68.55,0,5.5,default
13,5462,23.25,68.65,0,5.5,default
14,5463,23.35,68.65,0,5.5,default
15,5464,23.45,68.65,0,5.5,default
16,5465,23.55,68.65,0,5.5,default
17,5466,23.65,68.65,0,5.5,default
18,5467,23.75,68.65,0,5.5,default
19,5468,23.85,68.65,0,5.5,default
20,5469,23.95,68.65,0,5.5,default
21,5791,23.15,68.75,0,5.5,default
22,5792,23.25,68.75,0,5.5,default
23,5793,23.35,68.75,0,5.5,default
24,5794,23.45,68.75,0,5.5,default
25,5795,23.55,68.75,0,5.5,default
26,5796,23.65,68.75,0,5.5,default
27,5797,23.75,68.75,0,5.5,default
28,5798,23.85,68.75,0,5.5,default
29,5799,23.95,68.75,0,5.5,default
30,6120,23.05,68.85,0,5.5,default
31,6121,23.15,68.85,0,5.5,default
32,6122,23.25,68.85,0,5.5,default
33,6123,23.35,68.85,0,5.5,default
34,6124,23.45,68.85,0,5.5,default
35,6125,23.55,68.85,0,5.5,default
36,6126,23.65,68.85,0,5.5,default
37,6127,23.75,68.85,0,5.5,default
38,6128,23.85,68.85,0,5.5,default
39,6129,23.95,68.85,0,5.5,default
40,6130,24.05,68.85,0,5.5,default
41,6131,24.15,68.85,0,5.5,default
42,6450,23.05,68.95,0,5.5,default
43,6451,23.15,68.95,0,5.5,default
44,6452,23.25,68.95,0,5.5,default
45,6453,23.35,68.95,0,5.5,default
46,6454,23.45,68.95,0,5.5,default
47,6455,23.55,68.95,0,5.5,default
48,6456,23.65,68.95,0,5.5,default
