gid,latitude,longitude,elevation,timezone,config
99320,37.05,97.05,0.0,8.0,default
99321,37.15,97.05,0.0,8.0,default
99322,37.25,97.05,0.0,8.0,default
99323,37.35,97.05,0.0,8.0,default
99324,37.45,97.05,0.0,8.0,default
99325,37.55,97.05,0.0,8.0,default
99326,37.65,97.05,0.0,8.0,default
99327,37.75,97.05,0.0,8.0,default
99328,37.85,97.05,0.0,8.0,default
99329,37.95,97.05,0.0,8.0,default
99650,37.05,97.15,0.0,8.0,default
99651,37.15,97.15,0.0,8.0,default
99652,37.25,97.15,0.0,8.0,default
99653,37.35,97.15,0.0,8.0,default
99654,37.45,97.15,0.0,8.0,default
99655,37.55,97.15,0.0,8.0,default
99656,37.65,97.15,0.0,8.0,default
99657,37.75,97.15,0.0,8.0,default
99658,37.85,97.15,0.0,8.0,default
99659,37.95,97.15,0.0,8.0,default
99980,37.05,97.25,0.0,8.0,default
99981,37.15,97.25,0.0,8.0,default
99982,37.25,97.25,0.0,8.0,default
99983,37.35,97.25,0.0,8.0,default
99984,37.45,97.25,0.0,8.0,default
99985,37.55,97.25,0.0,8.0,default
99986,37.65,97.25,0.0,8.0,default
99987,37.75,97.25,0.0,8.0,default
99988,37.85,97.25,0.0,8.0,default
99989,37.95,97.25,0.0,8.0,default
100310,37.05,97.35,0.0,8.0,default
100311,37.15,97.35,0.0,8.0,default
100312,37.25,97.35,0.0,8.0,default
100313,37.35,97.35,0.0,8.0,default
100314,37.45,97.35,0.0,8.0,default
100315,37.55,97.35,0.0,8.0,default
100316,37.65,97.35,0.0,8.0,default
100317,37.75,97.35,0.0,8.0,default
100318,37.85,97.35,0.0,8.0,default
100319,37.95,97.35,0.0,8.0,default
100640,37.05,97.45,0.0,8.0,default
100641,37.15,97.45,0.0,8.0,default
100642,37.25,97.45,0.0,8.0,default
100643,37.35,97.45,0.0,8.0,default
100644,37.45,97.45,0.0,8.0,default
100645,37.55,97.45,0.0,8.0,default
100646,37.65,97.45,0.0,8.0,default
100647,37.75,97.45,0.0,8.0,default
100648,37.85,97.45,0.0,8.0,default
100649,37.95,97.45,0.0,8.0,default
100970,37.05,97.55,0.0,8.0,default
100971,37.15,97.55,0.0,8.0,default
100972,37.25,97.55,0.0,8.0,default
100973,37.35,97.55,0.0,8.0,default
100974,37.45,97.55,0.0,8.0,default
100975,37.55,97.55,0.0,8.0,default
100976,37.65,97.55,0.0,8.0,default
100977,37.75,97.55,0.0,8.0,default
100978,37.85,97.55,0.0,8.0,default
100979,37.95,97.55,0.0,8.0,default
101300,37.05,97.65,0.0,8.0,default
101301,37.15,97.65,0.0,8.0,default
101302,37.25,97.65,0.0,8.0,default
101303,37.35,97.65,0.0,8.0,default
101304,37.45,97.65,0.0,8.0,default
101305,37.55,97.65,0.0,8.0,default
101306,37.65,97.65,0.0,8.0,default
101307,37.75,97.65,0.0,8.0,default
101308,37.85,97.65,0.0,8.0,default
101309,37.95,97.65,0.0,8.0,default
101630,37.05,97.75,0.0,8.0,default
101631,37.15,97.75,0.0,8.0,default
101632,37.25,97.75,0.0,8.0,default
101633,37.35,97.75,0.0,8.0,default
101634,37.45,97.75,0.0,8.0,default
101635,37.55,97.75,0.0,8.0,default
101636,37.65,97.75,0.0,8.0,default
101637,37.75,97.75,0.0,8.0,default
101638,37.85,97.75,0.0,8.0,default
101639,37.95,97.75,0.0,8.0,default
101960,37.05,97.85,0.0,8.0,default
101961,37.15,97.85,0.0,8.0,default
101962,37.25,97.85,0.0,8.0,default
101963,37.35,97.85,0.0,8.0,default
101964,37.45,97.85,0.0,8.0,default
101965,37.55,97.85,0.0,8.0,default
101966,37.65,97.85,0.0,8.0,default
101967,37.75,97.85,0.0,8.0,default
101968,37.85,97.85,0.0,8.0,default
101969,37.95,97.85,0.0,8.0,default
102290,37.05,97.95,0.0,8.0,default
102291,37.15,97.95,0.0,8.0,default
102292,37.25,97.95,0.0,8.0,default
102293,37.35,97.95,0.0,8.0,default
102294,37.45,97.95,0.0,8.0,default
102295,37.55,97.95,0.0,8.0,default
102296,37.65,97.95,0.0,8.0,default
102297,37.75,97.95,0.0,8.0,default
102298,37.85,97.95,0.0,8.0,default
102299,37.95,97.95,0.0,8.0,default
