gid,config,points_order,latitude,longitude
2919,sam_config.json,9,21.769989,85.55325
30358,sam_config.json,0,22.781303,86.20308
59261,sam_config.json,1,23.83921,86.32123
68090,sam_config.json,23,24.16301,84.460365
71130,sam_config.json,13,24.270767000000006,86.705215
80001,sam_config.json,11,24.593475,86.08493
82896,sam_config.json,12,24.700867,84.046844
93259,sam_config.json,6,25.075974,83.72193
98448,sam_config.json,7,25.263107,83.781006
102919,sam_config.json,20,25.423279,84.51944
118504,sam_config.json,19,25.982193,85.22834
131065,sam_config.json,15,26.432709000000006,84.16499
582480,sam_config.json,10,18.395737,82.002335
604803,sam_config.json,14,19.12291,83.124756
614409,sam_config.json,8,19.429611,82.53400400000002
619758,sam_config.json,21,19.596657,83.77458
643184,sam_config.json,4,20.318504,85.34007
648558,sam_config.json,2,20.484612,82.50447
649510,sam_config.json,22,20.512276,83.62689
652360,sam_config.json,18,20.595253,86.72833
662404,sam_config.json,16,20.899094,84.89701
674443,sam_config.json,17,21.257393,83.83366
675388,sam_config.json,5,21.284912,84.04042
715069,sam_config.json,24,24.414635,87.1714
715863,sam_config.json,3,24.4953,87.4077
