,wind_gw,solar_gw
2019,37.505,33.731
2020,41.09510852,39.88628754
2021,45.02887465,47.16480193
2022,49.33919451,55.77151142
2023,54.06211312,65.9487872
2024,59.23712586,77.98322876
2025,64.90750874,92.21373472
2026,70.81400373,106.6400855
2027,76.95487883,121.2404561
2028,83.32849187,135.99756
2029,89.93328222,150.8973579
2030,96.76776356,165.9282139
2031,103.8305175,181.0803215
2032,111.1201882,196.3452995
2033,118.6354771,211.7158985
2034,126.3751387,227.1857842
2035,134.3379768,242.7493718
2036,142.522841,258.4016991
2037,150.9286231,274.1383268
2038,159.5542548,289.9552582
2039,168.3987048,305.8488761
2040,177.4609768,321.81589
2041,186.7401069,337.8532934
2042,196.2351621,353.9583277
2043,205.9452382,370.1284528
2044,215.8694584,386.3613215
2045,226.0069717,402.6547579
2046,236.3569515,419.0067394
2047,246.9185943,435.4153804
2048,257.6911187,451.8789191
2049,268.6737641,468.3957051
2050,279.8657897,484.9641892
