,wind_gw,solar_gw,,,,,
2019,37.505,33.731,,,,,
2020,47.50975644,44.2439002,,,,,
2021,59.17889447,63.26887752,,,,Max Wind Growth Rate,Max Solar Growth Rate
2022,71.86167693,87.14043881,,,2020-2030,359.61%,1002.28%
2023,85.6290285,116.3703727,,,2030-2040,1.463316278,1.750770491
2024,100.5532662,151.3650091,,,2040-2050,0.676894722,0.555876539
2025,116.7072694,192.4017067,,,,,
2026,134.1634333,239.6135146,,,,,
2027,152.9923737,292.9826766,,,,,
2028,173.2613552,352.3427458,,,,,
2029,195.0324122,417.388353,,,,,
2030,218.3601411,487.691162,359.61%,1002.28%,,,
2031,243.2891438,562.7202705,,,,,
2032,269.8511203,641.8652615,,,,,
2033,298.061619,724.460219,,,,,
2034,327.9164783,809.8072601,,,,,
2035,359.3880222,897.1984325,,,,,
2036,392.4211063,985.9351541,,,,,
2037,426.9291585,1075.344682,,,,,
2038,462.7904053,1164.793378,,,,,
2039,499.844533,1253.69675,,,,,
2040,537.8900901,1341.526457,146.33%,175.08%,,,
2041,576.6829917,1427.814535,,,,,
2042,615.9365288,1512.155224,,,,,
2043,655.3233091,1594.20478,,,,,
2044,694.4795428,1673.679668,,,,,
2045,733.0120271,1750.353523,,,,,
2046,770.5080645,1824.053213,,,,,
2047,806.5483527,1894.654308,,,,,
2048,840.7226141,1962.076226,,,,,
2049,872.6473932,2026.277241,,,,,
2050,901.9850534,2087.249541,67.69%,55.59%,,,
