gid,latitude,longitude,elevation,timezone,config,geometry,index_right,tilt
6107,21.75,68.85,0.0,5.0,default,POINT (68.84999999999999 21.75),23,22.0
6108,21.85,68.85,0.0,5.0,default,POINT (68.84999999999999 21.85),23,22.0
6109,21.95,68.85,0.0,5.0,default,POINT (68.84999999999999 21.95),23,22.0
6110,22.05,68.85,0.0,5.5,default,POINT (68.84999999999999 22.05),23,22.0
6111,22.15,68.85,0.0,5.5,default,POINT (68.84999999999999 22.15),23,22.0
6436,21.65,68.95,0.0,5.0,default,POINT (68.95 21.65),23,22.0
6437,21.75,68.95,0.0,5.0,default,POINT (68.95 21.75),23,22.0
6438,21.85,68.95,0.0,5.0,default,POINT (68.95 21.85),23,22.0
6439,21.95,68.95,0.0,5.5,default,POINT (68.95 21.95),23,22.0
6440,22.05,68.95,0.0,5.5,default,POINT (68.95 22.05),23,22.0
6441,22.15,68.95,0.0,5.5,default,POINT (68.95 22.15),23,22.0
6442,22.25,68.95,0.0,5.5,default,POINT (68.95 22.25),23,22.0
6765,21.55,69.05,0.0,5.0,default,POINT (69.05 21.55),23,22.0
6766,21.65,69.05,0.0,5.0,default,POINT (69.05 21.65),23,22.0
6767,21.75,69.05,0.0,5.0,default,POINT (69.05 21.75),23,22.0
6768,21.85,69.05,0.0,5.5,default,POINT (69.05 21.85),23,22.0
6769,21.95,69.05,0.0,5.5,default,POINT (69.05 21.95),23,22.0
6770,22.05,69.05,0.0,5.5,default,POINT (69.05 22.05),23,22.0
6771,22.15,69.05,0.0,5.5,default,POINT (69.05 22.15),23,22.0
6772,22.25,69.05,0.0,5.5,default,POINT (69.05 22.25),23,22.0
6773,22.35,69.05,0.0,5.5,default,POINT (69.05 22.35),23,22.0
7095,21.55,69.15,0.0,5.0,default,POINT (69.15000000000001 21.55),23,22.0
7096,21.65,69.15,0.0,5.0,default,POINT (69.15000000000001 21.65),23,22.0
7097,21.75,69.15,0.0,5.5,default,POINT (69.15000000000001 21.75),23,22.0
7098,21.85,69.15,0.0,5.5,default,POINT (69.15000000000001 21.85),23,22.0
7099,21.95,69.15,0.0,5.5,default,POINT (69.15000000000001 21.95),23,22.0
7100,22.05,69.15,0.0,5.5,default,POINT (69.15000000000001 22.05),23,22.0
7101,22.15,69.15,0.0,5.5,default,POINT (69.15000000000001 22.15),23,22.0
7102,22.25,69.15,0.0,5.5,default,POINT (69.15000000000001 22.25),23,22.0
7103,22.35,69.15,0.0,5.5,default,POINT (69.15000000000001 22.35),23,22.0
7425,21.55,69.25,0.0,5.0,default,POINT (69.25 21.55),23,22.0
7426,21.65,69.25,0.0,5.0,default,POINT (69.25 21.65),23,22.0
7427,21.75,69.25,0.0,5.5,default,POINT (69.25 21.75),23,22.0
7428,21.85,69.25,0.0,5.5,default,POINT (69.25 21.85),23,22.0
