latitude,longitude,elevation,timezone,config,geometry,index_right
21.75,68.85,0.0,5.0,default,POINT (68.84999999999999 21.75),23
21.85,68.85,0.0,5.0,default,POINT (68.84999999999999 21.85),23
21.95,68.85,0.0,5.0,default,POINT (68.84999999999999 21.95),23
22.05,68.85,0.0,5.5,default,POINT (68.84999999999999 22.05),23
22.15,68.85,0.0,5.5,default,POINT (68.84999999999999 22.15),23
21.65,68.95,0.0,5.0,default,POINT (68.95 21.65),23
21.75,68.95,0.0,5.0,default,POINT (68.95 21.75),23
21.85,68.95,0.0,5.0,default,POINT (68.95 21.85),23
21.95,68.95,0.0,5.5,default,POINT (68.95 21.95),23
22.05,68.95,0.0,5.5,default,POINT (68.95 22.05),23
22.15,68.95,0.0,5.5,default,POINT (68.95 22.15),23
22.25,68.95,0.0,5.5,default,POINT (68.95 22.25),23
21.55,69.05,0.0,5.0,default,POINT (69.05 21.55),23
21.65,69.05,0.0,5.0,default,POINT (69.05 21.65),23
21.75,69.05,0.0,5.0,default,POINT (69.05 21.75),23
21.85,69.05,0.0,5.5,default,POINT (69.05 21.85),23
21.95,69.05,0.0,5.5,default,POINT (69.05 21.95),23
22.05,69.05,0.0,5.5,default,POINT (69.05 22.05),23
22.15,69.05,0.0,5.5,default,POINT (69.05 22.15),23
22.25,69.05,0.0,5.5,default,POINT (69.05 22.25),23
22.35,69.05,0.0,5.5,default,POINT (69.05 22.35),23
21.55,69.15,0.0,5.0,default,POINT (69.15000000000001 21.55),23
21.65,69.15,0.0,5.0,default,POINT (69.15000000000001 21.65),23
21.75,69.15,0.0,5.5,default,POINT (69.15000000000001 21.75),23
21.85,69.15,0.0,5.5,default,POINT (69.15000000000001 21.85),23
21.95,69.15,0.0,5.5,default,POINT (69.15000000000001 21.95),23
22.05,69.15,0.0,5.5,default,POINT (69.15000000000001 22.05),23
22.15,69.15,0.0,5.5,default,POINT (69.15000000000001 22.15),23
22.25,69.15,0.0,5.5,default,POINT (69.15000000000001 22.25),23
22.35,69.15,0.0,5.5,default,POINT (69.15000000000001 22.35),23
21.55,69.25,0.0,5.0,default,POINT (69.25 21.55),23
21.65,69.25,0.0,5.0,default,POINT (69.25 21.65),23
21.75,69.25,0.0,5.5,default,POINT (69.25 21.75),23
21.85,69.25,0.0,5.5,default,POINT (69.25 21.85),23
21.95,69.25,0.0,5.5,default,POINT (69.25 21.95),23
22.05,69.25,0.0,5.5,default,POINT (69.25 22.05),23
22.15,69.25,0.0,5.5,default,POINT (69.25 22.15),23
22.25,69.25,0.0,5.5,default,POINT (69.25 22.25),23
22.35,69.25,0.0,5.5,default,POINT (69.25 22.35),23
21.55,69.35,0.0,5.0,default,POINT (69.34999999999999 21.55),23
21.65,69.35,0.0,5.5,default,POINT (69.34999999999999 21.65),23
21.75,69.35,0.0,5.5,default,POINT (69.34999999999999 21.75),23
21.85,69.35,0.0,5.5,default,POINT (69.34999999999999 21.85),23
21.95,69.35,0.0,5.5,default,POINT (69.34999999999999 21.95),23
22.05,69.35,0.0,5.5,default,POINT (69.34999999999999 22.05),23
22.15,69.35,0.0,5.5,default,POINT (69.34999999999999 22.15),23
22.25,69.35,0.0,5.5,default,POINT (69.34999999999999 22.25),23
22.35,69.35,0.0,5.5,default,POINT (69.34999999999999 22.35),23
21.55,69.45,0.0,5.5,default,POINT (69.45 21.55),23
21.65,69.45,0.0,5.5,default,POINT (69.45 21.65),23
21.75,69.45,0.0,5.5,default,POINT (69.45 21.75),23
21.85,69.45,0.0,5.5,default,POINT (69.45 21.85),23
21.95,69.45,0.0,5.5,default,POINT (69.45 21.95),23
22.05,69.45,0.0,5.5,default,POINT (69.45 22.05),23
22.15,69.45,0.0,5.5,default,POINT (69.45 22.15),23
22.25,69.45,0.0,5.5,default,POINT (69.45 22.25),23
22.35,69.45,0.0,5.5,default,POINT (69.45 22.35),23
21.65,69.55,0.0,5.5,default,POINT (69.55 21.65),23
21.75,69.55,0.0,5.5,default,POINT (69.55 21.75),23
21.85,69.55,0.0,5.5,default,POINT (69.55 21.85),23
21.95,69.55,0.0,5.5,default,POINT (69.55 21.95),23
22.05,69.55,0.0,5.5,default,POINT (69.55 22.05),23
22.15,69.55,0.0,5.5,default,POINT (69.55 22.15),23
22.25,69.55,0.0,5.5,default,POINT (69.55 22.25),23
21.75,69.65,0.0,5.5,default,POINT (69.65000000000001 21.75),23
21.85,69.65,0.0,5.5,default,POINT (69.65000000000001 21.85),23
21.95,69.65,0.0,5.5,default,POINT (69.65000000000001 21.95),23
22.05,69.65,0.0,5.5,default,POINT (69.65000000000001 22.05),23
22.15,69.65,0.0,5.5,default,POINT (69.65000000000001 22.15),23
21.95,69.05,0.0,5.5,default,POINT (69.05 21.95),22
22.05,69.05,0.0,5.5,default,POINT (69.05 22.05),22
22.15,69.05,0.0,5.5,default,POINT (69.05 22.15),22
22.25,69.05,0.0,5.5,default,POINT (69.05 22.25),22
21.85,69.15,0.0,5.5,default,POINT (69.15000000000001 21.85),22
21.95,69.15,0.0,5.5,default,POINT (69.15000000000001 21.95),22
22.05,69.15,0.0,5.5,default,POINT (69.15000000000001 22.05),22
22.15,69.15,0.0,5.5,default,POINT (69.15000000000001 22.15),22
22.25,69.15,0.0,5.5,default,POINT (69.15000000000001 22.25),22
22.35,69.15,0.0,5.5,default,POINT (69.15000000000001 22.35),22
22.45,69.15,0.0,5.5,default,POINT (69.15000000000001 22.45),22
21.75,69.25,0.0,5.5,default,POINT (69.25 21.75),22
21.85,69.25,0.0,5.5,default,POINT (69.25 21.85),22
21.95,69.25,0.0,5.5,default,POINT (69.25 21.95),22
22.05,69.25,0.0,5.5,default,POINT (69.25 22.05),22
22.15,69.25,0.0,5.5,default,POINT (69.25 22.15),22
22.25,69.25,0.0,5.5,default,POINT (69.25 22.25),22
22.35,69.25,0.0,5.5,default,POINT (69.25 22.35),22
